CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
508;18;3136;508;18;3137
508;18;3137;508;18;3136
508;18;1330;508;18;1339
508;18;1339;508;18;1330
508;18;1329;508;18;1341
508;18;1341;508;18;1329
508;18;3139;508;18;3141
508;18;3141;508;18;3139
508;18;46;508;18;1132
508;18;1132;508;18;1386
508;18;1386;508;18;46
508;18;3138;508;18;3142
508;18;3142;508;18;3138
508;18;17;508;18;1347
508;18;1347;508;18;17
508;18;458;508;18;547
508;18;547;508;18;458
508;18;487;508;18;1663
508;18;1663;508;18;1665
508;18;1665;508;18;487
508;18;489;508;18;491
508;18;491;508;18;489
508;18;18821;508;18;18902
508;18;18902;508;18;18821
508;18;18809;508;18;18822
508;18;18822;508;18;18809
508;18;18799;508;18;18823
508;18;18823;508;18;18799
508;18;2818;508;18;2828
508;18;2828;508;18;3079
508;18;3079;508;18;2818
508;18;1508;508;18;2888
508;18;2888;508;18;1508
508;18;1272;508;18;1489
508;18;1489;508;18;1272
508;18;8;508;18;858
508;18;858;508;18;8
508;18;9;508;18;855
508;18;855;508;18;9
508;18;15;508;18;899
508;18;899;508;18;15
508;18;16;508;18;514
508;18;514;508;18;16
508;18;18;508;18;1284
508;18;1284;508;18;18
508;18;7752;508;18;7753
508;18;7753;508;18;7752
508;18;6444;508;18;6468
508;18;6468;508;18;6444
508;18;7898;508;18;7899
508;18;7899;508;18;7898
508;18;6454;508;18;6457
508;18;6457;508;18;6454
508;18;6572;508;18;6822
508;18;6822;508;18;7182
508;18;7182;508;18;6572
508;18;6573;508;18;6812
508;18;6812;508;18;6573
508;18;6480;508;18;6574
508;18;6574;508;18;6480
508;18;6575;508;18;6777
508;18;6777;508;18;6951
508;18;6951;508;18;6575
508;18;6576;508;18;6759
508;18;6759;508;18;6576
508;18;6202;508;18;6577
508;18;6577;508;18;6740
508;18;6740;508;18;6202
508;18;6476;508;18;6850
508;18;6850;508;18;7874
508;18;7874;508;18;6476
508;18;6852;508;18;6861
508;18;6861;508;18;6852
508;18;6853;508;18;6970
508;18;6970;508;18;6853
508;18;6874;508;18;6980
508;18;6980;508;18;6874
508;18;6877;508;18;7480
508;18;7480;508;18;6877
508;18;6856;508;18;6924
508;18;6924;508;18;6936
508;18;6936;508;18;6942
508;18;6942;508;18;6856
508;18;6484;508;18;6857
508;18;6857;508;18;7672
508;18;7672;508;18;6484
508;18;7756;508;18;7758
508;18;7758;508;18;7756
508;18;6500;508;18;6622
508;18;6622;508;18;6500
508;18;6501;508;18;6591
508;18;6591;508;18;7933
508;18;7933;508;18;6501
508;18;7896;508;18;7897
508;18;7897;508;18;7896
508;18;6464;508;18;7495
508;18;7495;508;18;6464
508;18;6555;508;18;6558
508;18;6558;508;18;7889
508;18;7889;508;18;6555
508;18;6559;508;18;6836
508;18;6836;508;18;7890
508;18;7890;508;18;6559
508;18;6560;508;18;6746
508;18;6746;508;18;6832
508;18;6832;508;18;7892
508;18;7892;508;18;6560
508;18;6561;508;18;7506
508;18;7506;508;18;6561
508;18;6534;508;18;6562
508;18;6562;508;18;6534
508;18;6469;508;18;7040
508;18;7040;508;18;6469
508;18;6471;508;18;6473
508;18;6473;508;18;6579
508;18;6579;508;18;6471
508;18;6511;508;18;6800
508;18;6800;508;18;7334
508;18;7334;508;18;6511
508;18;6494;508;18;6513
508;18;6513;508;18;6494
508;18;6514;508;18;6999
508;18;6999;508;18;7004
508;18;7004;508;18;6514
508;18;6515;508;18;6818
508;18;6818;508;18;7199
508;18;7199;508;18;6515
508;18;6516;508;18;7012
508;18;7012;508;18;6516
508;18;6517;508;18;6934
508;18;6934;508;18;7259
508;18;7259;508;18;6517
508;18;6487;508;18;6518
508;18;6518;508;18;6487
508;18;6519;508;18;6592
508;18;6592;508;18;7708
508;18;7708;508;18;6519
508;18;6520;508;18;6523
508;18;6523;508;18;7720
508;18;7720;508;18;6520
508;18;6419;508;18;6521
508;18;6521;508;18;7725
508;18;7725;508;18;6419
508;18;18710;508;18;18740
508;18;18740;508;18;18883
508;18;18883;508;18;18710
508;18;6421;508;18;6524
508;18;6524;508;18;7960
508;18;7960;508;18;6421
508;18;7749;508;18;7751
508;18;7751;508;18;7749
508;18;6550;508;18;6669
508;18;6669;508;18;6550
508;18;6552;508;18;6695
508;18;6695;508;18;6552
508;18;6530;508;18;6553
508;18;6553;508;18;6530
508;18;6554;508;18;6846
508;18;6846;508;18;6554
508;18;6548;508;18;6556
508;18;6556;508;18;6752
508;18;6752;508;18;7768
508;18;7768;508;18;6548
508;18;6859;508;18;7328
508;18;7328;508;18;7457
508;18;7457;508;18;6859
508;18;6860;508;18;7474
508;18;7474;508;18;6860
508;18;6478;508;18;6862
508;18;6862;508;18;6478
508;18;6587;508;18;6863
508;18;6863;508;18;6879
508;18;6879;508;18;6587
508;18;7028;508;18;7049
508;18;7049;508;18;7028
508;18;6405;508;18;6583
508;18;6583;508;18;6405
508;18;6539;508;18;6584
508;18;6584;508;18;6539
508;18;6585;508;18;6967
508;18;6967;508;18;7877
508;18;7877;508;18;6585
508;18;6586;508;18;6729
508;18;6729;508;18;6586
508;18;6875;508;18;6974
508;18;6974;508;18;6875
508;18;6505;508;18;6619
508;18;6619;508;18;6505
508;18;6589;508;18;6620
508;18;6620;508;18;6589
508;18;6418;508;18;6590
508;18;6590;508;18;6418
508;18;6593;508;18;6624
508;18;6624;508;18;6593
508;18;6594;508;18;6634
508;18;6634;508;18;7657
508;18;7657;508;18;6594
508;18;6474;508;18;6538
508;18;6538;508;18;6474
508;18;7059;508;18;7961
508;18;7961;508;18;7059
508;18;6540;508;18;6966
508;18;6966;508;18;6540
508;18;6541;508;18;6726
508;18;6726;508;18;6728
508;18;6728;508;18;6541
508;18;6542;508;18;6710
508;18;6710;508;18;6542
508;18;6543;508;18;6734
508;18;6734;508;18;6543
508;18;6544;508;18;6693
508;18;6693;508;18;6757
508;18;6757;508;18;6544
508;18;6527;508;18;6545
