CID;LID;NID;NAME;NCOMMENT
508;1;248829;亚洲;
508;1;248830;中国;
508;1;249788;辽宁省;
508;1;263319;鞍山市;
508;1;263594;朝阳市;
508;1;20511;大连市;
508;1;199290;抚顺市;
508;1;263584;阜新市;
508;1;263557;葫芦岛市;
508;1;263549;锦州市;
508;1;263527;辽阳市;
508;1;263544;盘锦市;
508;1;141471;沈阳市;
508;1;263569;铁岭市;
508;1;263535;营口市;
508;1;141831;Ｇ１０１沈阳段;
508;1;175813;兴光街;
508;1;141755;叶家窝堡;
508;1;141751;郭三线;
508;1;141752;叶苗线;
508;1;141753;秀大线;
508;1;141754;叶元线;
508;1;141771;Ｇ１０２沈阳段;
508;1;141833;Ｘ７２３;
508;1;163716;中央街;
508;1;175706;新蔡线;
508;1;141774;金梁线;
508;1;141725;Ｓ１０６;
508;1;141775;Ｓ３１４;
508;1;140990;Ｇ３０４;
508;1;142136;北环路;
508;1;141770;辽河大街;
508;1;141721;Ｓ１０７;
508;1;141778;四法线;
508;1;141779;李诺线;
508;1;142139;观泉路（榆林大街）;
508;1;142140;裕农路（辉山大街）;
508;1;145956;沈北路（辉山大街）;
508;1;175710;杭州东路;
508;1;140960;沈新路;
508;1;175815;沙岭路;
508;1;140958;洪湖一街;
508;1;175816;七号街;
508;1;144015;沈阳绕城高速公路;
508;1;141841;松花湖街;
508;1;140954;抚仙湖街;
508;1;141238;巢湖街;
508;1;175711;沧海路;
508;1;140957;洪湖二街;
508;1;199342;新华大街;
508;1;199343;临江路西段;
508;1;219737;抚顺城路;
508;1;199440;新城路中段;
508;1;167963;新鲁高速公路;
508;1;175379;辽中环线高速公路;
508;1;146105;长深高速公路;
508;1;141910;新民服务区;
508;1;141313;沈于线;
508;1;175700;沈阳绕城高速公路北段;
508;1;142177;红星路;
508;1;163313;沈哈高速公路;
508;1;146035;丹阜高速公路;
508;1;143738;道义南大街;
508;1;142673;沈新公路;
508;1;175701;沈阳绕城高速公路东段;
508;1;140767;沈丹高速公路;
508;1;132634;沈吉高速公路;
508;1;140717;东陵路;
508;1;141824;沈抚大道;
508;1;175702;沈阳绕城高速公路南段;
508;1;175699;沈海高速公路;
508;1;146017;沈营路;
508;1;141281;沈苏西路;
508;1;175703;沈阳绕城高速公路西段;
508;1;141204;沈辽路;
508;1;153704;京哈高速公路;
508;1;20575;Ｇ２０１大连段;
508;1;21402;前黄线;
508;1;20586;孤山大街;
508;1;21994;小平岛路;
508;1;20584;鹤大线;
508;1;20534;福明线;
508;1;21539;三环大街（迎宾大街）;
508;1;20539;青四线;
508;1;20639;长江路;
508;1;20550;黄河路;
508;1;21881;白银山洞;
508;1;20621;西安路;
508;1;87891;港湾广场;
508;1;20601;万岁街;
508;1;63598;联合路;
508;1;20602;东北路;
508;1;20603;长春路;
508;1;20604;新开路;
508;1;20739;兴业街;
508;1;53230;友好街;
508;1;20710;胜利广场;
508;1;20711;上海路;
508;1;20543;香周路;
508;1;20612;胜利路;
508;1;53154;中山路;
508;1;20629;疏港路;
508;1;20598;高尔基路;
508;1;20605;三元街;
508;1;21890;新希望花园;
508;1;20600;太原街;
508;1;20724;纪念街;
508;1;21885;红枫路;
508;1;87826;碧流河大桥;
508;1;86490;五一路;
508;1;87892;辽渔建设集团混凝土公司;
508;1;21888;关东路;
508;1;21889;汤普森幼儿园;
508;1;87827;砬河路;
508;1;87828;八南线;
508;1;20565;八一路;
508;1;20592;河北线;
508;1;87824;盖亮线;
508;1;87825;杨大线;
508;1;21975;唐南线;
508;1;20532;杨清线;
508;1;20533;皮莲线;
508;1;20545;华东路;
508;1;20623;松江路;
508;1;20546;华北路;
508;1;20624;千山路;
508;1;20625;中华西路;
508;1;20635;风华路;
508;1;20580;黄浦路;
508;1;20594;火炬路;
508;1;263652;凌南路;
508;1;42620;解放路;
508;1;21263;滨海东路;
508;1;20617;滨海中路;
508;1;20728;石葵路;
508;1;20619;昆明街;
508;1;20569;南山路;
508;1;20620;武汉街;
508;1;86491;和平路;
508;1;20564;金兴路;
508;1;199410;西三街;
508;1;199424;西一路;
508;1;20582;金湾路;
508;1;21882;旅顺南路;
508;1;21883;新城大街;
508;1;21884;金川家园;
508;1;21217;张前线;
508;1;20631;东方路;
508;1;20632;玉山路;
508;1;20633;西北路;
508;1;20634;山东路;
508;1;20729;滨海西路;
508;1;65847;会展路;
508;1;21202;凌水路;
508;1;20640;数码路;
508;1;20596;西南路;
508;1;20627;南沙街;
508;1;21891;沿河街;
508;1;20643;铁山西路;
508;1;20560;国防路;
508;1;21978;瑞泽苑广场;
508;1;21209;龙江路;
508;1;20628;西山街;
508;1;20630;海口路;
508;1;20692;周山街;
508;1;20693;促进路;
508;1;21448;香海街;
508;1;87890;中山广场;
508;1;20597;星海广场;
508;1;21966;星辰街;
508;1;20733;珠江路;
508;1;52855;北京街;
508;1;20606;五惠路;
508;1;141175;胜利北街;
508;1;141022;小西路;
508;1;142242;民族北街;
508;1;141183;北二马路;
508;1;142255;同泽北街;
508;1;141036;北四马路;
508;1;141037;北五马路;
508;1;141033;和平北大街;
508;1;142266;八经街;
508;1;141042;北三经街;
508;1;142267;北二经街;
508;1;140751;青年大街;
508;1;151966;杏林街;
508;1;263339;Ｇ２０２;
508;1;263343;汤析线;
508;1;263353;鞍蛤线;
508;1;263340;Ｇ２０２南段;
508;1;263346;四方台路;
508;1;263344;南环线;
508;1;263345;旧堡路;
508;1;263341;Ｇ２０２中段;
508;1;263347;交通路;
508;1;263349;人民路;
508;1;263348;南环;
508;1;263342;Ｇ２０２北段;
508;1;263350;鞍郑路;
508;1;263351;腾达大道;
508;1;263352;大郑台学校;
508;1;20547;Ｇ２０２大连段;
508;1;21377;辽南大街;
508;1;20566;夏金线;
508;1;87832;刘大线（双十路）;
508;1;87833;华北线（国泰路）;
508;1;21911;海皮线（海皮路）;
508;1;22008;小坨子;
508;1;21351;南山路（世纪路中段）;
508;1;20518;红松线;
508;1;20520;瓦交线;
508;1;20572;关李线;
508;1;20521;城八线;
508;1;20573;复红线;
508;1;20524;松沙线;
508;1;20574;南仙线;
508;1;141945;Ｇ２０２沈阳段;
508;1;141731;沈半线;
508;1;141949;大来线;
508;1;263365;大孙线;
508;1;87884;亚细亚度假村;
508;1;63709;龙山路;
508;1;87835;禄马加油站;
508;1;199344;高山路;
508;1;199331;高上线;
508;1;199351;双阳南路;
508;1;199293;葛布北街;
508;1;199339;靖宇街;
508;1;199341;宁远街;
508;1;199355;师范高等专科学校;
508;1;219742;双阳街;
508;1;199350;顺城区长春学校;
508;1;20680;虹城路;
508;1;21904;营城东路;
508;1;87838;姚砬线;
508;1;20557;虹港路;
508;1;20637;迎客路;
508;1;20556;张前路;
508;1;21454;逸林街;
508;1;21993;都市庭院;
508;1;21392;圣林路;
508;1;21361;龙安路;
508;1;21356;东纬路（虹港路）;
508;1;21357;松江路（虹港路）;
508;1;20626;南关岭路;
508;1;20542;东北快速路;
508;1;21897;九三路;
508;1;21225;马栏北街;
508;1;21236;同庆街;
508;1;263404;解放西路;
508;1;263374;建国南路;
508;1;263357;兴盛南路;
508;1;263371;铁西九道街;
508;1;263372;铁西六道街;
508;1;263373;铁西三道街;
508;1;21216;营顺路;
508;1;21365;迎金路;
508;1;21900;旅顺北路;
508;1;87839;小曲线;
508;1;87841;滨海公路（营平路）;
508;1;87814;大盐线;
508;1;219726;前大路;
508;1;199299;前三线;
508;1;199294;沈环北线;
508;1;263648;国奥街;
508;1;87842;东门立交桥;
508;1;21503;民主街;
508;1;21906;金钻路;
508;1;87843;胜星桥;
508;1;21914;茂田巷;
508;1;263407;创业街;
508;1;263384;园林路;
508;1;263383;中华南路;
508;1;20558;姚家路;
508;1;21481;滨海公路;
508;1;20638;南林路;
508;1;21903;营城西路;
508;1;87844;前牧城驿村;
508;1;87830;辛水路;
508;1;21902;营平路;
