CID;LID;NID;NTRANSLATION
508;2;20511;da lian shi
508;3;20511;Dalian
508;2;20515;jiu li fu wu qu
508;3;20515;Jiuli Service Area
508;2;20516;san shi li pu fu wu qu
508;3;20516;Sanshilipu Service Area
508;2;20517;hai pi xian
508;3;20517;Haipi Line
508;2;20518;hong song xian
508;3;20518;Hongsong Line
508;2;20519;shen fu xian
508;3;20519;Shenfu Line
508;2;20520;wa jiao xian
508;3;20520;Wajiao Line
508;2;20521;cheng ba xian
508;3;20521;Chengba Line
508;2;20522;shuang xi xian
508;3;20522;Shuangxi Line
508;2;20523;fu zhou he fu wu qu
508;3;20523;Fuzhouhe Service Area
508;2;20524;song sha xian
508;3;20524;Songsha Line
508;2;20525;long li xian
508;3;20525;Longli Line
508;2;20529;dong da xian
508;3;20529;Dongda Line
508;2;20532;yang qing xian
508;3;20532;Yangqing Line
508;2;20533;pi lian xian
508;3;20533;Pilian Line
508;2;20534;fu ming xian
508;3;20534;Fuming Line
508;2;20539;qing si xian
508;3;20539;Qingsi Line
508;2;20540;li shi xian
508;3;20540;Lishi Line
508;2;20541;da gu shan fu wu qu
508;3;20541;Dagushan Service Area
508;2;20542;dong bei kuai su lu
508;3;20542;Dongbei Expy
508;2;20543;xiang zhou lu
508;3;20543;Xiangzhou Rd
508;2;20544;dong bei bei lu
508;3;20544;Dongbei North Rd
508;2;20545;hua dong lu
508;3;20545;Huadong Rd
508;2;20546;hua bei lu
508;3;20546;Huabei Rd
508;2;20547;G202 da lian duan
508;3;20547;G202 Dalian Sect
508;2;20550;huang he lu
508;3;20550;Huanghe Rd
508;2;20556;zhang qian lu
508;3;20556;Zhangqian Rd
508;2;20557;hong gang lu
508;3;20557;Honggang Rd
508;2;20558;yao jia lu
508;3;20558;Yaojia Rd
508;2;20560;guo fang lu
508;3;20560;Guofang Rd
508;2;20564;jin xing lu
508;3;20564;Jinxing Rd
508;2;20565;ba yi lu
508;3;20565;Bayi Rd
508;2;20566;xia jin xian
508;3;20566;Xiajin Line
508;2;20569;nan shan lu
508;3;20569;Nanshan Rd
508;2;20572;guan li xian
508;3;20572;Guanli Line
508;2;20573;fu hong xian
508;3;20573;Fuhong Line
508;2;20574;nan xian xian
508;3;20574;Nanxian Line
508;2;20575;G201 da lian duan
508;3;20575;G201 Dalian Sect
508;2;20580;huang pu lu
508;3;20580;Huangpu Rd
508;2;20582;jin wan lu
508;3;20582;Jinwan Rd
508;2;20584;he da xian
508;3;20584;Heda Line
508;2;20586;gu shan da jie
508;3;20586;Gushan Ave
508;2;20587;G305 da lian duan
508;3;20587;G305 Dalian Sect
508;2;20590;cui gui xian
508;3;20590;Cuigui Line
508;2;20591;bei tu xian
508;3;20591;Beitu Line
508;2;20592;he bei xian
508;3;20592;Hebei Line
508;2;20594;huo ju lu
508;3;20594;Huoju Rd
508;2;20596;xi nan lu
508;3;20596;Xi'nan Rd
508;2;20597;xing hai guang chang
508;3;20597;Xinghai Plz
508;2;20598;gao er ji lu
508;3;20598;Gaoerji Rd
508;2;20600;tai yuan jie
508;3;20600;Taiyuan St
508;2;20601;wan sui jie
508;3;20601;Wansui St
508;2;20602;dong bei lu
508;3;20602;Dongbei Rd
508;2;20603;chang chun lu
508;3;20603;Changchun Rd
508;2;20604;xin kai lu
508;3;20604;Xinkai Rd
508;2;20605;san yuan jie
508;3;20605;Sanyuan St
508;2;20606;wu hui lu
508;3;20606;Wuhui Rd
508;2;20608;yan an lu
508;3;20608;Yan'an Rd
508;2;20612;sheng li lu
508;3;20612;Shengli Rd
