CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
508;18;873;L;1;2;G101;141831;175813;141755;155;
508;18;1333;L;1;2;G102;141771;141833;163716;155;
508;18;483;L;1;4;G102;140960;175815;140958;155;
508;18;18820;L;1;4;;199342;199343;219737;1222;
508;18;1271;L;1;1;G1113;167963;175379;146105;155;
508;18;4;L;2;1;G1501;144015;;;155;
508;18;6438;L;1;2;G201;20575;21402;20586;157;
508;18;7748;L;1;2;G201;20639;20550;21881;157;
508;18;6773;L;1;4;;20639;20621;87891;157;
508;18;6571;L;1;4;G201;20602;20603;20543;157;
508;18;6849;L;1;4;;20598;53154;20605;157;
508;18;7966;L;1;2;G201;20584;21885;87826;157;
508;18;6557;L;1;2;G201;20545;20623;20546;157;
508;18;6467;L;1;2;G201;20580;21994;53154;157;
508;18;6509;L;1;4;;42620;21263;53154;157;
508;18;6510;L;1;2;G201;42620;86490;86491;157;
508;18;18882;L;1;4;;42620;199410;199424;1222;
508;18;6498;L;1;2;G201;20582;86490;20612;157;
508;18;6522;L;1;2;G201;20564;42620;20612;157;
508;18;7750;L;1;2;G201;21882;20639;21402;157;
508;18;6549;L;1;4;;20623;21217;20631;157;
508;18;6858;L;1;4;;20600;20729;86490;157;
508;18;6581;L;1;4;;86490;21202;53154;157;
508;18;6582;L;1;3;;86490;175699;20643;157;
508;18;6537;L;1;4;;20596;53154;20631;157;
508;18;6735;L;1;2;G201;20543;20546;20602;157;
508;18;6472;L;1;2;G201;53154;20580;87890;157;
508;18;2168;L;1;4;;53154;141175;141022;155;
508;18;24401;L;1;2;G202;263339;263343;263353;2907;
508;18;6403;L;1;2;G202;20547;20612;21377;157;
508;18;1490;L;1;2;G202;141945;141731;141949;155;
508;18;24461;L;1;2;G202;263350;263339;263349;2907;
508;18;6490;L;1;4;;20565;20617;42620;157;
508;18;6491;L;1;2;G202;20565;63709;20584;157;
508;18;18492;L;1;2;G202;199344;199331;199351;1222;
508;18;6503;L;1;2;G202;20560;20612;63709;157;
508;18;7787;L;1;2;G202;20680;21904;21217;157;
508;18;6563;L;1;2;G202;20557;21217;20637;157;
508;18;6525;L;1;2;G202;20546;20621;21361;157;
508;18;7769;L;1;2;G202;20550;20639;21897;157;
