CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
508;18;1334;L;3;0;G102;141771;141833;175706;1333;;155
508;18;1385;L;3;0;G102;141771;142139;163716;1333;;155
508;18;3065;L;3;0;;175700;142177;163313;4;;155
508;18;3066;L;3;0;;175701;163313;140767;4;;155
508;18;3067;L;3;0;;175702;140767;175699;4;;155
508;18;3068;L;3;0;;175703;175699;142177;4;;155
508;18;6439;L;3;0;G201;20575;21402;21994;6438;;157
508;18;6448;L;3;0;G201;20575;20584;20586;6438;;157
508;18;7760;L;3;0;G201;20584;21885;86490;7966;;157
508;18;6462;L;3;0;G201;20584;20565;87826;7966;;157
508;18;24402;L;3;0;;263340;263343;263346;24401;;2907
508;18;24403;L;3;0;;263341;263347;263349;24401;;2907
508;18;24404;L;3;0;;263342;263350;263353;24401;;2907
508;18;7792;L;3;0;;20612;263648;21503;7956;;157
508;18;7957;L;3;0;;20612;20564;87842;7956;;157
508;18;522;L;3;0;G304;141758;141760;141821;1316;;155
508;18;1322;L;3;0;G304;141758;145967;141839;1316;;155
508;18;6763;L;3;0;;218553;20734;20708;6762;;157
508;18;6764;L;3;0;;218553;20621;20739;6762;;157
508;18;1351;L;3;0;;141218;144131;140537;1350;;155
508;18;797;L;3;0;;141218;263650;141221;1350;;155
508;18;2581;L;3;0;;140615;142162;141299;3041;;155
508;18;2861;L;3;0;;140615;153809;140611;3041;;155
508;18;7078;L;3;0;;21481;21904;21365;7967;;157
508;18;7663;L;3;0;;21481;87697;21270;7967;;157
508;18;7132;L;3;0;;21229;20730;86490;7490;;157
508;18;7491;L;3;0;;21229;87859;86661;7490;;157
508;18;7159;L;3;0;;21233;20612;53154;7158;;157
508;18;7163;L;3;0;;21233;20742;20639;7158;;157
508;18;713;L;3;0;;141041;141151;140750;1465;;155
508;18;1424;L;3;0;;141041;140696;141033;1465;;155
508;18;7221;L;3;0;;21235;86661;22002;7220;;157
508;18;7224;L;3;0;;21235;21292;52855;7220;;157
508;18;24518;L;3;0;;263396;263361;263345;24517;;2907
508;18;24519;L;3;0;;263397;263399;263402;24517;;2907
508;18;2019;L;3;0;;142249;140876;140881;2018;;155
508;18;2022;L;3;0;;142249;140878;153806;2018;;155
508;18;2026;L;3;0;;142249;140882;151646;2018;;155
508;18;7633;L;3;0;;20605;20726;21476;7670;;157
508;18;7671;L;3;0;;20605;53154;21486;7670;;157
508;18;2360;L;3;0;;141071;140832;141076;2359;;155
508;18;2361;L;3;0;;141071;141095;141250;2359;;155
508;18;606;L;3;0;;141047;140750;140751;2905;;155
508;18;2906;L;3;0;;141047;141119;141060;2905;;155
508;18;24874;L;3;0;;263477;263435;263437;24873;;2907
508;18;24875;L;3;0;;263478;86490;87611;24873;;2907
508;18;25026;L;3;0;;263491;263484;263486;25025;;2907
508;18;25027;L;3;0;;263492;263389;263490;25025;;2907
508;18;1997;L;3;0;;140657;140875;140878;1996;;155
508;18;2001;L;3;0;;140657;153807;142246;1996;;155
508;18;18828;L;3;0;;199398;219727;219769;18831;;1222
508;18;18832;L;3;0;;199398;219728;219737;18831;;1222
508;18;24475;L;3;0;;263376;263374;86490;24474;;2907
508;18;24476;L;3;0;;263377;263382;263384;24474;;2907
508;18;7674;L;3;0;;21489;21486;21237;7968;;157
508;18;7969;L;3;0;;21489;20639;218553;7968;;157
508;18;7094;L;3;0;;21221;21220;22003;7581;;157
508;18;7660;L;3;0;;21221;21524;20543;7581;;157
508;18;7460;L;3;0;;21411;22004;20691;7459;;157
508;18;7463;L;3;0;;21412;20691;87889;7459;;157
508;18;7466;L;3;0;;21413;87889;87887;7459;;157
508;18;7469;L;3;0;;21414;87887;22004;7459;;157
508;18;7125;L;3;0;;21228;21227;22006;7499;;157
508;18;7500;L;3;0;;21228;22007;21230;7499;;157
508;18;1417;L;3;0;;53230;140749;140700;2822;;155
508;18;2823;L;3;0;;53230;140700;141060;2822;;155
508;18;24640;L;3;0;;263438;263374;263436;24639;;2907
508;18;24641;L;3;0;;263439;86490;263384;24639;;2907
508;18;6663;L;3;0;;21217;21201;20557;6662;;157
508;18;6664;L;3;0;;21217;20680;21481;6662;;157
