CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
508;18;1334;;1385
508;18;1385;1334;
508;18;3065;3068;3066
508;18;3066;3065;3067
508;18;3067;3066;3068
508;18;3068;3067;3065
508;18;6439;;6448
508;18;6448;6439;
508;18;7760;;6462
508;18;6462;7760;
508;18;24402;;24403
508;18;24403;24402;24404
508;18;24404;24403;
508;18;7792;;7957
508;18;7957;7792;
508;18;522;;1322
508;18;1322;522;
508;18;6763;;6764
508;18;6764;6763;
508;18;1351;;797
508;18;797;1351;
508;18;2581;;2861
508;18;2861;2581;
508;18;7078;;7663
508;18;7663;7078;
508;18;7132;;7491
508;18;7491;7132;
508;18;7159;;7163
508;18;7163;7159;
508;18;713;;1424
508;18;1424;713;
508;18;7221;;7224
508;18;7224;7221;
508;18;24518;;24519
508;18;24519;24518;
508;18;2019;;2022
508;18;2022;2019;2026
508;18;2026;2022;
508;18;7633;;7671
508;18;7671;7633;
508;18;2360;;2361
508;18;2361;2360;
508;18;606;;2906
508;18;2906;606;
508;18;24874;;24875
508;18;24875;24874;
508;18;25026;;25027
508;18;25027;25026;
508;18;1997;;2001
508;18;2001;1997;
508;18;18828;;18832
508;18;18832;18828;
508;18;24475;;24476
508;18;24476;24475;
508;18;7674;;7969
508;18;7969;7674;
508;18;7094;;7660
508;18;7660;7094;
508;18;7460;7469;7463
508;18;7463;7460;7466
508;18;7466;7463;7469
508;18;7469;7466;7460
508;18;7125;;7500
508;18;7500;7125;
508;18;1417;;2823
508;18;2823;1417;
508;18;24640;;24641
508;18;24641;24640;
508;18;6663;;6664
508;18;6664;6663;
