CID;TABCD;LCD;ALLOCATED
509;19;1;1
509;19;2;1
509;19;3;1
509;19;4;1
509;19;6;1
509;19;5;1
509;19;51;1
509;19;52;1
509;19;53;1
509;19;54;1
509;19;55;1
509;19;56;1
509;19;57;1
509;19;58;1
509;19;59;1
509;19;60;1
509;19;12051;1
509;19;12052;1
509;19;12053;1
509;19;12054;1
509;19;12072;1
509;19;12055;1
509;19;12077;1
509;19;12056;1
509;19;12057;1
509;19;12058;1
509;19;12073;1
509;19;12059;1
509;19;12074;1
509;19;12060;1
509;19;12075;1
509;19;12061;1
509;19;12062;1
509;19;12063;1
509;19;12064;1
509;19;12065;1
509;19;12066;1
509;19;12067;1
509;19;12068;1
509;19;12069;1
509;19;12070;1
509;19;12076;1
509;19;12071;1
509;19;6051;1
509;19;6052;1
509;19;6053;1
509;19;6054;1
509;19;6055;1
509;19;6056;1
509;19;6057;1
509;19;6071;1
509;19;6058;1
509;19;6059;1
509;19;6060;1
509;19;6061;1
509;19;6062;1
509;19;6063;1
509;19;6064;1
509;19;6065;1
509;19;6066;1
509;19;6067;1
509;19;6068;1
509;19;6069;1
509;19;6070;1
509;19;7;0
509;19;8;0
509;19;9;0
509;19;10;0
509;19;11;0
509;19;12;0
509;19;13;0
509;19;14;0
509;19;15;0
509;19;16;0
509;19;17;0
509;19;18;0
509;19;19;0
509;19;20;0
509;19;21;0
509;19;22;0
509;19;23;0
509;19;24;0
509;19;25;0
509;19;26;0
509;19;27;0
509;19;28;0
509;19;29;0
509;19;30;0
509;19;31;0
509;19;32;0
509;19;33;0
509;19;34;0
509;19;35;0
509;19;36;0
509;19;37;0
509;19;38;0
509;19;39;0
509;19;40;0
509;19;41;0
509;19;42;0
509;19;43;0
509;19;44;0
509;19;45;0
509;19;46;0
509;19;47;0
509;19;48;0
509;19;49;0
509;19;50;0
509;19;61;0
509;19;62;0
509;19;63;0
509;19;64;0
509;19;65;0
509;19;66;0
509;19;67;0
509;19;68;0
509;19;69;0
509;19;70;0
509;19;71;0
509;19;72;0
509;19;73;0
509;19;74;0
509;19;75;0
509;19;76;0
509;19;77;0
509;19;78;0
509;19;79;0
509;19;80;0
509;19;81;0
509;19;82;0
509;19;83;0
509;19;84;0
509;19;85;0
509;19;86;0
509;19;87;0
509;19;88;0
509;19;89;0
509;19;90;0
509;19;91;0
509;19;92;0
509;19;93;0
509;19;94;0
509;19;95;0
509;19;96;0
509;19;97;0
509;19;98;0
509;19;99;0
509;19;100;0
509;19;101;0
509;19;102;0
509;19;103;0
509;19;104;0
509;19;105;0
509;19;106;0
509;19;107;0
509;19;108;0
509;19;109;0
509;19;110;0
509;19;111;0
509;19;112;0
509;19;113;0
509;19;114;0
509;19;115;0
509;19;116;0
509;19;117;0
509;19;118;0
509;19;119;0
509;19;120;0
509;19;121;0
509;19;122;0
509;19;123;0
509;19;124;0
509;19;125;0
509;19;126;0
509;19;127;0
509;19;128;0
509;19;129;0
509;19;130;0
509;19;131;0
509;19;132;0
509;19;133;0
509;19;134;0
509;19;135;0
509;19;136;0
509;19;137;0
509;19;138;0
509;19;139;0
509;19;140;0
509;19;141;0
509;19;142;0
509;19;143;0
509;19;144;0
509;19;145;0
509;19;146;0
509;19;147;0
509;19;148;0
509;19;149;0
509;19;150;0
509;19;151;0
509;19;152;0
509;19;153;0
509;19;154;0
509;19;155;0
509;19;156;0
509;19;157;0
509;19;158;0
509;19;159;0
509;19;160;0
509;19;161;0
509;19;162;0
509;19;163;0
509;19;164;0
509;19;165;0
509;19;166;0
509;19;167;0
509;19;168;0
509;19;169;0
509;19;170;0
509;19;171;0
509;19;172;0
509;19;173;0
509;19;174;0
509;19;175;0
509;19;176;0
509;19;177;0
509;19;178;0
509;19;179;0
509;19;180;0
509;19;181;0
509;19;182;0
509;19;183;0
509;19;184;0
509;19;185;0
509;19;186;0
509;19;187;0
509;19;188;0
509;19;189;0
509;19;190;0
509;19;191;0
509;19;192;0
509;19;193;0
509;19;194;0
509;19;195;0
509;19;196;0
509;19;197;0
509;19;198;0
509;19;199;0
509;19;200;0
509;19;201;0
509;19;202;0
509;19;203;0
509;19;204;0
509;19;205;0
509;19;206;0
509;19;207;0
509;19;208;0
509;19;209;0
509;19;210;0
509;19;211;0
509;19;212;0
509;19;213;0
509;19;214;0
509;19;215;0
509;19;216;0
509;19;217;0
509;19;218;0
509;19;219;0
509;19;220;0
509;19;221;0
509;19;222;0
509;19;223;0
509;19;224;0
509;19;225;0
509;19;226;0
509;19;227;0
509;19;228;0
509;19;229;0
509;19;230;0
509;19;231;0
509;19;232;0
509;19;233;0
509;19;234;0
509;19;235;0
509;19;236;0
509;19;237;0
509;19;238;0
509;19;239;0
509;19;240;0
509;19;241;0
509;19;242;0
509;19;243;0
509;19;244;0
509;19;245;0
509;19;246;0
509;19;247;0
509;19;248;0
509;19;249;0
509;19;250;0
509;19;251;0
509;19;252;0
509;19;253;0
509;19;254;0
509;19;255;0
509;19;256;0
509;19;257;0
509;19;258;0
509;19;259;0
509;19;260;0
509;19;261;0
509;19;262;0
509;19;263;0
509;19;264;0
509;19;265;0
509;19;266;0
509;19;267;0
509;19;268;0
509;19;269;0
509;19;270;0
509;19;271;0
509;19;272;0
509;19;273;0
509;19;274;0
509;19;275;0
509;19;276;0
509;19;277;0
509;19;278;0
509;19;279;0
509;19;280;0
509;19;281;0
509;19;282;0
509;19;283;0
509;19;284;0
509;19;285;0
509;19;286;0
