CID;LID;NID;NAME;NCOMMENT
509;1;1;亚洲;
509;1;2;中国;
509;1;3;贵州省;
509;1;4;贵阳市;
509;1;40;黔南布依族苗族自治州;
509;1;21;遵义市;
509;1;5;兰海高速公路贵阳段;
509;1;7;贵阳绕城高速公路;
509;1;20;乌江服务区;
509;1;14;Ｓ１０３;
509;1;38;三元收费站;
509;1;15;贵毕高速公路;
509;1;16;久长停车区;
509;1;17;Ｓ３０５;
509;1;18;息烽收费站;
509;1;19;小寨坝收费站;
509;1;41;兰海高速公路黔南段;
509;1;10;Ｇ２１０;
509;1;43;新寨服务区;
509;1;44;麻尾收费站;
509;1;56;麻驾高速公路;
509;1;57;下司收费站;
509;1;68;子为停车区;
509;1;45;上司收费站;
509;1;46;姚家寨停车区;
509;1;47;独山收费站;
509;1;58;深河大桥观景台;
509;1;48;墨冲收费站;
509;1;59;上堡服务区;
509;1;49;都匀南收费站;
509;1;60;厦蓉高速公路;
509;1;50;都匀服务区;
509;1;51;都匀北收费站;
509;1;52;沪昆高速公路;
509;1;53;马场坪收费站;
509;1;54;黄丝收费站;
509;1;12;贵定收费站;
509;1;11;牟珠洞服务区;
509;1;55;盘江收费站;
509;1;9;龙里收费站;
509;1;8;龙里服务区;
509;1;61;小碧服务区;
509;1;22;兰海高速公路遵义段;
509;1;67;松坎西加油站;
509;1;62;乌江收费站;
509;1;23;三合收费站;
509;1;63;南白收费站;
509;1;64;服务区;
509;1;65;马家湾收费站;
509;1;69;Ｇ５６;
509;1;27;遵义南收费站;
509;1;28;遵义服务区;
509;1;66;遵义收费站;
509;1;30;遵义北收费站;
509;1;31;高坪停车区;
509;1;32;观坝收费站;
509;1;33;桐梓服务区;
509;1;34;桐梓收费站;
509;1;35;楚米收费站;
509;1;36;凉风垭停车区;
509;1;37;太白收费站;
