CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
509;19;52;;53
509;19;53;52;54
509;19;54;53;55
509;19;55;54;56
509;19;56;55;57
509;19;57;56;58
509;19;58;57;59
509;19;59;58;60
509;19;60;59;
509;19;12052;;12053
509;19;12053;12052;12054
509;19;12054;12053;12072
509;19;12072;12054;12055
509;19;12055;12072;12077
509;19;12077;12055;12056
509;19;12056;12077;12057
509;19;12057;12056;12058
509;19;12058;12057;12073
509;19;12073;12058;12059
509;19;12059;12073;12074
509;19;12074;12059;12060
509;19;12060;12074;12075
509;19;12075;12060;12061
509;19;12061;12075;12062
509;19;12062;12061;12063
509;19;12063;12062;12064
509;19;12064;12063;12065
509;19;12065;12064;12066
509;19;12066;12065;12067
509;19;12067;12066;12068
509;19;12068;12067;12069
509;19;12069;12068;12070
509;19;12070;12069;12076
509;19;12076;12070;12071
509;19;12071;12076;
509;19;6052;;6053
509;19;6053;6052;6054
509;19;6054;6053;6055
509;19;6055;6054;6056
509;19;6056;6055;6057
509;19;6057;6056;6071
509;19;6071;6057;6058
509;19;6058;6071;6059
509;19;6059;6058;6060
509;19;6060;6059;6061
509;19;6061;6060;6062
509;19;6062;6061;6063
509;19;6063;6062;6064
509;19;6064;6063;6065
509;19;6065;6064;6066
509;19;6066;6065;6067
509;19;6067;6066;6068
509;19;6068;6067;6069
509;19;6069;6068;6070
509;19;6070;6069;
