CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
509;19;52;P;1;1;;5;7;;4;;;51;1;1;1;1;1;1;;;+10668763;+2669267;0;0
509;19;53;P;1;3;;5;14;;4;;;51;1;1;1;1;1;1;;;+10669387;+2672600;0;0
509;19;54;P;1;3;;5;38;;4;;;51;1;1;1;1;1;1;;;+10671105;+2681316;0;0
509;19;55;P;1;1;;5;15;;4;;;51;1;1;1;1;1;1;;;+10670917;+2686066;0;0
509;19;56;P;3;8;;5;16;;4;;;51;1;1;1;1;1;1;;;+10669967;+2689460;0;0
509;19;57;P;1;3;;5;17;;4;;;51;1;1;1;1;1;1;;;+10669453;+2692433;0;0
509;19;58;P;1;3;;5;18;;4;;;51;1;1;1;1;1;1;;;+10670828;+2708800;0;0
509;19;59;P;1;3;;5;19;;4;;;51;1;1;1;1;1;1;;;+10673182;+2718359;0;0
509;19;60;P;3;3;;5;20;;4;;;51;1;1;1;1;1;1;;;+10676659;+2726885;0;0
509;19;12052;P;1;3;;41;10;;6;;;12051;1;1;1;1;1;1;;;+10742703;+2531192;0;0
509;19;12053;P;3;3;;41;43;;6;;;12051;1;1;1;1;1;1;;;+10742979;+2531390;0;0
509;19;12054;P;1;3;;41;44;;6;;;12051;1;1;1;1;1;1;;;+10744133;+2534731;0;0
509;19;12072;P;1;1;;41;56;;6;;;12051;1;1;1;1;1;1;;;+10743198;+2536970;0;0
509;19;12055;P;1;3;;41;57;;6;;;12051;1;1;1;1;1;1;;;+10743578;+2546530;0;0
509;19;12077;P;3;8;;41;68;;6;;;12051;1;1;1;1;1;1;;;+10745821;+2551950;0;0
509;19;12056;P;1;3;;41;45;;6;;;12051;1;1;1;1;1;1;;;+10749019;+2560702;0;0
