CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
59;1;1;A;1;0;1;
59;1;2;A;3;0;2;1
59;1;3;A;7;0;3;2
59;1;829;A;8;0;4;3
59;1;833;A;9;2;5;829
59;1;835;A;9;2;7;829
59;1;836;A;9;2;8;829
59;1;838;A;9;2;9;829
59;1;839;A;9;2;10;829
59;1;840;A;9;2;11;829
59;1;842;A;9;2;12;829
59;1;830;A;9;2;13;829
59;1;831;A;9;2;14;829
59;1;844;A;9;2;15;829
59;1;847;A;9;2;17;829
59;1;848;A;9;2;18;829
59;1;850;A;9;2;19;829
59;1;851;A;9;2;20;829
59;1;854;A;9;2;21;829
59;1;855;A;9;2;22;829
59;1;856;A;9;2;23;829
59;1;834;A;9;2;6;829
