CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
59;1;4075;59;1;4081
59;1;4081;59;1;4075
59;1;4082;59;1;8802
59;1;8802;59;1;4082
59;1;4083;59;1;4093
59;1;4093;59;1;4083
59;1;8205;59;1;8206
59;1;8206;59;1;8205
59;1;4049;59;1;4098
59;1;4098;59;1;4049
59;1;4100;59;1;4137
59;1;4137;59;1;4100
59;1;7343;59;1;7540
59;1;7540;59;1;8209
59;1;8209;59;1;7343
59;1;4101;59;1;7436
59;1;7436;59;1;7541
59;1;7541;59;1;4101
59;1;4001;59;1;4032
59;1;4032;59;1;4001
59;1;4004;59;1;4018
59;1;4018;59;1;4004
59;1;4007;59;1;7406
59;1;7406;59;1;4007
59;1;183;59;1;3103
59;1;3103;59;1;4950
59;1;4950;59;1;183
59;1;4949;59;1;8437
59;1;8437;59;1;4949
59;1;4948;59;1;4951
59;1;4951;59;1;4948
59;1;113;59;1;4946
59;1;4946;59;1;113
59;1;4945;59;1;6721
59;1;6721;59;1;4945
59;1;4113;59;1;4143
59;1;4143;59;1;4113
59;1;4057;59;1;8770
59;1;8770;59;1;4057
59;1;4058;59;1;4107
59;1;4107;59;1;4058
59;1;4062;59;1;8872
59;1;8872;59;1;4062
59;1;4063;59;1;4087
59;1;4087;59;1;4063
59;1;4054;59;1;4067
59;1;4067;59;1;4078
59;1;4078;59;1;4054
59;1;4070;59;1;4214
59;1;4214;59;1;4070
59;1;4047;59;1;4071
59;1;4071;59;1;4047
59;1;4012;59;1;4021
59;1;4021;59;1;4012
59;1;4019;59;1;7685
59;1;7685;59;1;7687
59;1;7687;59;1;4019
59;1;4122;59;1;4124
59;1;4124;59;1;4122
59;1;4127;59;1;7831
59;1;7831;59;1;4127
59;1;1503;59;1;2202
59;1;2202;59;1;4130
59;1;4130;59;1;1503
59;1;172;59;1;1696
59;1;1696;59;1;172
59;1;1699;59;1;7073
59;1;7073;59;1;9519
59;1;9519;59;1;1699
59;1;174;59;1;3001
59;1;3001;59;1;174
59;1;559;59;1;3004
59;1;3004;59;1;559
59;1;189;59;1;3023
59;1;3023;59;1;7032
59;1;7032;59;1;189
59;1;268;59;1;3027
59;1;3027;59;1;268
59;1;1832;59;1;3030
59;1;3030;59;1;1832
59;1;3032;59;1;3518
59;1;3518;59;1;6869
59;1;6869;59;1;3032
59;1;740;59;1;3036
59;1;3036;59;1;4118
59;1;4118;59;1;4141
59;1;4141;59;1;740
59;1;284;59;1;3042
59;1;3042;59;1;284
59;1;683;59;1;3045
59;1;3045;59;1;683
59;1;329;59;1;676
59;1;676;59;1;3048
59;1;3048;59;1;4139
59;1;4139;59;1;7338
59;1;7338;59;1;329
59;1;1836;59;1;3053
59;1;3053;59;1;9154
59;1;9154;59;1;1836
59;1;3056;59;1;4066
59;1;4066;59;1;3056
59;1;2400;59;1;3059
59;1;3059;59;1;2400
59;1;3063;59;1;4119
59;1;4119;59;1;3063
59;1;3067;59;1;7654
59;1;7654;59;1;3067
59;1;799;59;1;3071
59;1;3071;59;1;799
59;1;1889;59;1;3074
59;1;3074;59;1;1889
59;1;152;59;1;1887
59;1;1887;59;1;3077
59;1;3077;59;1;7828
59;1;7828;59;1;8202
59;1;8202;59;1;152
59;1;1880;59;1;3080
59;1;3080;59;1;6073
59;1;6073;59;1;1880
59;1;1883;59;1;2199
59;1;2199;59;1;3084
59;1;3084;59;1;1883
59;1;3090;59;1;6575
59;1;6575;59;1;3090
59;1;597;59;1;1852
59;1;1852;59;1;3093
59;1;3093;59;1;597
59;1;1848;59;1;2358
59;1;2358;59;1;3097
59;1;3097;59;1;1848
59;1;1846;59;1;3100
59;1;3100;59;1;6609
59;1;6609;59;1;1846
59;1;3106;59;1;3548
59;1;3548;59;1;3106
59;1;2328;59;1;3109
59;1;3109;59;1;2328
59;1;813;59;1;3112
59;1;3112;59;1;813
59;1;2377;59;1;3115
59;1;3115;59;1;6626
59;1;6626;59;1;2377
59;1;3118;59;1;3471
59;1;3471;59;1;4681
59;1;4681;59;1;6657
59;1;6657;59;1;3118
59;1;154;59;1;758
59;1;758;59;1;760
59;1;760;59;1;5730
59;1;5730;59;1;154
59;1;142;59;1;155
59;1;155;59;1;915
59;1;915;59;1;1702
59;1;1702;59;1;1813
59;1;1813;59;1;1897
59;1;1897;59;1;2210
59;1;2210;59;1;142
59;1;1500;59;1;2219
59;1;2219;59;1;1500
59;1;7403;59;1;7815
59;1;7815;59;1;7403
59;1;7399;59;1;7404
59;1;7404;59;1;7399
59;1;7408;59;1;7677
59;1;7677;59;1;7408
59;1;7409;59;1;7725
59;1;7725;59;1;7409
59;1;7410;59;1;7605
59;1;7605;59;1;7713
59;1;7713;59;1;7410
59;1;7411;59;1;7696
59;1;7696;59;1;7411
59;1;7414;59;1;7748
59;1;7748;59;1;7764
59;1;7764;59;1;7414
59;1;7415;59;1;7708
59;1;7708;59;1;7415
59;1;7416;59;1;7649
59;1;7649;59;1;7416
59;1;7417;59;1;7619
59;1;7619;59;1;7417
59;1;7418;59;1;7626
59;1;7626;59;1;7418
59;1;1966;59;1;7420
59;1;7420;59;1;7578
59;1;7578;59;1;1966
59;1;1963;59;1;7421
59;1;7421;59;1;7537
59;1;7537;59;1;1963
59;1;1961;59;1;7423
59;1;7423;59;1;1961
59;1;1952;59;1;3603
59;1;3603;59;1;1952
59;1;136;59;1;1953
59;1;1953;59;1;2242
59;1;2242;59;1;136
59;1;1751;59;1;1954
59;1;1954;59;1;2309
59;1;2309;59;1;1751
59;1;1958;59;1;5699
59;1;5699;59;1;1958
59;1;1959;59;1;6020
59;1;6020;59;1;1959
59;1;1960;59;1;6018
59;1;6018;59;1;1960
59;1;7545;59;1;7562
59;1;7562;59;1;7566
59;1;7566;59;1;7545
59;1;7391;59;1;7547
59;1;7547;59;1;7391
59;1;8463;59;1;9393
59;1;9393;59;1;8463
59;1;7533;59;1;7549
59;1;7549;59;1;7533
59;1;7505;59;1;7551
59;1;7551;59;1;7505
59;1;6006;59;1;6008
59;1;6008;59;1;7552
59;1;7552;59;1;6006
59;1;2306;59;1;2401
59;1;2401;59;1;2306
59;1;707;59;1;1990
59;1;1990;59;1;2238
59;1;2238;59;1;4131
59;1;4131;59;1;707
59;1;483;59;1;699
59;1;699;59;1;701
59;1;701;59;1;483
59;1;22;59;1;465
59;1;465;59;1;704
59;1;704;59;1;22
59;1;705;59;1;712
59;1;712;59;1;705
59;1;706;59;1;2313
59;1;2313;59;1;706
59;1;8595;59;1;9020
59;1;9020;59;1;8595
59;1;7268;59;1;7315
59;1;7315;59;1;7268
59;1;7304;59;1;7306
59;1;7306;59;1;7320
59;1;7320;59;1;7304
59;1;7321;59;1;7424
59;1;7424;59;1;7321
59;1;7332;59;1;7539
59;1;7539;59;1;9403
59;1;9403;59;1;9405
59;1;9405;59;1;7332
59;1;3507;59;1;6916
59;1;6916;59;1;7334
59;1;7334;59;1;3507
59;1;3530;59;1;7335
59;1;7335;59;1;3530
59;1;7337;59;1;7442
59;1;7442;59;1;7337
59;1;7105;59;1;7119
59;1;7119;59;1;7105
59;1;7106;59;1;7226
59;1;7226;59;1;7106
59;1;7109;59;1;7355
59;1;7355;59;1;8859
59;1;8859;59;1;7109
59;1;6980;59;1;7113
59;1;7113;59;1;6980
59;1;6959;59;1;7114
59;1;7114;59;1;6959
59;1;3716;59;1;7115
59;1;7115;59;1;3716
59;1;3665;59;1;6965
59;1;6965;59;1;7116
59;1;7116;59;1;3665
59;1;8853;59;1;9136
59;1;9136;59;1;8853
59;1;8817;59;1;8856
59;1;8856;59;1;8817
59;1;8758;59;1;8760
59;1;8760;59;1;8857
59;1;8857;59;1;8758
59;1;3663;59;1;6938
59;1;6938;59;1;3663
59;1;3664;59;1;6929
59;1;6929;59;1;3664
59;1;3666;59;1;6947
59;1;6947;59;1;3666
59;1;3667;59;1;6888
59;1;6888;59;1;8747
59;1;8747;59;1;3667
59;1;3521;59;1;6896
59;1;6896;59;1;3521
59;1;3492;59;1;3522
59;1;3522;59;1;3492
59;1;3509;59;1;3523
59;1;3523;59;1;3775
59;1;3775;59;1;3509
59;1;3524;59;1;3526
59;1;3526;59;1;6925
59;1;6925;59;1;9123
59;1;9123;59;1;3524
59;1;8588;59;1;8808
59;1;8808;59;1;8588
59;1;8814;59;1;8847
59;1;8847;59;1;8814
59;1;8806;59;1;8815
59;1;8815;59;1;8806
59;1;8816;59;1;8819
59;1;8819;59;1;8816
59;1;3506;59;1;4138
59;1;4138;59;1;3506
59;1;8253;59;1;8441
59;1;8441;59;1;8253
59;1;4042;59;1;4051
59;1;4051;59;1;4042
59;1;3527;59;1;4140
59;1;4140;59;1;3527
59;1;108;59;1;4111
59;1;4111;59;1;108
59;1;109;59;1;7069
59;1;7069;59;1;109
59;1;110;59;1;6646
59;1;6646;59;1;110
59;1;112;59;1;7056
59;1;7056;59;1;112
59;1;114;59;1;4686
59;1;4686;59;1;6699
59;1;6699;59;1;114
59;1;4144;59;1;8056
59;1;8056;59;1;4144
59;1;169;59;1;804
59;1;804;59;1;807
59;1;807;59;1;8194
59;1;8194;59;1;169
59;1;809;59;1;8919
59;1;8919;59;1;809
59;1;808;59;1;2382
59;1;2382;59;1;808
59;1;810;59;1;2287
59;1;2287;59;1;2290
59;1;2290;59;1;810
59;1;811;59;1;3539
59;1;3539;59;1;811
59;1;3632;59;1;6651
59;1;6651;59;1;3632
59;1;7075;59;1;9411
59;1;9411;59;1;7075
59;1;3625;59;1;7077
59;1;7077;59;1;3625
59;1;6801;59;1;7078
59;1;7078;59;1;6801
59;1;7005;59;1;7079
59;1;7079;59;1;7005
59;1;6982;59;1;7081
59;1;7081;59;1;6982
59;1;6811;59;1;7082
59;1;7082;59;1;6811
59;1;6828;59;1;7085
59;1;7085;59;1;6828
59;1;6830;59;1;7088
59;1;7088;59;1;6830
59;1;7063;59;1;7091
59;1;7091;59;1;8957
59;1;8957;59;1;7063
59;1;7060;59;1;7100
59;1;7100;59;1;7060
59;1;7093;59;1;8844
59;1;8844;59;1;7093
59;1;8831;59;1;8871
59;1;8871;59;1;8831
59;1;8763;59;1;8870
59;1;8870;59;1;8763
59;1;6822;59;1;7021
59;1;7021;59;1;6822
59;1;6796;59;1;7027
59;1;7027;59;1;6796
59;1;6786;59;1;7028
59;1;7028;59;1;6786
59;1;286;59;1;3529
59;1;3529;59;1;4148
59;1;4148;59;1;286
59;1;285;59;1;6849
59;1;6849;59;1;285
59;1;282;59;1;3926
59;1;3926;59;1;282
59;1;281;59;1;3937
59;1;3937;59;1;281
59;1;128;59;1;280
59;1;280;59;1;1821
59;1;1821;59;1;128
59;1;279;59;1;5020
59;1;5020;59;1;279
59;1;278;59;1;5026
59;1;5026;59;1;5028
59;1;5028;59;1;278
59;1;277;59;1;3534
59;1;3534;59;1;277
59;1;276;59;1;8011
59;1;8011;59;1;276
59;1;275;59;1;5361
59;1;5361;59;1;275
59;1;272;59;1;274
59;1;274;59;1;746
59;1;746;59;1;1992
59;1;1992;59;1;272
59;1;7230;59;1;7232
59;1;7232;59;1;7230
59;1;7219;59;1;7233
59;1;7233;59;1;7219
59;1;7209;59;1;7234
59;1;7234;59;1;7209
59;1;7235;59;1;7258
59;1;7258;59;1;7235
59;1;7166;59;1;7181
59;1;7181;59;1;7237
59;1;7237;59;1;7166
59;1;7240;59;1;7293
59;1;7293;59;1;7240
59;1;7243;59;1;7349
59;1;7349;59;1;7243
59;1;7244;59;1;8781
59;1;8781;59;1;7244
59;1;3505;59;1;7245
59;1;7245;59;1;3505
59;1;8582;59;1;8756
59;1;8756;59;1;8582
59;1;7145;59;1;7228
59;1;7228;59;1;7145
59;1;8788;59;1;8799
59;1;8799;59;1;8801
59;1;8801;59;1;8788
59;1;7272;59;1;7428
59;1;7428;59;1;7272
59;1;7309;59;1;7432
59;1;7432;59;1;7309
59;1;7380;59;1;7433
59;1;7433;59;1;7380
59;1;7434;59;1;7471
59;1;7471;59;1;7434
59;1;7437;59;1;7485
59;1;7485;59;1;7437
59;1;6920;59;1;7439
59;1;7439;59;1;9152
59;1;9152;59;1;9160
59;1;9160;59;1;9551
59;1;9551;59;1;6920
59;1;3638;59;1;8268
59;1;8268;59;1;3638
59;1;3639;59;1;6002
59;1;6002;59;1;8249
59;1;8249;59;1;9153
59;1;9153;59;1;9196
59;1;9196;59;1;3639
59;1;1837;59;1;3951
59;1;3951;59;1;1837
59;1;477;59;1;2114
59;1;2114;59;1;477
59;1;5532;59;1;9150
59;1;9150;59;1;5532
59;1;203;59;1;791
59;1;791;59;1;5537
59;1;5537;59;1;203
59;1;460;59;1;792
59;1;792;59;1;928
59;1;928;59;1;460
59;1;793;59;1;5635
59;1;5635;59;1;5637
59;1;5637;59;1;793
59;1;3593;59;1;3607
59;1;3607;59;1;3593
59;1;794;59;1;8128
59;1;8128;59;1;794
59;1;795;59;1;2248
59;1;2248;59;1;2276
59;1;2276;59;1;795
59;1;796;59;1;1902
59;1;1902;59;1;9531
59;1;9531;59;1;796
59;1;797;59;1;2121
59;1;2121;59;1;797
59;1;3618;59;1;5995
59;1;5995;59;1;3618
