CID;LID;NID;NAME;NCOMMENT
59;1;1;亚洲;
59;1;2;中国;
59;1;3;上海;
59;1;4;上海市;
59;1;5;宝山区;
59;1;7;崇明县;
59;1;8;奉贤区;
59;1;9;虹口区;
59;1;10;黄浦区;
59;1;11;嘉定区;
59;1;12;金山区;
59;1;13;静安区;
59;1;14;卢湾区;
59;1;15;闵行区;
59;1;17;浦东新区;
59;1;18;普陀区;
59;1;19;青浦区;
59;1;20;松江区;
59;1;21;徐汇区;
59;1;22;杨浦区;
59;1;23;闸北区;
59;1;6;长宁区;
59;1;9123;沈海高速公路;
59;1;9447;金山服务区;
59;1;9276;庙村;
59;1;9136;新卫高速公路;
59;1;9603;松卫南路;
59;1;9124;沪金高速公路;
59;1;8370;朱吕公路;
59;1;9134;上海绕城高速公路南;
59;1;8340;叶新公路;
59;1;9130;叶榭服务区;
59;1;8864;申嘉湖高速公路;
59;1;9131;沪昆高速公路;
59;1;8372;莘砖公路;
59;1;3516;沪松公路;
59;1;9132;沪渝高速公路;
59;1;4417;崧泽大道;
59;1;8321;北青公路;
59;1;4990;京沪高速公路;
59;1;4522;联群路;
59;1;4534;安辰路;
59;1;9135;上海绕城高速公路北;
59;1;3502;沪宜公路;
59;1;8318;汇源路;
59;1;8915;上海绕城高速公路;
59;1;9129;外环高速公路;
59;1;2919;海江路;
59;1;9072;沪陕高速公路;
59;1;9733;旬阳路;
59;1;2319;龙东大道;
59;1;9438;合庆服务区;
59;1;436;华夏东路;
59;1;9152;迎宾高速公路;
59;1;3434;机场大道;
59;1;9439;施湾六路;
59;1;4263;拱极路;
59;1;8347;东大公路;
59;1;9126;沪芦高速公路;
59;1;8349;新四平公路;
59;1;8350;瓦洪公路;
59;1;8351;南奉公路;
59;1;10009;林海公路;
59;1;2933;浦星公路;
59;1;8352;浦卫公路;
59;1;8356;庄行服务区;
59;1;8354;东日路;
59;1;9440;塔闵路;
59;1;7533;服务区;
59;1;4372;沈砖公路;
59;1;4379;外青松公路;
59;1;1500;宝安公路;
59;1;4477;嘉安公路;
59;1;9309;沈海高速公路北侧;
59;1;4542;合作路;
59;1;8401;沪嘉高速公路南侧;
59;1;3854;浏翔公路;
59;1;4058;沪太公路;
59;1;805;蕰川公路;
59;1;8391;城西服务区;
59;1;5604;富锦路;
59;1;9178;外环高速公路南段;
59;1;9699;沪闵路出口;
59;1;2315;申江路;
59;1;206;罗山路;
59;1;4983;沪南公路;
59;1;2928;东侧杨高南路出入口;
59;1;1847;杨高南路;
59;1;2930;西侧杨高南路出入口;
59;1;1846;上南路;
59;1;139;长清路;
59;1;9734;徐浦大桥（浦星公路）;
59;1;9735;徐浦大桥（龙吴路）;
59;1;1856;虹梅南路;
59;1;1855;莲花南路;
59;1;9179;外环高速公路西段;
59;1;9700;西侧沪太路出入口;
59;1;2940;莘庄立交桥;
59;1;2117;报春路;
59;1;2942;南侧顾戴路出入口;
59;1;2943;北侧顾戴路出入口;
59;1;59;漕宝路;
59;1;262;吴中路;
59;1;2947;沪青平高速出口;
59;1;9705;外环沪青平立交桥;
59;1;2103;延安高架路;
59;1;328;虹桥路２４８９弄;
59;1;2951;天山西路出入口;
59;1;46;北翟路;
59;1;2953;北翟路出入口;
59;1;9706;南侧京沪高速出入口;
59;1;7544;外环沪宁立交桥;
59;1;9707;北侧京沪高速出入口;
59;1;2752;曹安公路;
59;1;9708;北侧曹安公路出入口;
59;1;2959;庵桥湾;
59;1;2960;真南路出入口;
59;1;514;真南路;
59;1;7551;外环沪嘉立交桥;
59;1;9709;沪嘉高速公路出入口;
59;1;848;南大路;
59;1;174;丰翔路;
59;1;9180;外环高速公路北段;
59;1;9702;西侧凌海路出入口;
59;1;121;沪太路;
59;1;9701;东侧沪太路出入口;
59;1;195;富长路;
59;1;2970;西侧南北高架路出入口;
59;1;1788;南北高架路;
59;1;2972;东侧南北高架路出入口;
59;1;2973;江杨北路出入口;
59;1;2869;江杨北路;
59;1;2975;泰和路出入口;
59;1;2976;同济路入口;
59;1;2977;凇滨路;
59;1;2872;同济路;
59;1;10048;外环隧道（同济路）;
59;1;9933;外环隧道（江东路）;
59;1;2982;路家浜;
59;1;9181;外环高速公路东段;
59;1;608;凌海路;
59;1;9703;东侧凌海路出入口;
59;1;1932;张杨北路;
59;1;2987;杨高北路出入口;
59;1;2019;航津路;
59;1;458;洲海路;
59;1;2703;五洲大道;
59;1;558;巨峰路;
59;1;516;金海路;
59;1;207;高科中路;
59;1;8912;华夏高架路;
59;1;93;逸仙高架路;
59;1;1822;内环高架路;
59;1;9155;海江路（上海绕城高速公路）;
59;1;9158;甘河路;
59;1;1760;中环路;
59;1;475;纪念路;
59;1;3370;三门路;
59;1;3371;安汾路;
59;1;4030;高逸路;
59;1;106;长逸路;
59;1;3374;军工路入口;
59;1;9723;军工路出口;
59;1;3376;安达路;
59;1;1014;淞浦路;
59;1;9736;泰和路（上海绕城高速公路）;
59;1;9154;同济支路（上海绕城高速公路）;
59;1;3852;宝钱公路;
59;1;4425;嘉松北路;
59;1;4480;大碾路;
59;1;4481;嘉朱公路;
59;1;4482;胜辛路;
59;1;4483;清河路;
59;1;4484;永盛路;
59;1;4485;富蕴路;
59;1;4486;群裕路;
59;1;3851;嘉罗公路;
59;1;4487;叶城路;
59;1;4488;白银路;
59;1;4489;丰登路;
59;1;4490;希望路;
59;1;4491;双单路;
59;1;3504;翔江公路;
59;1;4492;火车站路;
59;1;1983;交通路;
59;1;9189;宝安公路（沪宜公路）;
59;1;2182;新村路;
59;1;55;真北路;
59;1;1740;祁连山南路;
59;1;3496;景泰路;
59;1;2744;武威路;
59;1;3498;常和路;
59;1;2745;古浪路;
59;1;3500;红柳路;
59;1;3501;金迎路;
59;1;3503;德园路;
59;1;9186;翔江公路（沪宜公路）;
59;1;9187;陈翔路（沪宜公路）;
59;1;9188;嘉美路（沪宜公路）;
59;1;4518;墨玉南路;
59;1;4519;于田南路;
59;1;4529;春浓路;
59;1;4517;星华公路;
59;1;4512;金园一路;
59;1;3728;华江公路;
59;1;1745;武宁路;
59;1;1782;长寿路;
59;1;1744;中山北路;
59;1;56;曹杨路;
59;1;147;大渡河路;
59;1;2084;沪青平公路;
59;1;2297;延安西路;
59;1;9651;金商公路;
59;1;9650;练西公路;
59;1;8400;朱枫公路;
59;1;9649;酒龙公路;
59;1;9944;漕盈路;
59;1;4441;华青南路;
59;1;4426;庆丰路;
59;1;4442;公园东路;
59;1;4443;崧华路;
59;1;4444;佘北公路;
59;1;4454;嘉松中路;
59;1;9945;徐源路;
59;1;9140;徐盈路;
59;1;9141;联民路;
59;1;4446;华徐公路;
59;1;4447;蟠龙路;
59;1;4448;诸光路;
59;1;1683;中春路;
59;1;70;七莘路;
59;1;9142;航新路;
59;1;9996;航云路;
59;1;3790;北松公路;
59;1;4333;环城路;
59;1;3749;放鹤路;
59;1;4334;松卫北路;
59;1;9946;香闵公路;
59;1;4339;新车公路;
59;1;9477;影维路;
59;1;9478;汇北路;
59;1;4340;曙光路;
59;1;4285;昆阳路;
59;1;4276;华宁路;
59;1;9628;金玉路;
59;1;9688;申牛路;
59;1;9592;车亭公路;
59;1;9614;大亭公路;
59;1;392;沪闵公路;
59;1;10053;东川路地铁站;
59;1;9593;沪杭公路;
59;1;3748;浦江路;
59;1;3513;莘松路;
59;1;3740;东川路;
59;1;3741;剑川路;
59;1;3743;元江路;
59;1;3750;颛兴路;
59;1;2074;金都路;
59;1;2076;银都路;
59;1;132;春申路;
59;1;8338;亭枫公路;
59;1;9997;枫泾立交;
59;1;9741;兴新公路;
59;1;9609;兴桂路;
59;1;9610;朱平公路;
59;1;9611;沈浦泾路;
59;1;9660;小康路;
59;1;9591;松金公路;
59;1;9725;沿江公路;
59;1;9225;潘圆公路;
59;1;9226;长兴岛服务区;
59;1;9227;陈海公路;
59;1;9726;向化公路;
59;1;9441;淀山湖服务区;
59;1;8399;培雅路;
59;1;9202;虹渝高架路;
59;1;9139;亭枫高速公路;
59;1;6737;莘庄桥;
59;1;9277;枫泾收费站;
59;1;8341;苗圃公路;
