CID;LID;NID;NTRANSLATION
59;2;1;ya zhou
59;3;1;Asia
59;2;2;zhong guo
59;3;2;China
59;2;3;shang hai
59;3;3;SHANGHAI
59;2;4;shang hai shi
59;3;4;Shanghai
59;2;5;bao shan qu
59;3;5;Baoshan District
59;2;6;chang ning qu
59;3;6;Changning District
59;2;7;chong ming xian
59;3;7;Chongming County
59;2;8;feng xian qu
59;3;8;Fengxian District
59;2;9;hong kou qu
59;3;9;Hongkou District
59;2;10;huang pu qu
59;3;10;Huangpu District
59;2;11;jia ding qu
59;3;11;Jiading District
59;2;12;jin shan qu
59;3;12;Jinshan District
59;2;13;jing an qu
59;3;13;Jing'an District
59;2;14;lu wan qu
59;3;14;Luwan District
59;2;15;min hang qu
59;3;15;Minhang District
59;2;17;pu dong xin qu
59;3;17;Pudong New Area
59;2;18;pu tuo qu
59;3;18;Putuo District
59;2;19;qing pu qu
59;3;19;Qingpu District
59;2;20;song jiang qu
59;3;20;Songjiang District
59;2;21;xu hui qu
59;3;21;Xuhui District
59;2;22;yang pu qu
59;3;22;Yangpu District
59;2;23;zha bei qu
59;3;23;Zhabei District
59;2;27;bao qing lu
59;3;27;Baoqing Rd
59;2;28;tao jiang lu
59;3;28;Taojiang Rd
59;2;29;huai hai zhong lu
59;3;29;Huaihai Rd (M)
59;2;30;bao shan lu
59;3;30;Baoshan Rd
59;2;31;tian mu dong lu
59;3;31;Tianmu Rd (E)
59;2;32;dong jiang wan lu
59;3;32;E Jiangwan Rd
59;2;35;bei hong lu
59;3;35;Beihong Rd
59;2;36;hong gu lu
59;3;36;Honggu Rd
59;2;37;tian shan xi lu
59;3;37;Tianshan Rd (W)
59;2;38;bei jing dong lu
59;3;38;Beijing Rd (E)
59;2;39;xi zang zhong lu
59;3;39;Xizang Rd (M)
59;2;40;zhong shan dong yi lu
59;3;40;Zhongshan Rd (E-1)
59;2;41;bei jing xi lu
59;3;41;Beijing Rd (W)
59;2;42;nan bei gao jia xi ce
59;3;42;Nanbei Viad W
59;2;44;yu yuan lu
59;3;44;Yuyuan Rd
59;2;46;bei di lu
59;3;46;Beidi Rd
59;2;48;chang ning lu
59;3;48;Changning Rd
59;2;49;cao an gong lu bei ce
59;3;49;Caoan Hwy N
59;2;50;wai huan gao su gong lu nei quan
59;3;50;Outer Ring Hwy Inside Ring
59;2;51;cao an gong lu nan ce
59;3;51;Caoan Hwy S
59;2;52;wai huan gao su gong lu wai quan za dao
59;3;52;Outer Ring Hwy Outside Ring Ramp
59;2;53;cao an lu
59;3;53;Caoan Rd
59;2;55;zhen bei lu
59;3;55;Zhenbei Rd
59;2;56;cao yang lu
59;3;56;Caoyang Rd
59;2;57;jiang su bei lu
59;3;57;Jiangsu Rd (N)
59;2;58;tao pu lu
59;3;58;Taopu Rd
59;2;59;cao bao lu
59;3;59;Caobao Rd
59;2;60;hu min gao jia dong ce
59;3;60;Humin Viad E
59;2;64;wai huan gao su gong lu wai ce
59;3;64;Outer Ring Hwy Outside
59;2;66;zhong huan nei ce
59;3;66;Middle Ring Inside
59;2;68;zhong huan wai ce
59;3;68;Middle Ring Outside
59;2;70;qi xin lu
59;3;70;Qixin Rd
59;2;71;cao xi lu
59;3;71;Caoxi Rd
59;2;72;cao xi bei lu
59;3;72;Caoxi Rd (N)
59;2;73;zhong shan xi lu
59;3;73;Zhongshan Rd (W)
59;2;74;hong qiao lu
59;3;74;Hongqiao Rd
59;2;75;cao xi li jiao
59;3;75;Caoxi Jct
59;2;78;hu min gao jia xi ce
59;3;78;Humin Viad W
59;2;80;nei huan gao jia nei quan
59;3;80;Inner Ring Viad Inside Ring
59;2;82;nei huan gao jia wai quan
59;3;82;Inner Ring Viad Outside Ring
59;2;86;hu min gao jia lu
59;3;86;Humin Viad
59;2;87;zhong shan nan er lu
59;3;87;Zhongshan Rd (S-2)
59;2;88;chang hua lu
59;3;88;Changhua Rd
59;2;89;xin zha lu
59;3;89;Xinzha Rd
59;2;90;yi chang lu
59;3;90;Yichang Rd
59;2;91;chang jiang lu
59;3;91;Changjiang Rd
59;2;92;gang san lu
59;3;92;Gangsan Rd
59;2;93;yi xian gao jia lu
59;3;93;Yixian Viad
59;2;94;chang jiang xi lu
59;3;94;Changjiang Rd (W)
59;2;102;chang an lu
59;3;102;Chang'an Rd
59;2;103;chang yang lu
59;3;103;Changyang Rd
59;2;104;hai men lu
59;3;104;Haimen Rd
59;2;105;nei jiang lu
59;3;105;Neijiang Rd
59;2;106;chang yi lu
59;3;106;Changyi Rd
59;2;107;yi xian gao jia xi ce
59;3;107;Yixian Viad W
59;2;108;chang zhi lu
59;3;108;Changzhi Rd
59;2;110;dong chang zhi lu
59;3;110;E Changzhi Rd
59;2;111;chang shu lu
59;3;111;Changshu Rd
59;2;113;hua shan lu
59;3;113;Huashan Rd
59;2;114;chang zhong lu
59;3;114;Changzhong Rd
59;2;117;yi xian gao jia dong ce
59;3;117;Yixian Viad E
59;2;121;hu tai lu
59;3;121;Hutai Rd
59;2;122;yi xian lu
59;3;122;Yixian Rd
59;2;124;yan an dong lu
59;3;124;Yan'an Rd (E)
59;2;125;nan su zhou lu
59;3;125;S Suzhou Rd
59;2;126;cheng shan lu
59;3;126;Chengshan Rd
59;2;127;xi ying lu
59;3;127;Xiying Rd
59;2;128;jin xiu lu
59;3;128;Jinxiu Rd
59;2;129;chuan qiao lu
59;3;129;Chuanqiao Rd
59;2;130;jin qiao lu
59;3;130;Jinqiao Rd
59;2;131;tang lu gong lu
59;3;131;Tanglu Hwy
59;2;132;chun shen lu
59;3;132;Chunshen Rd
59;2;135;da pu lu
59;3;135;Dapu Rd
59;2;136;xu jia hui lu
59;3;136;Xujiahui Rd
59;2;138;da pu lu sui dao
59;3;138;Dapulu Tunl
59;2;139;chang qing lu
59;3;139;Changqing Rd
59;2;141;da bai shu li jiao
59;3;141;Dabaishu Jct
59;2;147;da du he lu
59;3;147;Daduhe Rd
59;2;151;pu dong da dao
59;3;151;Pudong Blvd
59;2;152;si ping lu
59;3;152;Siping Rd
59;2;154;dong fang lu
59;3;154;Dongfang Rd
59;2;156;da lian xi lu
59;3;156;Dalian Rd (W)
59;2;157;guang zhong lu
59;3;157;Guangzhong Rd
59;2;159;da ming lu
59;3;159;Daming Rd
59;2;161;jiu long lu
59;3;161;Jiulong Rd
59;2;165;dong da ming lu
59;3;165;E Daming Rd
59;2;166;li yang lu
59;3;166;Liyang Rd
59;2;167;lin tong lu
59;3;167;Lintong Rd
59;2;169;pu dong nan lu
59;3;169;Pudong Rd (S)
59;2;172;si chuan bei lu
59;3;172;Sichuan Rd (N)
59;2;174;feng xiang lu
59;3;174;Fengxiang Rd
59;2;178;fu jian zhong lu
59;3;178;Fujian Rd (M)
59;2;179;yan an gao jia bei ce
59;3;179;Yan'an Viad N
59;2;180;fu zhou lu
59;3;180;Fuzhou Rd
59;2;183;fu xing dong lu
59;3;183;Fuxing Rd (E)
59;2;184;xi zang nan lu
59;3;184;Xizang Rd (S)
59;2;185;zhong shan nan lu
59;3;185;Zhongshan Rd (S)
59;2;186;fu xing dong lu sui dao
59;3;186;Fuxing East Road Tunnel
59;2;188;zhang yang lu
59;3;188;Zhangyang Rd
59;2;189;fu xing xi lu
59;3;189;Fuxing Rd (W)
59;2;195;fu chang lu
59;3;195;Fuchang Rd
59;2;197;gang cheng lu
59;3;197;Gangcheng Rd
59;2;199;yang gao bei yi lu
59;3;199;Yanggao No.1 Rd (N)
59;2;202;gao ke dong lu
59;3;202;Gaoke East Rd
59;2;203;wai huan gao su gong lu wai quan
59;3;203;Outer Ring Hwy Outside Ring
59;2;204;gao ke xi lu
59;3;204;Gaoke Rd (W)
59;2;206;luo shan lu
59;3;206;Luoshan Rd
59;2;207;gao ke zhong lu
59;3;207;Gaoke Middle Rd
59;2;210;gong he li jiao
59;3;210;Gonghe Jct
59;2;215;nan bei gao jia dong ce
59;3;215;Nanbei Viad E
59;2;220;hu ma lu
59;3;220;Huma Rd
59;2;224;gu yang lu
59;3;224;Guyang Rd
59;2;227;hong xu lu
59;3;227;Hongxu Rd
59;2;228;song yuan lu
59;3;228;Songyuan Rd
59;2;229;gu dai lu
59;3;229;Gudai Rd
59;2;237;hong mei lu
59;3;237;Hongmei Rd
59;2;238;guang xin lu
59;3;238;Guangxin Rd
59;2;240;zhi dan lu
59;3;240;Zhidan Rd
59;2;241;guang yue lu
59;3;241;Guangyue Rd
59;2;246;zhu zhou lu
59;3;246;Zhuzhou Rd
59;2;255;guang zhong xi lu
59;3;255;Guangzhong Rd (W)
59;2;261;hu min lu
59;3;261;Humin Rd
59;2;262;wu zhong lu
59;3;262;Wuzhong Rd
59;2;263;guo he lu
59;3;263;Guohe Rd
59;2;267;hai ning lu
59;3;267;Haining Rd
59;2;270;hai xu lu
59;3;270;Haixu Rd
59;2;275;han dan lu
59;3;275;Handan Rd
59;2;277;xiang yin lu
59;3;277;Xiangyin Rd
59;2;278;han dan lu bei ce
59;3;278;Handan Rd N
59;2;283;pu dong bei lu
59;3;283;Pudong Rd (N)
59;2;285;he jian lu
59;3;285;Hejian Rd
59;2;291;lu jia bang lu
59;3;291;Lujiabang Rd
59;2;296;heng feng bei lu
59;3;296;Hengfeng Rd (N)
