CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
59;1;8581;P;3;3;;9123;9447;;842;;;4000;1;1;1;1;1;1;;;+12127262;+3072987;0;0
59;1;4081;P;1;1;;9123;9136;;842;;;4000;1;1;1;1;1;1;;;+12128395;+3074108;0;0
59;1;4082;P;1;3;;9123;9603;;842;;;4000;1;1;1;1;1;1;;;+12133001;+3077586;0;0
59;1;4093;P;1;1;;9123;9124;;842;;;4000;1;1;1;1;1;1;;;+12136668;+3079860;0;0
59;1;4094;P;1;3;;9123;8370;;842;;;4000;1;1;1;1;1;1;;;+12135804;+3084134;0;0
59;1;8207;P;1;1;;9123;9134;;842;;;4000;1;1;1;1;1;1;;;+12134615;+3087841;0;0
59;1;4096;P;1;3;;9123;8340;;851;;;4000;1;1;1;1;1;1;;;+12131087;+3094689;0;0
59;1;8208;P;3;3;;9123;9130;;851;;;4000;1;1;1;1;1;1;;;+12130700;+3095758;0;0
59;1;8206;P;1;3;;9123;8864;;851;;;4000;1;1;1;1;1;1;;;+12129522;+3098285;0;0
59;1;4098;P;1;1;;9123;9131;;851;;;4000;1;1;1;1;1;1;;;+12130361;+3106030;0;0
59;1;4099;P;1;3;;9123;8372;;851;;;4000;1;1;1;1;1;1;;;+12129915;+3109024;0;0
59;1;4952;P;1;3;;9123;3516;;851;;;4000;1;1;1;1;1;1;;;+12130466;+3113405;0;0
59;1;4100;P;1;1;;9123;9132;;851;;;4000;1;1;1;1;1;1;;;+12129032;+3115289;0;0
59;1;8209;P;1;3;;9123;4417;;850;;;4000;1;1;1;1;1;1;;;+12127285;+3118494;0;0
59;1;4101;P;1;3;;9123;8321;;850;;;4000;1;1;1;1;1;1;;;+12126315;+3120329;0;0
59;1;4001;P;1;1;;9123;4990;;850;;;4000;1;1;1;1;1;1;;;+12124199;+3124965;0;0
59;1;4002;P;1;3;;9123;4522;;840;;;4000;1;1;1;1;1;1;;;+12124606;+3127082;0;0
59;1;4003;P;1;3;;9123;4534;;840;;;4000;1;1;1;1;1;1;;;+12125425;+3131878;0;0
59;1;4004;P;1;1;;9123;9135;;840;;;4000;1;1;1;1;1;1;;;+12122980;+3134975;0;0
59;1;4007;P;1;3;;9123;3502;;840;;;4000;1;1;1;1;1;1;;;+12121691;+3136578;0;0
59;1;4008;P;1;3;;9123;8318;;840;;;4000;1;1;1;1;1;1;;;+12118827;+3140478;0;0
59;1;4009;P;3;37;;9123;9276;;840;;;4000;1;1;1;1;1;1;;;+12115674;+3145333;0;0
59;1;4950;P;1;1;;8915;9129;;847;;;4010;1;1;1;1;1;1;;;+12164424;+3130353;0;1
59;1;4949;P;1;1;;8915;9072;;847;;;4010;1;1;1;1;1;1;;;+12167929;+3130336;0;0
59;1;8577;P;1;3;;8915;9733;;847;;;4010;1;1;1;1;1;1;;;+12170300;+3127728;0;0
59;1;4948;P;1;3;;8915;2319;;847;;;4010;1;1;1;1;1;1;;;+12172337;+3124368;0;0
59;1;8578;P;3;3;;8915;9438;;847;;;4010;1;1;1;1;1;1;;;+12173533;+3122414;0;0
59;1;4947;P;1;1;;8915;436;;847;;;4010;1;1;1;1;1;1;;;+12174884;+3120589;0;0
59;1;4946;P;1;1;;8915;9152;;847;;;4010;1;1;1;1;1;1;;;+12175732;+3118764;0;0
59;1;4945;P;1;3;;8915;3434;;847;;;4010;1;1;1;1;1;1;;;+12176399;+3116543;0;0
59;1;4112;P;1;3;;8915;9439;;847;;;4010;1;1;1;1;1;1;;;+12177422;+3113450;0;0
59;1;4113;P;1;1;;8915;8864;;847;;;4010;1;1;1;1;1;1;;;+12178621;+3109814;0;0
59;1;4055;P;1;3;;8915;4263;;847;;;4010;1;1;1;1;1;1;;;+12179134;+3104735;0;0
59;1;4057;P;1;3;;8915;8347;;847;;;4010;1;1;1;1;1;1;;;+12178998;+3098607;0;0
59;1;4058;P;1;1;;8915;9126;;847;;;4010;1;1;1;1;1;1;;;+12177645;+3093463;0;0
59;1;4059;P;1;3;;8915;8349;;836;;;4010;1;1;1;1;1;1;;;+12173618;+3091686;0;0
59;1;4060;P;1;3;;8915;8350;;836;;;4010;1;1;1;1;1;1;;;+12169465;+3091708;0;0
59;1;4061;P;1;3;;8915;8351;;836;;;4010;1;1;1;1;1;1;;;+12161175;+3090688;0;0
59;1;9377;P;1;3;;8915;10009;;836;;;4010;1;1;1;1;1;1;;;+12156417;+3091110;0;0
59;1;4062;P;1;3;;8915;2933;;836;;;4010;1;1;1;1;1;1;;;+12152543;+3091042;0;0
59;1;4063;P;1;1;;8915;9124;;836;;;4010;1;1;1;1;1;1;;;+12148453;+3090558;0;0
59;1;4064;P;1;3;;8915;8352;;836;;;4010;1;1;1;1;1;1;;;+12142419;+3089325;0;0
59;1;4073;P;3;3;;8915;8356;;836;;;4010;1;1;1;1;1;1;;;+12139458;+3088757;0;0
59;1;4065;P;1;1;;8915;9123;;842;;;4010;1;1;1;1;1;1;;;+12134046;+3087731;0;0
59;1;4067;P;1;1;;8915;9136;;842;;;4010;1;1;1;1;1;1;;;+12121559;+3088368;0;0
59;1;4068;P;1;3;;8915;8354;;842;;;4010;1;1;1;1;1;1;;;+12121497;+3089968;0;0
59;1;4069;P;1;3;;8915;8340;;851;;;4010;1;1;1;1;1;1;;;+12118142;+3093776;0;0
59;1;4070;P;1;3;;8915;9440;;851;;;4010;1;1;1;1;1;1;;;+12116419;+3097795;0;0
59;1;4071;P;1;1;;8915;9131;;851;;;4010;1;1;1;1;1;1;;;+12115423;+3101190;0;0
59;1;4072;P;3;3;;8915;7533;;851;;;4010;1;1;1;1;1;1;;;+12113490;+3105278;0;0
59;1;4011;P;1;3;;8915;4372;;851;;;4010;1;1;1;1;1;1;;;+12112433;+3107994;0;0
59;1;4012;P;1;1;;8915;9132;;850;;;4010;1;1;1;1;1;1;;;+12114054;+3113552;0;0
59;1;4013;P;1;3;;8915;8321;;850;;;4010;1;1;1;1;1;1;;;+12114584;+3118398;0;0
59;1;4014;P;1;3;;8915;4379;;850;;;4010;1;1;1;1;1;1;;;+12114665;+3124406;0;0
59;1;4015;P;1;1;;8915;4990;;840;;;4010;1;1;1;1;1;1;;;+12114636;+3127764;0;0
59;1;4016;P;1;3;;8915;1500;;840;;;4010;1;1;1;1;1;1;;;+12115171;+3131930;0;0
59;1;4017;P;1;3;;8915;4477;;840;;;4010;1;1;1;1;1;1;;;+12119184;+3133677;0;0
59;1;4018;P;1;1;;8915;9309;;840;;;4010;1;1;1;1;1;1;;;+12122980;+3134975;0;0
59;1;4019;P;1;3;;8915;4542;;840;;;4010;1;1;1;1;1;1;;;+12124506;+3135532;0;0
59;1;4124;P;1;1;;8915;8401;;840;;;4010;1;1;1;1;1;1;;;+12126983;+3136496;0;0
59;1;4125;P;1;3;;8915;3854;;840;;;4010;1;1;1;1;1;1;;;+12130389;+3137071;0;0
59;1;4126;P;1;3;;8915;4058;;833;;;4010;1;1;1;1;1;1;;;+12135551;+3138054;0;0
59;1;4127;P;1;3;;8915;805;;833;;;4010;1;1;1;1;1;1;;;+12142309;+3140071;0;0
59;1;4128;P;3;3;;8915;8391;;833;;;4010;1;1;1;1;1;1;;;+12144361;+3140434;0;0
59;1;4129;P;1;3;;8915;5604;;833;;;4010;1;1;1;1;1;1;;;+12146654;+3140888;0;0
59;1;4130;P;1;3;;8915;2919;;833;;;4010;1;1;1;1;1;1;;;+12148183;+3139218;0;1
59;1;1691;P;1;1;;9178;9152;;847;;1688;;1;1;1;1;1;1;;;+12164308;+3115529;0;1
59;1;1693;P;1;3;;9178;2315;;847;;1688;;1;1;1;1;1;1;;;+12162474;+3115343;0;1
59;1;1696;P;1;3;;9178;206;;847;;1688;;1;1;1;1;1;1;;;+12159451;+3114743;0;1
59;1;1699;P;1;3;;9178;4983;;847;;1688;;1;1;1;1;1;1;;;+12156742;+3114459;0;1
59;1;3000;P;1;3;;9178;2928;;847;;1688;;1;1;1;1;1;1;;;+12154127;+3113943;0;1
59;1;3001;P;1;3;;9178;1847;;847;;1688;;1;1;1;1;1;1;;;+12153641;+3113864;0;1
59;1;3002;P;1;3;;9178;2930;;847;;1688;;1;1;1;1;1;1;;;+12153109;+3113767;0;1
59;1;3004;P;1;3;;9178;1846;;847;;1688;;1;1;1;1;1;1;;;+12151601;+3113521;0;1
