CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
59;1;4000;L;1;1;G15;9123;9447;9276;829;
59;1;4010;L;1;1;G1501;8915;9129;2919;829;
59;1;1687;L;2;1;G1501;9129;;;829;
59;1;153;L;1;1;G1501;93;1822;9155;829;
59;1;7400;L;1;2;G204;3502;3852;514;840;
59;1;1950;L;1;2;G204;514;1983;9189;829;
59;1;1987;L;1;2;G312;2752;4518;1760;829;
59;1;700;L;1;2;G312;1745;1782;55;848;
59;1;7313;L;1;2;G318;2084;9132;2297;829;
59;1;7104;L;1;2;G320;3790;4333;3749;829;
59;1;9135;L;1;4;;3790;9628;9688;851;
59;1;8855;L;1;2;G320;9592;9614;4339;829;
59;1;9317;L;1;4;;392;10053;9593;844;
59;1;3520;L;1;2;G320;392;3748;3513;829;
59;1;8807;L;1;2;G320;8338;8400;9592;842;
59;1;8436;L;1;1;G40;9072;8915;9725;829;
59;1;4020;L;1;1;G50;9132;2084;9129;829;
59;1;4041;L;1;1;G60;9131;9139;6737;829;
59;1;107;L;1;1;S1;9152;9129;9341;847;
59;1;806;L;1;3;S121;2319;206;8915;847;
59;1;7071;L;1;3;S122;4983;9129;9453;847;
59;1;7017;L;1;3;S123;2933;9632;9129;829;
59;1;273;L;1;3;S124;59;70;71;829;
59;1;7231;L;1;3;S124;3516;4398;70;829;
59;1;7225;L;1;3;S124;4334;8340;4398;851;
59;1;8800;L;1;3;S124;9603;9601;8338;842;
59;1;7425;L;1;3;S125;8321;8402;3726;829;
59;1;1833;L;1;3;S125;46;3726;48;829;
59;1;789;L;1;3;S126;121;3901;3854;829;
59;1;7827;L;1;3;S127;805;1788;121;833;
59;1;4074;L;1;1;S19;9136;9442;8915;842;
59;1;4102;L;1;1;S2;9126;9738;9129;829;
59;1;8835;L;1;3;S221;1703;4263;9620;829;
59;1;7037;L;1;3;S221;4156;1703;4187;847;
59;1;7059;L;1;4;X357;9957;4983;9079;847;
59;1;6631;L;1;3;S222;3752;436;4186;847;
59;1;7062;L;1;3;S222;1701;4983;4235;847;
59;1;8950;L;1;3;S222;8376;9641;4983;847;
59;1;6976;L;1;4;;4285;4114;3743;844;
59;1;8789;L;1;3;S223;8352;9958;9605;842;
59;1;7387;L;1;3;S224;4425;9959;3502;829;
59;1;7363;L;1;3;S224;4380;4464;9960;829;
59;1;7378;L;1;3;S224;4454;9960;4425;3;
59;1;4546;L;1;3;S225;8400;8338;2084;829;
59;1;7354;L;1;3;S226;4339;3790;4371;851;
59;1;173;L;1;3;S227;1847;3783;1898;847;
59;1;8796;L;1;3;S301;9606;9593;9603;842;
59;1;8785;L;1;3;S301;9601;9442;9958;842;
59;1;8782;L;1;3;S301;9442;9136;9601;842;
59;1;4142;L;1;1;S32;8864;8400;9345;829;
59;1;7814;L;1;3;S321;3852;3502;4058;829;
59;1;7570;L;1;3;S322;1500;4379;805;829;
59;1;7588;L;1;3;S322;2920;805;2874;833;
59;1;6926;L;1;3;S323;3741;4285;616;844;
59;1;8759;L;1;3;S324;8366;9592;4260;829;
59;1;8767;L;1;3;S324;8347;4260;8375;847;
59;1;4549;L;1;3;S324;8340;8400;9592;829;
59;1;8827;L;1;3;S325;8351;9615;9619;836;
59;1;8821;L;1;3;S325;9612;9591;9615;829;
59;1;8818;L;1;3;S325;9591;9947;9612;842;
59;1;8850;L;1;4;;9591;9660;9628;829;
59;1;6838;L;1;4;;4261;1701;4262;847;
59;1;4050;L;1;1;S36;9139;9131;9136;842;
59;1;4079;L;1;1;S4;9124;9123;9131;829;
59;1;8234;L;1;1;S58;9194;9444;8915;850;
59;1;824;L;1;4;X001;2030;516;270;847;
59;1;814;L;1;4;X001;2336;1898;516;847;
59;1;6808;L;1;4;X002;4248;9446;4983;829;
59;1;6812;L;1;4;X004;9446;9463;9129;829;
59;1;6788;L;1;4;X005;4244;2933;1846;829;
59;1;6821;L;1;4;X006;9454;2933;4255;829;
59;1;8584;L;1;4;X007;9464;8366;9463;829;
59;1;6001;L;1;4;X008;3728;9457;2752;829;
59;1;6988;L;1;4;X009;4235;9962;4192;847;
59;1;6826;L;1;4;X011;4256;4255;4983;847;
59;1;8774;L;1;4;X016;9593;8366;9598;836;
59;1;7261;L;1;4;X020;4379;4372;4425;829;
59;1;7246;L;1;4;X021;4395;4348;9472;851;
59;1;7126;L;1;4;X022;4347;8400;9473;829;
59;1;7171;L;1;4;X023;4372;8400;3516;829;
59;1;7656;L;1;4;X033;3854;174;121;840;
59;1;8920;L;1;4;X086;9638;524;207;847;
59;1;1759;L;1;4;X101;848;851;121;829;
59;1;2233;L;1;3;;55;887;1957;829;
59;1;1764;L;1;4;X103;2189;550;121;833;
59;1;6023;L;1;4;X104;851;848;550;829;
59;1;1750;L;1;4;X105;2350;514;885;829;
59;1;1879;L;1;4;X110;973;8409;1788;833;
59;1;6028;L;1;4;X119;550;2189;1500;833;
59;1;4583;L;1;4;X122;5604;4058;2874;833;
59;1;2268;L;1;4;X123;241;246;114;838;
59;1;6072;L;1;4;X123;2869;4027;4057;833;
59;1;1769;L;1;4;X123;1790;114;4027;829;
59;1;1898;L;1;3;;1957;341;1193;829;
59;1;7650;L;1;4;X126;174;514;2350;829;
59;1;5996;L;1;4;X127;2351;848;885;833;
59;1;6079;L;1;4;X129;4057;4058;2869;833;
59;1;5992;L;1;4;X141;2188;2350;121;833;
59;1;9120;L;1;4;X158;9479;1500;4550;840;
59;1;7529;L;1;4;X159;3504;4526;514;840;
59;1;7763;L;1;4;X162;3851;3502;4566;829;
59;1;7627;L;1;4;X165;4424;4422;4379;840;
59;1;7790;L;1;4;X167;4550;4565;3854;840;
59;1;7598;L;1;4;X179;4477;4422;3502;840;
59;1;7754;L;1;4;X183;4564;4333;3852;840;
59;1;7679;L;1;4;X184;4554;9679;3852;840;
59;1;7670;L;1;4;X184;4482;4527;9679;840;
59;1;7513;L;1;4;X185;4472;4518;4036;840;
59;1;7506;L;1;4;X199;4036;4472;1866;840;
59;1;7484;L;1;4;X202;4508;4497;4506;844;
59;1;6955;L;1;4;X203;4276;9280;4290;844;
59;1;5499;L;1;4;X203;3932;159;3933;838;
59;1;1839;L;1;4;X208;227;237;74;829;
59;1;1817;L;1;4;X210;237;261;3814;829;
59;1;1825;L;1;4;X210;1856;3740;261;844;
59;1;9110;L;1;4;X210;9579;3851;4536;840;
59;1;7719;L;1;4;X210;9261;4536;3854;840;
59;1;7667;L;1;4;X211;4527;3504;1500;840;
59;1;3499;L;1;4;X211;1683;3741;2084;844;
59;1;3514;L;1;4;X212;1855;9480;261;844;
59;1;9591;L;1;4;X231;2076;9693;4114;829;
59;1;3525;L;1;4;X214;70;261;46;844;
59;1;6875;L;1;4;X215;2154;1856;261;829;
59;1;6892;L;1;4;X217;2074;4278;616;829;
59;1;6908;L;1;4;X220;1853;3743;3836;844;
59;1;6860;L;1;4;X220;3836;4269;2154;844;
59;1;677;L;1;4;X221;262;70;73;829;
59;1;2350;L;1;4;X222;229;3738;237;829;
59;1;9122;L;1;2;G320;261;3513;393;829;
59;1;6964;L;1;4;X225;3749;261;616;844;
59;1;3508;L;1;4;X228;132;392;4274;844;
59;1;3773;L;1;4;X229;3512;1683;392;844;
59;1;6943;L;1;4;X230;3743;4285;616;844;
59;1;3936;L;1;4;X234;1759;1855;9481;844;
59;1;6885;L;1;4;X236;3750;4276;392;844;
59;1;8793;L;1;4;X262;8362;8352;9124;842;
59;1;7220;L;1;4;X306;4348;4347;4372;851;
59;1;8617;L;1;4;X309;9472;4395;3516;851;
59;1;7344;L;1;4;X310;4371;4339;10002;851;
59;1;7123;L;1;4;X315;4345;9473;4343;851;
59;1;7301;L;1;4;X321;4444;4403;2084;829;
59;1;7284;L;1;4;X321;4403;4379;3516;829;
59;1;6921;L;1;4;X347;3513;8372;261;829;
59;1;7165;L;1;4;X347;8372;3516;3513;851;
59;1;7004;L;1;4;X365;3772;4983;9078;847;
59;1;553;L;1;4;X372;1846;9962;9166;847;
59;1;9592;L;1;4;X377;2315;3772;10003;847;
59;1;7305;L;1;4;X458;4436;2084;4418;850;
59;1;7459;L;1;4;X003;4506;4446;4508;829;
59;1;7538;L;1;4;X464;4446;2084;9961;850;
59;1;2289;L;1;4;X552;130;2319;151;847;
59;1;6507;L;1;4;X553;4133;4131;1270;847;
59;1;6502;L;1;4;X553;3457;9332;4133;847;
59;1;8958;L;1;4;X554;9159;151;2703;847;
59;1;2285;L;1;4;X555;1943;441;130;847;
59;1;6604;L;1;4;X556;458;283;3752;847;
59;1;3691;L;1;4;X557;283;3765;197;847;
