CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
59;1;1688;L;3;0;;9178;9152;9699;1687;;829
59;1;3034;L;3;0;;9179;9699;9700;1687;;829
59;1;3069;L;3;0;;9180;9700;9702;1687;;829
59;1;3088;L;3;0;;9181;9702;9152;1687;;847
59;1;7401;L;3;0;G204;3502;3852;1500;7400;;840
59;1;7402;L;3;0;G204;3502;3504;514;7400;;840
59;1;4953;L;3;0;S221;1703;4263;4156;8835;;847
59;1;8840;L;3;0;S221;1703;9620;4983;8835;;829
59;1;8836;L;3;0;S221;1703;9619;9620;8835;;836
59;1;8846;L;3;0;S325;9591;9660;9625;8850;;829
59;1;8851;L;3;0;S325;9591;9627;9628;8850;;851
59;1;7842;L;3;0;X122;5604;4058;10000;4583;;833
59;1;4584;L;3;0;X122;5604;805;2874;4583;;833
59;1;3489;L;3;0;X231;2076;9693;10066;9591;;844
59;1;3490;L;3;0;X231;2076;9124;4114;9591;;829
59;1;6861;L;3;0;X220;3836;4269;9129;6860;;844
59;1;6862;L;3;0;X220;3836;1855;2154;6860;;844
59;1;3695;L;3;0;X377;2315;3772;580;9592;;847
59;1;3537;L;3;0;X377;2315;207;10003;9592;;847
59;1;161;L;3;0;X611;206;9129;2336;9127;;847
59;1;9128;L;3;0;X611;206;9687;151;9127;;847
59;1;6476;L;3;0;X639;3765;151;1932;6475;;847
59;1;6477;L;3;0;X639;3765;2030;2315;6475;;847
59;1;6485;L;3;0;X641;4141;516;4145;6484;;847
59;1;6486;L;3;0;X641;4141;3765;2703;6484;;847
59;1;6710;L;3;0;;4202;4214;10018;6709;;847
59;1;9424;L;3;0;;4202;4190;9152;6709;;847
59;1;6711;L;3;0;;4202;9503;10046;6709;;847
59;1;6168;L;3;0;;4077;3736;169;6167;;847
59;1;6169;L;3;0;;4077;1822;1847;6167;;847
59;1;3857;L;3;0;;1865;147;3821;3856;;848
59;1;3858;L;3;0;;1865;1745;1730;3856;;848
59;1;5594;L;3;0;;285;1820;856;5593;;855
59;1;5595;L;3;0;;285;1822;3960;5593;;855
59;1;4232;L;3;0;;3796;3836;392;3907;;844
59;1;3909;L;3;0;;3796;1758;305;3907;;844
59;1;6767;L;3;0;;2215;9962;9335;6766;;847
59;1;6768;L;3;0;;2215;580;4076;6766;;847
59;1;5649;L;3;0;;3967;121;1999;5648;;856
59;1;5650;L;3;0;;3967;2541;1954;5648;;856
59;1;2084;L;3;0;;166;165;1874;9594;;838
59;1;8401;L;3;0;;166;152;172;9594;;838
59;1;6037;L;3;0;;4046;4044;4043;6036;;833
59;1;6038;L;3;0;;4046;1500;3851;6036;;833
59;1;6252;L;3;0;;4099;1896;4097;6251;;847
59;1;6253;L;3;0;;4099;206;2354;6251;;847
59;1;5131;L;3;0;;626;3868;9522;9597;;854
59;1;9598;L;3;0;;626;10069;3183;9597;;854
59;1;8667;L;3;0;;9554;9553;9555;8677;;854
59;1;8678;L;3;0;;9554;9556;2444;8677;;854
59;1;5740;L;3;0;;3623;152;1822;5747;;838
59;1;5748;L;3;0;;3623;2260;3963;5747;;838
59;1;5;L;3;0;;9117;86;1745;8192;;829
59;1;8199;L;3;0;;9114;1745;468;8192;;829
59;1;8200;L;3;0;;9116;468;2193;8192;;829
59;1;8201;L;3;0;;9118;2193;86;8192;;829
59;1;6130;L;3;0;;1893;4069;126;6129;;847
59;1;6131;L;3;0;;1893;1847;169;6129;;847
59;1;6297;L;3;0;;4108;2709;4097;6301;;847
59;1;6302;L;3;0;;4108;206;130;6301;;847
59;1;8880;L;3;0;;2805;479;1846;9596;;847
59;1;8891;L;3;0;;2805;9633;1847;9596;;847
59;1;5611;L;3;0;;2022;275;3963;5610;;838
59;1;5612;L;3;0;;2022;2260;1785;5610;;855
59;1;3785;L;3;0;;3544;3807;237;3784;;829
59;1;3786;L;3;0;;3544;1760;1764;3784;;854
59;1;5331;L;3;0;;1999;2181;2183;5330;;856
59;1;5332;L;3;0;;1999;255;1958;5330;;856
59;1;5290;L;3;0;;1720;124;3161;9600;;839
59;1;9601;L;3;0;;1720;3896;1242;9600;;839
