CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
59;1;1688;3088;3034
59;1;3034;1688;3069
59;1;3069;3034;3088
59;1;3088;3069;1688
59;1;7401;;7402
59;1;7402;7401;
59;1;4953;;8840
59;1;8840;4953;8836
59;1;8836;8840;
59;1;8846;;8851
59;1;8851;8846;
59;1;7842;;4584
59;1;4584;7842;
59;1;3489;;3490
59;1;3490;3489;
59;1;6861;;6862
59;1;6862;6861;
59;1;3695;;3537
59;1;3537;3695;
59;1;161;;9128
59;1;9128;161;
59;1;6476;;6477
59;1;6477;6476;
59;1;6485;;6486
59;1;6486;6485;
59;1;6710;;9424
59;1;9424;6710;6711
59;1;6711;9424;
59;1;6168;;6169
59;1;6169;6168;
59;1;3857;;3858
59;1;3858;3857;
59;1;5594;;5595
59;1;5595;5594;
59;1;4232;;3909
59;1;3909;4232;
59;1;6767;;6768
59;1;6768;6767;
59;1;5649;;5650
59;1;5650;5649;
59;1;2084;;8401
59;1;8401;2084;
59;1;6037;;6038
59;1;6038;6037;
59;1;6252;;6253
59;1;6253;6252;
59;1;5131;;9598
59;1;9598;5131;
59;1;8667;;8678
59;1;8678;8667;
59;1;5740;;5748
59;1;5748;5740;
59;1;5;8201;8199
59;1;8199;5;8200
59;1;8200;8199;8201
59;1;8201;8200;5
59;1;6130;;6131
59;1;6131;6130;
59;1;6297;;6302
59;1;6302;6297;
59;1;8880;;8891
59;1;8891;8880;
59;1;5611;;5612
59;1;5612;5611;
59;1;3785;;3786
59;1;3786;3785;
59;1;5331;;5332
59;1;5332;5331;
59;1;5290;;9601
59;1;9601;5290;
