CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
510;20;932;510;20;935
510;20;935;510;20;1571
510;20;1571;510;20;932
510;20;1816;510;20;1819
510;20;1819;510;20;1816
510;20;386;510;20;388
510;20;388;510;20;386
510;20;394;510;20;396
510;20;396;510;20;398
510;20;398;510;20;394
510;20;714;510;20;725
510;20;725;510;20;1040
510;20;1040;510;20;714
510;20;716;510;20;833
510;20;833;510;20;716
510;20;715;510;20;762
510;20;762;510;20;1578
510;20;1578;510;20;715
510;20;717;510;20;770
510;20;770;510;20;1595
510;20;1595;510;20;717
510;20;226;510;20;685
510;20;685;510;20;718
510;20;718;510;20;1569
510;20;1569;510;20;226
510;20;1042;510;20;1784
510;20;1784;510;20;1042
510;20;524;510;20;1043
510;20;1043;510;20;524
510;20;815;510;20;1044
510;20;1044;510;20;1814
510;20;1814;510;20;815
510;20;548;510;20;562
510;20;562;510;20;800
510;20;800;510;20;1046
510;20;1046;510;20;1051
510;20;1051;510;20;548
510;20;437;510;20;444
510;20;444;510;20;556
510;20;556;510;20;659
510;20;659;510;20;437
510;20;402;510;20;438
510;20;438;510;20;1486
510;20;1486;510;20;1543
510;20;1543;510;20;1583
510;20;1583;510;20;402
510;20;423;510;20;446
510;20;446;510;20;535
510;20;535;510;20;423
510;20;1231;510;20;1384
510;20;1384;510;20;1231
510;20;542;510;20;1541
510;20;1541;510;20;542
510;20;440;510;20;448
510;20;448;510;20;567
510;20;567;510;20;579
510;20;579;510;20;440
510;20;414;510;20;754
510;20;754;510;20;414
510;20;415;510;20;1249
510;20;1249;510;20;415
510;20;1002;510;20;1664
510;20;1664;510;20;1002
510;20;375;510;20;377
510;20;377;510;20;409
510;20;409;510;20;416
510;20;416;510;20;1826
510;20;1826;510;20;375
510;20;441;510;20;493
510;20;493;510;20;441
510;20;442;510;20;572
510;20;572;510;20;588
510;20;588;510;20;442
510;20;443;510;20;590
510;20;590;510;20;443
510;20;422;510;20;431
510;20;431;510;20;551
510;20;551;510;20;422
510;20;640;510;20;994
510;20;994;510;20;640
510;20;1045;510;20;1437
510;20;1437;510;20;1045
510;20;424;510;20;539
510;20;539;510;20;424
510;20;425;510;20;732
510;20;732;510;20;425
510;20;459;510;20;467
510;20;467;510;20;459
510;20;65;510;20;468
510;20;468;510;20;65
510;20;471;510;20;680
510;20;680;510;20;471
510;20;472;510;20;474
510;20;474;510;20;472
510;20;854;510;20;893
510;20;893;510;20;1298
510;20;1298;510;20;854
510;20;558;510;20;565
510;20;565;510;20;894
510;20;894;510;20;558
510;20;864;510;20;895
510;20;895;510;20;864
510;20;1358;510;20;1480
510;20;1480;510;20;1358
510;20;1230;510;20;1366
510;20;1366;510;20;1481
510;20;1481;510;20;1230
510;20;896;510;20;1497
510;20;1497;510;20;896
