CID;TABCD;LCD;ALLOCATED
510;20;1;1
510;20;2;1
510;20;3;1
510;20;5;1
510;20;4;1
510;20;933;1
510;20;935;1
510;20;1816;1
510;20;385;1
510;20;386;1
510;20;393;1
510;20;394;1
510;20;1039;1
510;20;1040;1
510;20;716;1
510;20;715;1
510;20;717;1
510;20;718;1
510;20;1042;1
510;20;1043;1
510;20;1044;1
510;20;1051;1
510;20;436;1
510;20;437;1
510;20;438;1
510;20;445;1
510;20;446;1
510;20;1231;1
510;20;1541;1
510;20;448;1
510;20;412;1
510;20;1784;1
510;20;414;1
510;20;415;1
510;20;1002;1
510;20;416;1
510;20;439;1
510;20;440;1
510;20;441;1
510;20;442;1
510;20;443;1
510;20;444;1
510;20;421;1
510;20;422;1
510;20;994;1
510;20;423;1
510;20;1045;1
510;20;424;1
510;20;425;1
510;20;1046;1
510;20;408;1
510;20;409;1
510;20;410;1
510;20;449;1
510;20;466;1
510;20;467;1
510;20;1161;1
510;20;468;1
510;20;1533;1
510;20;1534;1
510;20;471;1
510;20;472;1
510;20;892;1
510;20;893;1
510;20;894;1
510;20;895;1
510;20;1480;1
510;20;1481;1
510;20;896;1
510;20;1482;1
510;20;897;1
510;20;898;1
510;20;1782;1
510;20;1511;1
510;20;752;1
510;20;1569;1
510;20;754;1
510;20;755;1
510;20;756;1
510;20;1347;1
510;20;757;1
510;20;1348;1
510;20;312;1
510;20;313;1
510;20;298;1
510;20;299;1
510;20;451;1
510;20;452;1
510;20;454;1
510;20;455;1
510;20;456;1
510;20;457;1
510;20;458;1
510;20;1775;1
510;20;459;1
510;20;870;1
510;20;1010;1
510;20;872;1
510;20;873;1
510;20;874;1
510;20;1474;1
510;20;1519;1
510;20;402;1
510;20;403;1
510;20;1007;1
510;20;1008;1
510;20;404;1
510;20;1520;1
510;20;1777;1
510;20;1778;1
510;20;450;1
510;20;401;1
510;20;1521;1
510;20;405;1
510;20;1001;1
510;20;406;1
510;20;1000;1
510;20;407;1
510;20;1009;1
510;20;557;1
510;20;558;1
510;20;1217;1
510;20;559;1
510;20;560;1
510;20;1228;1
510;20;659;1
510;20;660;1
510;20;661;1
510;20;662;1
510;20;663;1
510;20;664;1
510;20;97;1
510;20;98;1
510;20;152;1
510;20;100;1
510;20;101;1
510;20;102;1
510;20;103;1
510;20;157;1
510;20;104;1
510;20;1560;1
510;20;1561;1
510;20;1562;1
510;20;1563;1
510;20;1564;1
510;20;1565;1
510;20;1566;1
510;20;163;1
510;20;162;1
510;20;1567;1
510;20;82;1
510;20;83;1
510;20;84;1
510;20;143;1
510;20;85;1
510;20;86;1
510;20;87;1
510;20;88;1
510;20;89;1
510;20;144;1
510;20;145;1
510;20;90;1
510;20;91;1
510;20;92;1
510;20;93;1
510;20;94;1
510;20;95;1
510;20;96;1
510;20;1117;1
510;20;1119;1
510;20;1120;1
510;20;1121;1
510;20;600;1
510;20;601;1
510;20;602;1
510;20;1475;1
510;20;603;1
510;20;1476;1
510;20;1477;1
510;20;604;1
510;20;1478;1
510;20;1479;1
510;20;605;1
510;20;543;1
510;20;544;1
510;20;999;1
510;20;545;1
510;20;1221;1
510;20;546;1
510;20;1222;1
510;20;547;1
510;20;993;1
510;20;548;1
510;20;549;1
510;20;550;1
510;20;551;1
510;20;552;1
510;20;1219;1
510;20;553;1
510;20;554;1
510;20;1220;1
510;20;555;1
510;20;556;1
510;20;1755;1
510;20;1756;1
510;20;1570;1
510;20;1759;1
510;20;934;1
510;20;1011;1
510;20;1571;1
510;20;1572;1
510;20;1796;1
510;20;1797;1
510;20;1798;1
510;20;1799;1
510;20;346;1
510;20;347;1
510;20;348;1
510;20;365;1
510;20;955;1
510;20;956;1
510;20;957;1
510;20;958;1
510;20;1014;1
510;20;1522;1
510;20;1015;1
510;20;960;1
510;20;961;1
510;20;571;1
510;20;572;1
510;20;1016;1
