CID;LID;NID;NAME;NCOMMENT
510;1;988;亚洲;
510;1;989;中国;
510;1;990;云南省;
510;1;588;楚雄市;
510;1;991;昆明市;
510;1;2007;７０２４公路;
510;1;1233;小康大道;
510;1;2005;茨坝北路;
510;1;1062;Ｇ１０８;
510;1;1732;西三环;
510;1;1896;西三环Ｇ１０８入口匝道;
510;1;1903;西三环北侧;
510;1;1904;西三环北侧Ｇ１０８入口匝道;
510;1;1261;滇缅大道;
510;1;1073;人民西路;
510;1;1134;环城西路;
510;1;1185;科海路;
510;1;1184;昌源中路;
510;1;1186;海源中路;
510;1;1108;二环西路;
510;1;1587;普吉路;
510;1;1399;西园路;
510;1;1192;虹山东路;
510;1;1079;东郊路;
510;1;1064;环城南路;
510;1;1043;二环东路;
510;1;1071;金碧路;
510;1;1069;西昌路;
510;1;1081;巡津街;
510;1;1442;国防路;
510;1;1085;东寺街;
510;1;2001;Ｘ００２;
510;1;1067;学府路;
510;1;1068;二环北路;
510;1;1626;筇王公路;
510;1;1080;拓东路;
510;1;1082;北京路;
510;1;1083;春城路;
510;1;1084;岔街;
510;1;1166;气象路;
510;1;1393;新闻路;
510;1;1072;大观路;
510;1;1135;Ｇ１０８昆明段;
510;1;2002;武定县政府;
510;1;997;碧鸡路;
510;1;1076;Ｇ３２０;
510;1;1109;二环南路;
510;1;2003;春雨路;
510;1;996;高海高速公路;
510;1;1588;杭瑞高速公路;
510;1;1548;苏南路;
510;1;1147;龙泉路;
510;1;1148;圆通北路;
510;1;1118;环城北路;
510;1;1119;白云路;
510;1;1258;教场北路;
510;1;1259;教兴路;
510;1;2004;北三环;
510;1;1223;霖雨路;
510;1;1224;红云路;
510;1;1714;沣源路;
510;1;1123;建设路;
510;1;1257;教场中路;
510;1;1193;民院路;
510;1;1321;Ｇ３２０北侧;
510;1;1349;二环南路Ｇ３２０北侧入口匝道;
510;1;1327;二环南路北侧;
510;1;1335;二环南路北侧Ｇ３２０北侧入口匝道;
510;1;1136;Ｇ３２０昆明段;
510;1;1961;云水路;
510;1;1089;Ｓ２１３;
510;1;1600;草铺收费站;
510;1;1649;连然街;
510;1;1598;和平村收费站;
510;1;1960;玉龙路;
510;1;1995;广昆高速公路;
510;1;1308;贵昆路;
510;1;1987;东绕城高速公路;
510;1;1376;一九八物业小区;
510;1;1028;Ｇ３２４;
510;1;1373;彩云北路;
510;1;1160;东三环路;
510;1;1374;昌宏路;
510;1;1964;西石公路;
510;1;1965;大地村;
510;1;1139;Ｇ３２４昆明段;
510;1;1456;石龙路;
510;1;1375;钰鑫;
510;1;1251;Ｇ３２６;
510;1;1742;石林大道;
510;1;1117;穿金路;
510;1;1382;万华路;
510;1;1017;环城东路;
510;1;1115;东风东路;
510;1;1116;人民东路;
510;1;1151;白龙路;
510;1;1129;白塔路;
510;1;1038;广福路;
510;1;1619;昆磨高速公路;
510;1;1996;两面寺立交;
510;1;1041;金浑公路;
510;1;1997;乌龙收费站;
510;1;1019;昆明绕城高速公路;
510;1;1722;阳和路;
510;1;1723;昆孟线;
510;1;1939;中新收费站;
510;1;1940;小海口收费站;
510;1;1993;海谷收费站;
510;1;1992;安亭停车区;
510;1;1513;九石阿公路;
510;1;1515;石虎关加油站;
510;1;1998;盛达物流;
510;1;1023;云大西路;
510;1;1516;小团山服务区;
510;1;1517;小团山停车区;
510;1;1015;三铝公路;
510;1;1024;阳宗服务区;
510;1;1031;阳宗收费站;
510;1;1027;草甸收费站;
510;1;1029;半截河收费站;
510;1;1431;双桥路;
510;1;1427;宝海路;
510;1;1106;民航路;
510;1;1430;金汁路;
510;1;1155;关景路;
510;1;1078;日新路;
510;1;1154;国贸路;
510;1;1432;关兴路;
510;1;1474;佴家湾路;
510;1;1388;吴井路;
510;1;1105;滇池路;
510;1;1131;西坝路;
510;1;1180;丹霞路;
510;1;1132;茭菱路;
510;1;1058;南坝路;
510;1;1453;明通路;
510;1;1920;Ｘ００１;
510;1;1931;西三环Ｘ００１入口匝道;
510;1;1976;安康路;
510;1;1311;二环东路东侧;
510;1;1678;二环东路东侧白龙路入口匝道;
510;1;1299;二环东路西侧;
510;1;1679;二环东路西侧白龙路入口匝道;
510;1;1236;世博路;
510;1;1191;新迎路;
510;1;1380;龙庆路;
510;1;1381;尚义街;
510;1;1688;二环东路东侧白云路入口匝道;
510;1;1216;教场东路;
510;1;1383;颐园路;
510;1;1218;万宏路;
510;1;1384;新兴路;
510;1;1326;二环南路南侧;
510;1;1683;二环南路南侧宝海路入口匝道;
510;1;1411;宝善街;
510;1;1410;祥云街;
510;1;1405;护国路;
510;1;1128;青年路;
510;1;1120;北辰大道;
510;1;1226;北辰中路;
510;1;1121;江东花园北路;
510;1;1386;站前路;
510;1;1167;永平路;
510;1;1387;永安路;
510;1;1222;联盟路;
510;1;1390;铂金大道;
510;1;1203;北门街;
510;1;1124;一二一大街;
510;1;1150;圆通街;
510;1;1737;北三环高速公路;
510;1;1894;北三环高速公路龙泉路出口匝道;
510;1;1231;金色大道;
510;1;1470;采莲路;
510;1;1687;二环南路北侧采莲路入口匝道;
