CID;LID;NID;NTRANSLATION
510;2;588;chu xiong shi
510;3;588;Chuxiong
510;2;590;jing kun gao su gong lu chu xiong duan
510;3;590;Jingkun Hwy Chuxiong Sect
510;2;591;wu ding shi shan shou fei zhan
510;3;591;Wudingshishan Tollgate
510;2;592;wu ding fu wu qu
510;3;592;Wuding Service Area
510;2;593;yi na chang shou fei zhan
510;3;593;Yinachang Tollgate
510;2;594;mao jie shou fei zhan
510;3;594;Maojie Tollgate
510;2;596;yuan mou shou fei zhan
510;3;596;Yuanmou Tollgate
510;2;597;yuan mou fu wu qu
510;3;597;Yuanmou Service Area
510;2;598;tu lin shou fei zhan
510;3;598;Tulin Tollgate
510;2;599;yong ren fu wu qu
510;3;599;Yongren Service Area
510;2;600;yong ren shou fei zhan
510;3;600;Yongren Tollgate
510;2;988;ya zhou
510;3;988;Asia
510;2;989;zhong guo
510;3;989;China
510;2;990;yun nan sheng
510;3;990;YUNNAN
510;2;991;kun ming shi
510;3;991;Kunming
510;2;993;du shu pu fu wu qu
510;3;993;Dushupu Service Area
510;2;996;gao hai gao su gong lu
510;3;996;Gaohai Hwy
510;2;997;bi ji lu
510;3;997;Biji Rd
510;2;1004;xi ce xian
510;3;1004;Xice Line
510;2;1007;ci tong guan fu wu qu
510;3;1007;Citongguan Service Area
510;2;1008;S102
510;3;1008;S102
510;2;1010;yu jia hai fu wu qu
510;3;1010;Yujiahai Service Area
510;2;1014;S202
510;3;1014;S202
510;2;1015;san lv gong lu
510;3;1015;Sanlv Hwy
510;2;1016;cheng gong fu wu qu
510;3;1016;Chenggong Service Area
510;2;1017;huan cheng dong lu
510;3;1017;Huancheng East Rd
510;2;1019;kun ming rao cheng gao su gong lu
510;3;1019;Kunmingraocheng Hwy
510;2;1023;yun da xi lu
510;3;1023;Yunda West Rd
510;2;1024;yang zong fu wu qu
510;3;1024;Yangzong Service Area
510;2;1027;cao dian shou fei zhan
510;3;1027;Caodian Tollgate
510;2;1028;G324
510;3;1028;G324
510;2;1029;ban jie he shou fei zhan
510;3;1029;Banjiehe Tollgate
510;2;1031;yang zong shou fei zhan
510;3;1031;Yangzong Tollgate
510;2;1038;guang fu lu
510;3;1038;Guangfu Rd
510;2;1041;jin hun gong lu
510;3;1041;Jinhun Hwy
510;2;1043;er huan dong lu
510;3;1043;2nd Ring East Rd
510;2;1045;yan jia shan shou fei zhan
510;3;1045;Yanjiashan Tollgate
510;2;1046;jiu long wan
510;3;1046;Jiulongwan
510;2;1047;shuang long fu wu qu
510;3;1047;Shuanglong Service Area
510;2;1049;xiao shao fu wu qu
510;3;1049;Xiaoshao Service Area
510;2;1050;jun ma chang fu wu qu
510;3;1050;Junmachang Service Area
510;2;1051;guan jun lu
510;3;1051;Guanjun Rd
510;2;1053;G213
510;3;1053;G213
510;2;1058;nan ba lu
510;3;1058;Nanba Rd
510;2;1059;fu de lu
510;3;1059;Fude Rd
510;2;1060;hai ming lu
510;3;1060;Haiming Rd
510;2;1062;G108
510;3;1062;G108
510;2;1064;huan cheng nan lu
510;3;1064;Huancheng South Rd
510;2;1066;kun rui lu
510;3;1066;Kunrui Rd
510;2;1067;xue fu lu
510;3;1067;Xuefu Rd
510;2;1068;er huan bei lu
510;3;1068;2nd Ring North Rd
510;2;1069;xi chang lu
510;3;1069;Xichang Rd
510;2;1071;jin bi lu
510;3;1071;Jinbi Rd
510;2;1072;da guan lu
510;3;1072;Daguan Rd
510;2;1073;ren min xi lu
510;3;1073;Renmin West Rd
510;2;1074;hai geng lu
510;3;1074;Haigeng Rd
510;2;1075;qian xing lu
510;3;1075;Qianxing Rd
510;2;1076;G320
510;3;1076;G320
510;2;1077;yun xing lu
510;3;1077;Yunxing Rd
510;2;1078;ri xin lu
510;3;1078;Rixin Rd
510;2;1079;dong jiao lu
510;3;1079;Dongjiao Rd
510;2;1080;tuo dong lu
510;3;1080;Tuodong Rd
510;2;1081;xun jin jie
510;3;1081;Xunjin St
510;2;1082;bei jing lu
510;3;1082;Beijing Rd
510;2;1083;chun cheng lu
510;3;1083;Chuncheng Rd
510;2;1084;cha jie
510;3;1084;Chajie
510;2;1085;dong si jie
510;3;1085;Dongsi St
510;2;1089;S213
510;3;1089;S213
510;2;1095;pan suo fu wu qu
510;3;1095;Pansuo Service Area
510;2;1105;dian chi lu
510;3;1105;Dianchi Rd
510;2;1106;min hang lu
510;3;1106;Minhang Rd
510;2;1108;er huan xi lu
510;3;1108;2nd Ring West Rd
510;2;1109;er huan nan lu
510;3;1109;2nd Ring South Rd
510;2;1111;guan nan da dao
510;3;1111;Guannan Blvd
510;2;1113;yu long lu
510;3;1113;Yulong Rd
510;2;1115;dong feng dong lu
510;3;1115;Dongfeng East Rd
510;2;1116;ren min dong lu
510;3;1116;Renmin East Rd
510;2;1117;chuan jin lu
510;3;1117;Chuanjin Rd
510;2;1118;huan cheng bei lu
510;3;1118;Huancheng North Rd
510;2;1119;bai yun lu
510;3;1119;Baiyun Rd
510;2;1120;bei chen da dao
510;3;1120;Beichen Blvd
510;2;1121;jiang dong hua yuan bei lu
510;3;1121;Jiangdonghuayuan North Rd
510;2;1123;jian she lu
510;3;1123;Jianshe Rd
510;2;1124;yi er yi da jie
510;3;1124;Yieryi Ave
510;2;1125;dong feng xi lu
510;3;1125;Dongfeng West Rd
510;2;1128;qing nian lu
510;3;1128;Qingnian Rd
510;2;1129;bai ta lu
510;3;1129;Baita Rd
510;2;1130;tai ping lu
510;3;1130;Taiping Rd
510;2;1131;xi ba lu
510;3;1131;Xiba Rd
