CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
510;20;935;P;1;10;;2007;1233;;4;;;933;1;1;1;1;1;1;;;+10274465;+2512300;0;0
510;20;1816;P;1;11;;2007;2005;;4;;;933;1;1;1;1;1;1;;;+10274253;+2514553;0;0
510;20;386;P;4;0;;;1896;;4;;;385;;;;;;;;;+10265805;+2511145;0;0
510;20;394;P;4;0;;;1904;;4;;;393;;;;;;;;;+10264896;+2510570;0;0
510;20;1040;P;1;10;;1261;1073;;4;;;1039;1;1;1;1;1;1;;;+10264672;+2504735;0;0
510;20;716;P;1;12;;1261;1185;;4;;;1039;1;1;1;1;1;1;;;+10265281;+2506283;0;1
510;20;715;P;1;10;;1261;1184;;4;;;1039;1;1;1;1;1;1;;;+10265745;+2506337;0;1
510;20;717;P;1;10;;1261;1186;;4;;;1039;1;1;1;1;1;1;;;+10266266;+2506402;0;1
510;20;718;P;1;3;;1261;1108;;4;;;1039;1;1;1;1;1;1;;;+10266813;+2506470;0;1
510;20;1042;P;1;10;;1261;1587;;4;;;1039;1;1;1;1;1;1;;;+10267529;+2506054;0;1
510;20;1043;P;1;10;;1261;1399;;4;;;1039;1;1;1;1;1;1;;;+10268084;+2505547;0;1
510;20;1044;P;1;12;;1261;1192;;4;;;1039;1;1;1;1;1;1;;;+10269020;+2505210;0;1
510;20;1051;P;1;6;;1261;1134;;4;;;1039;1;1;1;1;1;1;;;+10269226;+2505094;0;1
510;20;437;P;1;10;;1079;1064;;4;;;436;1;1;1;1;1;1;;;+10273448;+2503099;0;1
510;20;438;P;1;8;;1079;1043;;4;;;436;1;1;1;1;1;1;;;+10274460;+2502606;0;1
510;20;446;P;1;10;;1071;1069;;4;;;445;1;1;1;1;1;1;;;+10270008;+2503292;0;1
510;20;1231;P;1;10;;1071;1442;;4;;;445;1;1;1;1;1;1;;;+10270264;+2503298;0;1
510;20;1541;P;1;12;;1071;1085;;4;;;445;1;1;1;1;1;1;;;+10270887;+2503340;0;1
510;20;448;P;1;10;;1071;1081;;4;;;445;1;1;1;1;1;1;;;+10271681;+2503344;0;1
510;20;1784;P;1;10;;1587;1261;;4;;;412;1;1;1;1;1;1;;;+10267529;+2506054;0;1
510;20;414;P;1;10;;1587;1067;;4;;;412;1;1;1;1;1;1;;;+10267393;+2506524;0;1
510;20;415;P;1;10;;1587;1068;;4;;;412;1;1;1;1;1;1;;;+10267441;+2507111;0;1
510;20;1002;P;1;10;;1587;1626;;4;;;412;1;1;1;1;1;1;;;+10267115;+2508532;0;0
510;20;416;P;1;10;;1587;2001;;4;;;412;1;1;1;1;1;1;;;+10266650;+2510963;0;0
510;20;440;P;1;10;;1080;1081;;4;;;439;1;1;1;1;1;1;;;+10271681;+2503344;0;1
510;20;441;P;1;10;;1080;1082;;4;;;439;1;1;1;1;1;1;;;+10271991;+2503348;0;1
510;20;442;P;1;10;;1080;1083;;4;;;439;1;1;1;1;1;1;;;+10272555;+2503354;0;1
510;20;443;P;1;10;;1080;1084;;4;;;439;1;1;1;1;1;1;;;+10273007;+2503268;0;1
510;20;444;P;1;10;;1080;1064;;4;;;439;1;1;1;1;1;1;;;+10273448;+2503099;0;1
510;20;422;P;1;10;;1069;1064;;4;;;421;1;1;1;1;1;1;;;+10270818;+2502308;0;1
510;20;994;P;1;11;;1069;1166;;4;;;421;1;1;1;1;1;1;;;+10270587;+2502652;0;1
510;20;423;P;1;10;;1069;1071;;4;;;421;1;1;1;1;1;1;;;+10270008;+2503292;0;1
510;20;1045;P;1;10;;1069;1393;;4;;;421;1;1;1;1;1;1;;;+10269705;+2503743;0;1
510;20;424;P;1;10;;1069;1072;;4;;;421;1;1;1;1;1;1;;;+10269448;+2504055;0;1
510;20;425;P;1;10;;1069;1073;;4;;;421;1;1;1;1;1;1;;;+10269444;+2504396;0;1
510;20;1046;P;1;6;;1069;1134;;4;;;421;1;1;1;1;1;1;;;+10269226;+2505094;0;1
510;20;409;P;1;10;;1135;1587;;4;;;408;1;1;1;1;1;1;;;+10266650;+2510963;0;0
510;20;410;P;1;8;;1135;1064;;4;;;408;1;1;1;1;1;1;;;+10251900;+2522170;0;1
510;20;449;P;1;12;;1135;2002;;4;;;408;1;1;1;1;1;1;;;+10241956;+2554061;0;0
510;20;467;P;1;12;;997;1076;;4;;;466;1;1;1;1;1;1;;;+10260693;+2498708;0;0
510;20;1161;P;1;12;;997;2003;;4;;;466;1;1;1;1;1;1;;;+10261792;+2499249;0;0
510;20;468;P;1;3;;997;996;;4;;;466;1;1;1;1;1;1;;;+10262243;+2499278;0;0
510;20;1533;P;1;10;;997;1588;;4;;;466;1;1;1;1;1;1;;;+10264478;+2502156;0;0
510;20;1534;P;1;10;;997;1548;;4;;;466;1;1;1;1;1;1;;;+10264978;+2502410;0;0
510;20;471;P;1;6;;997;1108;;4;;;466;1;1;1;1;1;1;;;+10266979;+2503028;0;0
510;20;472;P;1;13;;997;1109;;4;;;466;1;1;1;1;1;1;;;+10267828;+2502932;0;0
510;20;893;P;1;10;;1147;1148;;4;;;892;1;1;1;1;1;1;;;+10271062;+2505552;0;1
510;20;894;P;1;7;;1147;1118;;4;;;892;1;1;1;1;1;1;;;+10270969;+2506001;0;1
510;20;895;P;1;10;;1147;1119;;4;;;892;1;1;1;1;1;1;;;+10270901;+2506789;0;1
510;20;1480;P;1;10;;1147;1258;;4;;;892;1;1;1;1;1;1;;;+10270977;+2507143;0;1
510;20;1481;P;1;11;;1147;1259;;4;;;892;1;1;1;1;1;1;;;+10271066;+2507396;0;1
510;20;896;P;1;10;;1147;1068;;4;;;892;1;1;1;1;1;1;;;+10271309;+2507747;0;1
510;20;1482;P;1;10;;1147;2004;;4;;;892;1;1;1;1;1;1;;;+10271802;+2509255;0;0
510;20;897;P;1;10;;1147;1223;;4;;;892;1;1;1;1;1;1;;;+10272004;+2509973;0;0
510;20;898;P;1;10;;1147;1224;;4;;;892;1;1;1;1;1;1;;;+10272450;+2511233;0;0
510;20;1782;P;1;10;;1147;1714;;4;;;892;1;1;1;1;1;1;;;+10273115;+2513182;0;0
510;20;1511;P;1;11;;1147;2005;;4;;;892;1;1;1;1;1;1;;;+10273702;+2514781;0;0
510;20;1569;P;1;3;;1067;1108;;4;;;752;1;1;1;1;1;1;;;+10266813;+2506470;0;1
510;20;754;P;1;10;;1067;1587;;4;;;752;1;1;1;1;1;1;;;+10267393;+2506524;0;1
510;20;755;P;1;10;;1067;1192;;4;;;752;1;1;1;1;1;1;;;+10268707;+2506414;0;1
510;20;756;P;1;10;;1067;1123;;4;;;752;1;1;1;1;1;1;;;+10269262;+2506391;0;1
510;20;1347;P;1;10;;1067;1257;;4;;;752;1;1;1;1;1;1;;;+10269892;+2506276;0;1
510;20;757;P;1;10;;1067;1193;;4;;;752;1;1;1;1;1;1;;;+10270213;+2506279;0;1
510;20;1348;P;1;8;;1067;1147;;4;;;752;1;1;1;1;1;1;;;+10270948;+2506101;0;1
510;20;313;P;4;0;;;1349;;4;;;312;;;;;;;;;+10271276;+2501412;0;1
510;20;299;P;4;0;;;1335;;4;;;298;;;;;;;;;+10272437;+2501399;0;1
510;20;454;P;1;3;;1136;1588;;4;;452;;1;1;1;1;1;1;;;+10219002;+2495551;0;0
