CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
510;20;933;L;1;4;;2007;1233;2005;4;
510;20;385;L;7;0;;;1062;1732;4;
510;20;393;L;7;0;;;1062;1903;4;
510;20;1039;L;1;4;;1261;1073;1134;4;
510;20;436;L;1;2;G108;1079;1064;1043;4;
510;20;445;L;1;2;G108;1071;1069;1081;4;
510;20;412;L;1;2;G108;1587;1261;2001;4;
510;20;439;L;1;2;G108;1080;1081;1064;4;
510;20;421;L;1;2;G108;1069;1064;1134;4;
510;20;408;L;1;2;;1135;1587;2002;4;
510;20;466;L;1;2;G320;997;1076;1109;4;
510;20;892;L;1;4;;1147;1148;2005;4;
510;20;752;L;1;4;;1067;1108;1147;4;
510;20;312;L;7;0;;;1321;1109;4;
510;20;298;L;7;0;;;1321;1327;4;
510;20;451;L;1;2;;1136;1588;1961;4;
510;20;1519;L;1;2;G324;1308;1043;1028;4;
510;20;1777;L;1;2;G324;1964;1995;1965;4;
510;20;401;L;1;2;;1139;1308;1964;4;
510;20;557;L;1;3;;1118;1147;1117;4;
510;20;1228;L;1;3;;1017;1079;1117;4;
510;20;97;L;1;1;G5601;1987;1038;1588;4;
510;20;1560;L;1;1;G5601;1019;1619;1588;4;
510;20;82;L;1;1;G80;1995;1109;1513;4;
510;20;1117;L;1;4;;1431;1427;1106;4;
510;20;600;L;1;4;;1106;1155;1064;4;
510;20;543;L;1;3;S220;1134;1105;1069;4;
510;20;549;L;1;3;S312;1064;1105;1079;4;
510;20;1755;L;7;0;;;1920;1732;4;
510;20;1570;L;1;4;X003;1714;1117;1147;4;
510;20;1796;L;1;4;;1976;1399;1069;4;
510;20;346;L;7;0;;;1151;1311;4;
510;20;348;L;7;0;;;1151;1299;4;
510;20;955;L;1;4;;1151;1129;1236;4;
510;20;571;L;1;4;;1129;1080;1017;4;
510;20;366;L;7;0;;;1119;1299;4;
510;20;862;L;1;4;;1119;1216;1043;4;
510;20;292;L;7;0;;;1427;1326;4;
510;20;1110;L;1;4;;1427;1083;1109;4;
510;20;1209;L;1;4;;1411;1410;1381;4;
510;20;947;L;1;4;;1120;1082;1117;4;
510;20;903;L;1;4;;1226;1120;1121;4;
510;20;490;L;1;3;;1082;1386;1714;4;
510;20;796;L;1;4;;1203;1124;1150;4;
510;20;381;L;7;0;;;1737;1147;4;
510;20;376;L;1;1;;1737;1732;1231;4;
510;20;1458;L;1;4;;1390;1117;1082;4;
510;20;351;L;7;0;;;1470;1327;4;
510;20;1267;L;1;4;;1470;1469;1058;4;
510;20;1259;L;1;4;;1591;1470;1386;4;
510;20;719;L;1;3;;1373;1749;1308;4;
510;20;1527;L;1;4;;1698;2009;1160;4;
510;20;849;L;1;3;;1607;2011;1606;4;
510;20;1576;L;1;3;;1749;1606;1373;4;
510;20;589;L;1;4;;1084;1080;1106;4;
510;20;1311;L;1;4;;1374;1766;1308;4;
510;20;764;L;1;4;;1194;1261;1391;4;
510;20;1031;L;1;4;;1176;1175;1417;4;
510;20;759;L;1;4;;1184;2013;1261;4;
510;20;970;L;1;4;;1117;1082;1041;4;
510;20;583;L;1;3;;1083;2018;1080;4;
