CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
510;20;452;L;3;0;;1136;1588;997;451;;4
510;20;870;L;3;0;;1136;1995;1961;451;;4
510;20;137;L;3;0;;1596;1076;1109;153;;4
510;20;105;L;3;0;;1596;1043;1634;153;;4
510;20;1779;L;3;0;;1972;1116;1181;1823;;4
510;20;1717;L;3;0;;1972;1160;1172;1823;;4
510;20;1201;L;3;0;;1405;1071;1115;1204;;4
510;20;1205;L;3;0;;1405;2025;1446;1204;;4
510;20;1124;L;3;0;;1430;1431;1154;1122;;4
510;20;1123;L;3;0;;1430;1772;1106;1122;;4
510;20;1131;L;3;0;;1430;2031;1113;1122;;4
510;20;1729;L;3;0;;1222;1382;2035;1728;;4
510;20;883;L;3;0;;1222;1082;1117;1728;;4
510;20;1684;L;3;0;;1290;1846;1849;1691;;4
510;20;1688;L;3;0;;1290;1068;1231;1691;;4
510;20;1696;L;3;0;;1290;1223;1714;1691;;4
510;20;996;L;3;0;;1166;1559;1134;636;;4
510;20;997;L;3;0;;1166;1776;1069;636;;4
