CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
511;21;6546;511;21;6550
511;21;6550;511;21;6546
511;21;565;511;21;567
511;21;567;511;21;608
511;21;608;511;21;565
511;21;6402;511;21;6405
511;21;6405;511;21;6402
511;21;6406;511;21;6689
511;21;6689;511;21;6406
511;21;6407;511;21;6445
511;21;6445;511;21;6407
511;21;6408;511;21;6452
511;21;6452;511;21;6408
511;21;6409;511;21;6413
511;21;6413;511;21;6425
511;21;6425;511;21;6409
511;21;52;511;21;431
511;21;431;511;21;52
511;21;432;511;21;443
511;21;443;511;21;432
511;21;406;511;21;433
511;21;433;511;21;406
511;21;434;511;21;463
511;21;463;511;21;434
511;21;435;511;21;437
511;21;437;511;21;508
511;21;508;511;21;435
511;21;745;511;21;747
511;21;747;511;21;752
511;21;752;511;21;745
511;21;6056;511;21;6403
511;21;6403;511;21;6056
511;21;58;511;21;65
511;21;65;511;21;68
511;21;68;511;21;58
511;21;66;511;21;740
511;21;740;511;21;750
511;21;750;511;21;66
511;21;6475;511;21;6575
511;21;6575;511;21;6475
511;21;6577;511;21;6586
511;21;6586;511;21;6577
511;21;6414;511;21;6454
511;21;6454;511;21;6414
511;21;6058;511;21;6455
511;21;6455;511;21;6058
511;21;75;511;21;760
511;21;760;511;21;75
511;21;761;511;21;774
511;21;774;511;21;761
511;21;839;511;21;840
511;21;840;511;21;839
511;21;812;511;21;814
511;21;814;511;21;1088
511;21;1088;511;21;812
511;21;783;511;21;789
511;21;789;511;21;815
511;21;815;511;21;871
511;21;871;511;21;783
511;21;714;511;21;810
511;21;810;511;21;714
511;21;811;511;21;1108
511;21;1108;511;21;811
511;21;854;511;21;856
511;21;856;511;21;854
511;21;858;511;21;903
511;21;903;511;21;858
511;21;830;511;21;859
511;21;859;511;21;830
511;21;860;511;21;906
511;21;906;511;21;860
511;21;861;511;21;897
511;21;897;511;21;861
511;21;862;511;21;887
511;21;887;511;21;862
511;21;863;511;21;877
511;21;877;511;21;863
511;21;832;511;21;864
511;21;864;511;21;832
511;21;408;511;21;411
511;21;411;511;21;408
511;21;412;511;21;480
511;21;480;511;21;412
511;21;413;511;21;501
511;21;501;511;21;413
511;21;414;511;21;506
511;21;506;511;21;414
511;21;415;511;21;467
511;21;467;511;21;415
511;21;416;511;21;510
511;21;510;511;21;416
511;21;417;511;21;524
511;21;524;511;21;417
511;21;418;511;21;533
511;21;533;511;21;418
