CID;LID;NID;NAME;NCOMMENT
511;1;257;亚洲;
511;1;258;中国;
511;1;259;海南省;
511;1;5;海口市;
511;1;260;三亚;
511;1;320;Ｇ２２３至吉阳大道;
511;1;315;Ｇ２２３;
511;1;321;吉阳大道;
511;1;363;Ｇ２２４;
511;1;86;海口市永兴派出所;
511;1;87;椰海大道;
511;1;267;Ｇ２２５;
511;1;274;Ｓ３１４;
511;1;278;凤凰路;
511;1;275;御海路;
511;1;276;桃源路;
511;1;277;凤翔路;
511;1;249;文明北路;
511;1;41;创业路;
511;1;261;海南环岛高速公路;
511;1;55;南港出口路;
511;1;32;粤海大道;
511;1;40;长滨路;
511;1;140;Ｓ２０１;
511;1;138;琼文大道;
511;1;141;美蓝幼儿园;
511;1;15;Ｓ８２;
511;1;23;海榆大道;
511;1;269;Ｘ８２０;
511;1;283;荔枝沟路;
511;1;332;引合;
511;1;331;落笔小学;
511;1;268;Ｘ８２７;
511;1;30;白驹大道;
511;1;25;海文高速公路;
511;1;149;琼州大桥;
511;1;108;琼山大道;
511;1;157;白龙北路;
511;1;159;文明东路;
511;1;107;滨江路;
511;1;129;白龙南路;
511;1;127;海府路;
511;1;130;海府一横路;
511;1;181;碧海大道;
511;1;177;海甸二东路;
511;1;51;甸昆路;
511;1;179;海甸五东路;
511;1;180;海甸六东路;
511;1;176;和平大道;
511;1;185;白沙门公园;
511;1;186;海甸六西路;
511;1;187;世纪大道;
511;1;188;万兴路;
511;1;101;海甸五西路;
511;1;35;滨海大道;
511;1;36;滨海西跨铁路桥;
511;1;53;龙华路;
511;1;37;长滨六路;
511;1;38;长滨五路;
511;1;39;长滨三路;
511;1;42;蓝城大道;
511;1;43;长秀路;
511;1;44;永万路;
511;1;45;海港路;
511;1;46;丽晶路;
511;1;47;文华路;
511;1;48;世贸北路;
511;1;49;玉兰路;
511;1;50;玉沙路;
511;1;52;新港路;
511;1;106;新大洲大道;
511;1;156;海南省华侨商业学校;
511;1;24;凤翔东路;
511;1;248;高登东路;
511;1;133;滨贸路;
511;1;91;海秀中路;
511;1;215;金贸西路;
511;1;90;滨涯路;
511;1;13;丘海大道;
511;1;97;南沙路;
511;1;59;海垦路;
511;1;60;金牛路;
511;1;162;博爱北路;
511;1;235;博爱南路;
511;1;160;长堤路;
511;1;98;海秀东路;
511;1;234;东湖路;
511;1;236;文明西路;
511;1;120;博巷路;
511;1;31;南海大道;
511;1;119;豪苑路;
511;1;102;苍峄路;
511;1;113;坡巷路;
511;1;68;长滨东二街;
511;1;69;长海大道;
511;1;67;长滨东四街;
511;1;66;长滨东五街;
511;1;65;长滨西五街;
511;1;70;长滨西四街;
511;1;71;长滨西二街;
511;1;161;新华北路;
511;1;163;和平桥;
511;1;64;长新路;
511;1;75;长信路;
511;1;74;和谐路;
511;1;56;海盛路;
511;1;73;美林路;
511;1;104;城南路;
511;1;112;大园路;
511;1;95;城西路;
511;1;14;龙昆南路;
511;1;303;学院路;
511;1;337;春光路;
511;1;338;兰海滨河城市花园三区;
511;1;304;临春河路;
511;1;167;大同路;
511;1;135;蓝天路;
511;1;168;龙丰路;
511;1;136;大英西路;
511;1;169;公园路;
511;1;241;大英路;
511;1;165;五指山路;
511;1;153;大英山西三路;
511;1;243;环湖路;
511;1;128;国兴大道;
511;1;94;凤翔西路;
511;1;121;甘蔗园;
511;1;244;道客路;
511;1;233;新华南路;
511;1;209;杜鹃路;
511;1;207;红棉西路;
511;1;210;民声西路;
511;1;203;渡海路;
511;1;201;港湾路;
511;1;204;泰华路;
511;1;279;三亚凤凰国际机场;
511;1;287;榆亚路;
511;1;280;凤凰机场海航快捷酒店;
511;1;281;解放路;
511;1;282;三亚河东路;
511;1;284;迎宾路;
511;1;285;迎春路;
511;1;286;新风街;
511;1;105;中山南路;
511;1;21;海口联络线;
511;1;111;琼州大道;
511;1;289;三亚湾路;
511;1;290;新城路;
511;1;298;三亚湾新城休闲会所;
511;1;76;港澳大道;
511;1;77;兴海路;
511;1;343;港门村上村路;
511;1;344;港门村二路;
511;1;306;港门上村路;
511;1;342;港门上村一路;
511;1;305;商品街一巷;
511;1;202;世纪公园三横路;
511;1;125;高登东街;
511;1;122;高登西街;
511;1;126;兴丹路;
511;1;110;朱云路;
511;1;296;光明街;
511;1;312;胜利路;
511;1;232;广场路;
511;1;145;桂林洋大道;
511;1;139;灵桂大道;
511;1;146;桂林洋互通;
511;1;224;国贸路;
511;1;223;金龙路;
511;1;99;龙昆北路;
511;1;222;国贸三横路;
511;1;221;金贸东路;
511;1;150;美祥路;
511;1;151;文坛路;
511;1;152;五指山南路;
511;1;96;海德路;
511;1;182;人民大道;
511;1;196;怡心路;
511;1;200;海甸六东路至碧海大道;
511;1;178;海甸四东路;
511;1;189;海彤路;
511;1;251;一岭;
511;1;183;海甸五中路;
511;1;131;和平南路;
511;1;245;海府路二横路;
511;1;242;群上路;
511;1;238;美苑路;
511;1;288;海虹路;
511;1;355;海花路;
511;1;356;东海路;
511;1;328;海韵路;
511;1;226;金岭路;
511;1;254;Ｓ２０２;
511;1;8;疏港公路;
511;1;9;石山互通;
511;1;11;永秀大队牧羊场;
511;1;16;龙桥立交;
511;1;17;十字路互通;
511;1;18;美人坡服务区;
511;1;19;新坡互通;
511;1;262;梅山立交;
511;1;273;椰州路;
511;1;263;水南;
