CID;LID;NID;NTRANSLATION
511;2;5;hai kou shi
511;3;5;Haikou
511;2;8;shu gang gong lu
511;3;8;Shugang Hwy
511;2;9;shi shan hu tong
511;3;9;Shishanhutong
511;2;11;yong xiu da dui mu yang chang
511;3;11;Yongxiudaduimuyangchang
511;2;13;qiu hai da dao
511;3;13;Qiuhai Blvd
511;2;14;long kun nan lu
511;3;14;Longkun South Rd
511;2;15;S82
511;3;15;S82
511;2;16;long qiao li jiao
511;3;16;Longqiao Jct
511;2;17;shi zi lu hu tong
511;3;17;Shiziluhutong
511;2;18;mei ren po fu wu qu
511;3;18;Meirenpo Service Area
511;2;19;xin po hu tong
511;3;19;Xinpohutong
511;2;21;hai kou lian luo xian
511;3;21;Haikoulianluoxian
511;2;23;hai yu da dao
511;3;23;Haiyu Blvd
511;2;24;feng xiang dong lu
511;3;24;Fengxiang East Rd
511;2;25;hai wen gao su gong lu
511;3;25;Haiwen Hwy
511;2;27;san jiang hu tong
511;3;27;Sanjianghutong
511;2;28;luo niu shan hu tong
511;3;28;Luoniushanhutong
511;2;29;mei lan hu tong
511;3;29;Meilanhutong
511;2;30;bai ju da dao
511;3;30;Baiju Blvd
511;2;31;nan hai da dao
511;3;31;Nanhai Blvd
511;2;32;yue hai da dao
511;3;32;Yuehai Blvd
511;2;34;zhan qian nan lu
511;3;34;Zhanqian South Rd
511;2;35;bin hai da dao
511;3;35;Binhai Blvd
511;2;36;bin hai xi kua tie lu qiao
511;3;36;Binhaixikuatielu Brg
511;2;37;chang bin liu lu
511;3;37;Changbinliu Rd
511;2;38;chang bin wu lu
511;3;38;Changbinwu Rd
511;2;39;chang bin san lu
511;3;39;Changbinsan Rd
511;2;40;chang bin lu
511;3;40;Changbin Rd
511;2;41;chuang ye lu
511;3;41;Chuangye Rd
511;2;42;lan cheng da dao
511;3;42;Lancheng Blvd
511;2;43;chang xiu lu
511;3;43;Changxiu Rd
511;2;44;yong wan lu
511;3;44;Yongwan Rd
511;2;45;hai gang lu
511;3;45;Haigang Rd
511;2;46;li jing lu
511;3;46;Lijing Rd
511;2;47;wen hua lu
511;3;47;Wenhua Rd
511;2;48;shi mao bei lu
511;3;48;Shimao North Rd
511;2;49;yu lan lu
511;3;49;Yulan Rd
511;2;50;yu sha lu
511;3;50;Yusha Rd
511;2;51;dian kun lu
511;3;51;Diankun Rd
511;2;52;xin gang lu
511;3;52;Xin'gang Rd
511;2;53;long hua lu
511;3;53;Longhua Rd
511;2;55;nan gang chu kou lu
511;3;55;Nan'gangchukou Rd
511;2;56;hai sheng lu
511;3;56;Haisheng Rd
511;2;57;mei li cun
511;3;57;Meili Village
511;2;58;xiu ying da dao
511;3;58;Xiuying Blvd
511;2;59;hai ken lu
511;3;59;Haiken Rd
511;2;60;jin niu lu
511;3;60;Jinniu Rd
511;2;61;jin xing lu
511;3;61;Jinxing Rd
511;2;62;zhan qian bei lu
511;3;62;Zhanqian North Rd
511;2;63;hai kou zhan
511;3;63;Haikouzhan
511;2;64;chang xin lu
511;3;64;Changxin Rd
511;2;65;chang bin xi wu jie
511;3;65;Changbinxiwu St
511;2;66;chang bin dong wu jie
511;3;66;Changbindongwu St
511;2;67;chang bin dong si jie
511;3;67;Changbindongsi St
511;2;68;chang bin dong er jie
511;3;68;Changbindonger St
511;2;69;chang hai da dao
511;3;69;Changhai Blvd
511;2;70;chang bin xi si jie
511;3;70;Changbinxisi St
511;2;71;chang bin xi er jie
511;3;71;Changbinxier St
511;2;73;mei lin lu
511;3;73;Meilin Rd
511;2;74;he xie lu
511;3;74;Hexie Rd
511;2;75;chang xin lu
511;3;75;Changxin Rd
511;2;76;gang ao da dao
511;3;76;Gang'ao Blvd
511;2;77;xing hai lu
511;3;77;Xinghai Rd
511;2;80;ke ji da dao
511;3;80;Keji Blvd
511;2;84;shi shan hu tong zhi nan hai da dao
511;3;84;Shishanhutong to Nanhai Blvd
511;2;86;hai kou shi yong xing pai chu suo
511;3;86;Haikoushiyongxingpaichusuo
511;2;87;ye hai da dao
511;3;87;Yehai Blvd
511;2;88;hai yu zhong xian
511;3;88;Haiyu Middle Line
511;2;89;xiu hua lu
511;3;89;Xiuhua Rd
511;2;90;bin ya lu
511;3;90;Binya Rd
511;2;91;hai xiu zhong lu
511;3;91;Haixiu Middle Rd
511;2;92;qiu hai yi heng lu
511;3;92;Qiuhaiyi Rd
511;2;93;long kun nan hu tong
511;3;93;Longkunnanhutong
511;2;94;feng xiang xi lu
511;3;94;Fengxiang West Rd
511;2;95;cheng xi lu
511;3;95;Chengxi Rd
511;2;96;hai de lu
511;3;96;Haide Rd
511;2;97;nan sha lu
511;3;97;Nansha Rd
511;2;98;hai xiu dong lu
511;3;98;Haixiu East Rd
511;2;99;long kun bei lu
511;3;99;Longkun North Rd
511;2;101;hai dian wu xi lu
511;3;101;Haidianwu West Rd
511;2;102;cang yi lu
511;3;102;Cangyi Rd
511;2;104;cheng nan lu
511;3;104;Chengnan Rd
511;2;105;zhong shan nan lu
511;3;105;Zhongshan South Rd
511;2;106;xin da zhou da dao
511;3;106;Xindazhou Blvd
511;2;107;bin jiang lu
511;3;107;Binjiang Rd
511;2;108;qiong shan da dao
511;3;108;Qiongshan Blvd
511;2;109;hong cheng hu lu
511;3;109;Hongchenghu Rd
511;2;110;zhu yun lu
511;3;110;Zhuyun Rd
511;2;111;qiong zhou da dao
511;3;111;Qiongzhou Blvd
511;2;112;da yuan lu
