CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
511;21;6550;P;1;10;;320;315;;5;;;6549;1;1;1;1;1;1;;;+10961081;+1827565;0;0
511;21;6551;P;1;12;;320;321;;5;;;6549;1;1;1;1;1;1;;;+10960540;+1830060;0;0
511;21;564;P;1;12;;363;86;;4;;;563;1;1;1;1;1;1;;;+11026608;+1992221;0;0
511;21;565;P;1;10;;363;87;;4;;;563;1;1;1;1;1;1;;;+11027596;+1997801;0;0
511;21;6405;P;1;12;;267;274;;5;;;6404;1;1;1;1;1;1;;;+10933281;+1830580;0;0
511;21;6406;P;1;3;;267;275;;5;;;6404;1;1;1;1;1;1;;;+10937794;+1829543;0;0
511;21;6407;P;1;12;;267;276;;5;;;6404;1;1;1;1;1;1;;;+10939317;+1829687;0;0
511;21;6408;P;1;12;;267;277;;5;;;6404;1;1;1;1;1;1;;;+10942122;+1829884;0;0
511;21;6409;P;1;10;;267;278;;5;;;6404;1;1;1;1;1;1;;;+10944227;+1830069;0;0
511;21;430;P;1;11;;267;249;;4;;;429;1;1;1;1;1;1;;;+11012821;+1991636;0;0
511;21;431;P;1;3;;267;261;;4;;;429;1;1;1;1;1;1;;;+11013066;+1993438;0;0
511;21;432;P;1;10;;267;55;;4;;;429;1;1;1;1;1;1;;;+11014516;+1997382;0;0
511;21;433;P;1;10;;267;32;;4;;;429;1;1;1;1;1;1;;;+11016914;+2000312;0;0
511;21;434;P;1;12;;267;40;;4;;;429;1;1;1;1;1;1;;;+11020816;+2001189;0;0
511;21;435;P;1;10;;267;41;;4;;;429;1;1;1;1;1;1;;;+11024397;+2000963;0;1
511;21;747;P;1;11;;140;138;;4;;;746;1;1;1;1;1;1;;;+11047845;+1994180;0;0
511;21;748;P;1;12;;140;141;;4;;;746;1;1;1;1;1;1;;;+11049869;+1993362;0;0
511;21;6402;P;1;12;;274;267;;5;;;6401;1;1;1;1;1;1;;;+10933281;+1830580;0;0
511;21;6403;P;1;3;;274;261;;5;;;6401;1;1;1;1;1;1;;;+10933600;+1831644;0;0
511;21;65;P;1;1;;15;261;;4;;;64;1;1;1;1;1;1;;;+11036251;+1994009;0;0
511;21;66;P;1;3;;15;23;;4;;;64;1;1;1;1;1;1;;;+11044046;+1994185;0;0
511;21;6575;P;1;12;;269;283;;5;;;6574;1;1;1;1;1;1;;;+10953138;+1829804;0;0
511;21;6576;P;1;12;;269;261;;5;;;6574;1;1;1;1;1;1;;;+10953091;+1831418;0;0
511;21;6577;P;1;11;;269;331;;5;;;6574;1;1;1;1;1;1;;;+10954359;+1832833;0;0
511;21;6578;P;1;11;;269;332;;5;;;6574;1;1;1;1;1;1;;;+10955782;+1833479;0;0
511;21;6454;P;1;10;;268;278;;5;;;6453;1;1;1;1;1;1;;;+10944620;+1830046;0;0
511;21;6455;P;1;3;;268;261;;5;;;6453;1;1;1;1;1;1;;;+10944560;+1831480;0;0
511;21;760;P;1;3;;30;25;;4;;;759;1;1;1;1;1;1;;;+11044996;+1998050;0;0
511;21;761;P;1;10;;30;108;;4;;;759;1;1;1;1;1;1;;;+11040149;+2001655;0;0
511;21;839;P;1;13;;30;149;;4;;;759;1;1;1;1;1;1;;;+11039558;+2001655;0;0
511;21;814;P;1;10;;157;159;;4;;;813;1;1;1;1;1;1;;;+11036066;+2003814;0;1
511;21;815;P;1;8;;157;107;;4;;;813;1;1;1;1;1;1;;;+11035988;+2004884;0;1
511;21;810;P;1;10;;129;127;;4;;;809;1;1;1;1;1;1;;;+11036376;+2002014;0;1
511;21;811;P;1;10;;129;130;;4;;;809;1;1;1;1;1;1;;;+11036208;+2002697;0;1
511;21;812;P;1;10;;129;159;;4;;;809;1;1;1;1;1;1;;;+11036066;+2003814;0;1
511;21;856;P;1;12;;181;177;;4;;;855;1;1;1;1;1;1;;;+11035686;+2005287;0;1
511;21;857;P;1;6;;181;179;;4;;;855;1;1;1;1;1;1;;;+11035497;+2006432;0;1
511;21;858;P;1;12;;181;180;;4;;;855;1;1;1;1;1;1;;;+11035289;+2006904;0;1
511;21;859;P;1;12;;181;176;;4;;;855;1;1;1;1;1;1;;;+11034332;+2007698;0;1
511;21;860;P;1;12;;181;185;;4;;;855;1;1;1;1;1;1;;;+11033746;+2007718;0;1
511;21;861;P;1;11;;181;186;;4;;;855;1;1;1;1;1;1;;;+11032595;+2007125;0;1
511;21;862;P;1;10;;181;187;;4;;;855;1;1;1;1;1;1;;;+11031975;+2007038;0;1
511;21;863;P;1;12;;181;188;;4;;;855;1;1;1;1;1;1;;;+11031471;+2006552;0;1
511;21;864;P;1;10;;181;101;;4;;;855;1;1;1;1;1;1;;;+11031407;+2006131;0;1
511;21;865;P;1;12;;181;51;;4;;;855;1;1;1;1;1;1;;;+11031958;+2005505;0;1
511;21;410;P;1;12;;35;36;;4;;;409;1;1;1;1;1;1;;;+11016337;+2003780;0;0
511;21;411;P;1;10;;35;32;;4;;;409;1;1;1;1;1;1;;;+11017330;+2005408;0;0
511;21;412;P;1;10;;35;37;;4;;;409;1;1;1;1;1;1;;;+11018273;+2005478;0;0
511;21;413;P;1;10;;35;38;;4;;;409;1;1;1;1;1;1;;;+11018732;+2005474;0;0
511;21;414;P;1;12;;35;39;;4;;;409;1;1;1;1;1;1;;;+11019747;+2005468;0;0
511;21;415;P;1;10;;35;40;;4;;;409;1;1;1;1;1;1;;;+11020573;+2005247;0;0
511;21;416;P;1;10;;35;41;;4;;;409;1;1;1;1;1;1;;;+11024705;+2003008;0;1
511;21;417;P;1;10;;35;42;;4;;;409;1;1;1;1;1;1;;;+11025875;+2002538;0;1
511;21;418;P;1;10;;35;43;;4;;;409;1;1;1;1;1;1;;;+11026263;+2002345;0;1
