CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
511;21;6549;L;1;4;;320;315;321;5;
511;21;563;L;1;2;G224;363;86;87;4;
511;21;6404;L;1;2;G225;267;274;278;5;
511;21;429;L;1;2;G225;267;249;41;4;
511;21;746;L;1;3;S201;140;138;141;4;
511;21;6401;L;1;3;S314;274;267;261;5;
511;21;64;L;1;1;S82;15;261;23;4;
511;21;6574;L;1;4;X820;269;283;332;5;
511;21;6453;L;1;4;X827;268;278;261;5;
511;21;759;L;1;3;;30;25;149;4;
511;21;813;L;1;4;;157;159;107;4;
511;21;809;L;1;4;;129;127;159;4;
511;21;855;L;1;4;;181;177;51;4;
511;21;409;L;1;4;;35;36;53;4;
511;21;776;L;1;4;;107;106;157;4;
511;21;970;L;1;4;;133;91;35;4;
511;21;1027;L;1;4;;90;13;97;4;
511;21;1152;L;1;4;;162;235;160;4;
511;21;1075;L;1;4;;235;98;162;4;
511;21;674;L;1;4;;120;31;97;4;
511;21;631;L;1;4;;102;87;113;4;
511;21;493;L;1;4;;68;69;40;4;
511;21;485;L;1;4;;67;69;40;4;
511;21;472;L;1;4;;66;65;40;4;
511;21;476;L;1;4;;37;65;35;4;
511;21;462;L;1;4;;40;267;35;4;
511;21;502;L;1;4;;39;66;35;4;
511;21;497;L;1;4;;38;65;35;4;
511;21;489;L;1;4;;71;37;69;4;
511;21;481;L;1;4;;70;37;69;4;
511;21;468;L;1;4;;65;37;66;4;
511;21;784;L;1;4;;160;53;157;4;
511;21;459;L;1;4;;64;267;65;4;
511;21;555;L;1;4;;75;41;44;4;
511;21;529;L;1;4;;43;56;35;4;
511;21;678;L;1;4;;104;87;112;4;
511;21;634;L;1;4;;95;113;14;4;
511;21;507;L;1;4;;41;267;35;4;
511;21;6597;L;1;4;;337;338;278;5;
511;21;6593;L;1;4;;337;304;278;5;
511;21;801;L;1;4;;167;135;53;4;
511;21;1097;L;1;4;;241;135;165;4;
511;21;1111;L;1;4;;153;243;135;4;
511;21;806;L;1;4;;136;98;167;4;
511;21;681;L;1;4;;112;94;121;4;
511;21;1115;L;1;4;;244;14;243;4;
511;21;603;L;1;4;;51;35;101;4;
511;21;1065;L;1;4;;234;233;235;4;
511;21;933;L;1;4;;209;35;207;4;
511;21;911;L;1;4;;203;201;52;4;
511;21;6410;L;1;3;;278;279;287;5;
511;21;625;L;1;4;;24;112;107;4;
511;21;6446;L;1;4;;277;289;267;5;
511;21;622;L;1;4;;94;14;112;4;
511;21;516;L;1;4;;76;31;42;4;
511;21;6616;L;1;4;;343;344;306;5;
511;21;6623;L;1;4;;306;282;343;5;
511;21;6613;L;1;4;;342;305;343;5;
511;21;907;L;1;4;;201;35;203;4;
511;21;702;L;1;4;;125;122;111;4;
511;21;1155;L;1;4;;248;111;107;4;
511;21;699;L;1;4;;122;110;105;4;
511;21;6521;L;1;4;;296;289;281;5;
511;21;1062;L;1;4;;232;167;233;4;
511;21;756;L;1;4;;145;139;146;4;
511;21;1010;L;1;4;;224;223;99;4;
511;21;1015;L;1;4;;222;224;35;4;
511;21;763;L;1;4;;128;149;14;4;
511;21;1047;L;1;4;;96;97;14;4;
511;21;851;L;1;4;;177;182;181;4;
511;21;899;L;1;4;;180;196;181;4;
511;21;904;L;1;4;;200;180;181;4;
511;21;896;L;1;4;;186;181;180;4;
511;21;866;L;1;4;;178;182;189;4;
511;21;841;L;1;4;;179;176;251;4;
511;21;831;L;1;4;;101;181;182;4;
511;21;835;L;1;4;;183;182;179;4;
511;21;711;L;1;4;;127;111;98;4;
511;21;1122;L;1;4;;245;127;242;4;
511;21;1106;L;1;4;;130;127;238;4;
511;21;573;L;1;4;;45;56;35;4;
511;21;6422;L;1;4;;288;289;278;5;
511;21;6665;L;1;4;;355;356;287;5;
511;21;1023;L;1;4;;59;31;91;4;
511;21;67;L;1;1;S81;21;261;24;4;
511;21;51;L;1;1;G98;261;267;254;4;
