CID;LID;NID;NAME;NCOMMENT
512;1;1;亚洲;
512;1;2;中国;
512;1;211;陕西省;
512;1;657;安康市;
512;1;635;汉中市;
512;1;667;渭南市;
512;1;658;京昆高速公路安康段;
512;1;656;大河坝收费站;
512;1;421;秦岭服务区;
512;1;659;黑虎垭观景台;
512;1;660;宁陕服务区;
512;1;661;宁陕收费站;
512;1;687;双河停车区;
512;1;662;皇冠收费站;
512;1;663;油坊坪停车区;
512;1;664;庙沟停车区;
512;1;636;京昆高速公路汉中段;
512;1;688;广元出口;
512;1;690;宁强收费站;
512;1;639;宁强服务区;
512;1;640;韩家坝收费站;
512;1;641;胡家坝收费站;
512;1;642;勉县服务区;
512;1;643;勉县收费站;
512;1;644;汉中服务区;
512;1;691;汉中收费站;
512;1;646;汉中东收费站;
512;1;648;十天高速公路;
512;1;649;上元观收费站;
512;1;650;Ｇ３１６;
512;1;651;汉江停车区;
512;1;652;洋县收费站;
512;1;653;洋县服务区;
512;1;654;龙亭收费站;
512;1;655;金水收费站;
512;1;669;京昆高速公路渭南段;
512;1;692;富平收费站;
512;1;685;龙门收费站;
512;1;670;富平服务区;
512;1;671;Ｘ２１９;
512;1;672;Ｓ２０１;
512;1;674;渭蒲高速公路;
512;1;675;孙镇收费站;
512;1;32;Ｇ１０８;
512;1;676;澄城服务区;
512;1;686;下河村;
512;1;678;洽川大道;
512;1;680;侯卒村;
512;1;681;芝川收费站;
512;1;683;韩城服务区;
512;1;684;韩城收费站;
