CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
512;22;12052;;12053
512;22;12053;12052;12054
512;22;12054;12053;12055
512;22;12055;12054;12060
512;22;12060;12055;12056
512;22;12056;12060;12057
512;22;12057;12056;12058
512;22;12058;12057;12059
512;22;12059;12058;
512;22;6053;;6054
512;22;6054;6053;6055
512;22;6055;6054;6056
512;22;6056;6055;6057
512;22;6057;6056;6058
512;22;6058;6057;6059
512;22;6059;6058;6060
512;22;6060;6059;6061
512;22;6061;6060;6062
512;22;6062;6061;6063
512;22;6063;6062;6064
512;22;6064;6063;6065
512;22;6065;6064;6066
512;22;6066;6065;6067
512;22;6067;6066;6068
512;22;6068;6067;6069
512;22;6069;6068;6070
512;22;6070;6069;6071
512;22;6071;6070;
512;22;18052;;18053
512;22;18053;18052;18054
512;22;18054;18053;18055
512;22;18055;18054;18056
512;22;18056;18055;18057
512;22;18057;18056;18058
512;22;18058;18057;18059
512;22;18059;18058;18060
512;22;18060;18059;18061
512;22;18061;18060;18063
512;22;18063;18061;18064
512;22;18064;18063;18066
512;22;18066;18064;18067
512;22;18067;18066;18068
512;22;18068;18067;
