CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
512;22;12052;P;1;3;;658;656;;6;;;12051;1;1;1;1;1;1;;;+10804395;+3330145;0;0
512;22;12053;P;3;8;;658;659;;6;;;12051;1;1;1;1;1;1;;;+10815099;+3335305;0;0
512;22;12054;P;3;3;;658;660;;6;;;12051;1;1;1;1;1;1;;;+10823222;+3339942;0;0
512;22;12055;P;1;3;;658;661;;6;;;12051;1;1;1;1;1;1;;;+10823693;+3341305;0;0
512;22;12060;P;3;8;;658;687;;6;;;12051;1;1;1;1;1;1;;;+10830918;+3349495;0;0
512;22;12056;P;1;3;;658;662;;6;;;12051;1;1;1;1;1;1;;;+10840475;+3359252;0;0
512;22;12057;P;3;8;;658;663;;6;;;12051;1;1;1;1;1;1;;;+10843797;+3361076;0;0
512;22;12058;P;3;8;;658;664;;6;;;12051;1;1;1;1;1;1;;;+10843925;+3364513;0;0
512;22;12059;P;3;3;;658;421;;6;;;12051;1;1;1;1;1;1;;;+10848925;+3377425;0;0
512;22;6053;P;1;3;;636;688;;5;;;6051;1;1;1;1;1;1;;;+10612963;+3272670;0;0
512;22;6054;P;1;3;;636;690;;5;;;6051;1;1;1;1;1;1;;;+10626160;+3282034;0;0
512;22;6055;P;3;3;;636;639;;5;;;6051;1;1;1;1;1;1;;;+10629898;+3282912;0;0
512;22;6056;P;1;3;;636;640;;5;;;6051;1;1;1;1;1;1;;;+10635876;+3284872;0;0
512;22;6057;P;1;3;;636;641;;5;;;6051;1;1;1;1;1;1;;;+10647541;+3297435;0;0
512;22;6058;P;3;3;;636;642;;5;;;6051;1;1;1;1;1;1;;;+10665139;+3305514;0;0
512;22;6059;P;1;3;;636;643;;5;;;6051;1;1;1;1;1;1;;;+10667707;+3306351;0;0
512;22;6060;P;3;3;;636;644;;5;;;6051;1;1;1;1;1;1;;;+10697476;+3302802;0;0
512;22;6061;P;1;3;;636;691;;5;;;6051;1;1;1;1;1;1;;;+10700052;+3301890;0;0
512;22;6062;P;1;3;;636;646;;5;;;6051;1;1;1;1;1;1;;;+10713916;+3304712;0;0
512;22;6063;P;1;1;;636;648;;5;;;6051;1;1;1;1;1;1;;;+10720711;+3306574;0;0
512;22;6064;P;1;3;;636;649;;5;;;6051;1;1;1;1;1;1;;;+10723877;+3308458;0;0
512;22;6065;P;1;3;;636;650;;5;;;6051;1;1;1;1;1;1;;;+10736754;+3312436;0;0
512;22;6066;P;3;8;;636;651;;5;;;6051;1;1;1;1;1;1;;;+10744731;+3316792;0;0
512;22;6067;P;1;3;;636;652;;5;;;6051;1;1;1;1;1;1;;;+10752804;+3319663;0;0
512;22;6068;P;3;3;;636;653;;5;;;6051;1;1;1;1;1;1;;;+10756429;+3320107;0;0
512;22;6069;P;1;3;;636;654;;5;;;6051;1;1;1;1;1;1;;;+10765086;+3320212;0;0
512;22;6070;P;1;3;;636;655;;5;;;6051;1;1;1;1;1;1;;;+10784125;+3327436;0;0
512;22;6071;P;1;3;;636;656;;5;;;6051;1;1;1;1;1;1;;;+10804395;+3330145;0;0
512;22;18052;P;1;3;;669;692;;7;;;18051;1;1;1;1;1;1;;;+10922944;+3472556;0;0
512;22;18053;P;3;3;;669;670;;7;;;18051;1;1;1;1;1;1;;;+10926567;+3474621;0;0
512;22;18054;P;1;3;;669;671;;7;;;18051;1;1;1;1;1;1;;;+10944132;+3485828;0;0
512;22;18055;P;1;3;;669;672;;7;;;18051;1;1;1;1;1;1;;;+10960169;+3490437;0;0
512;22;18056;P;1;1;;669;674;;7;;;18051;1;1;1;1;1;1;;;+10965094;+3491335;0;0
512;22;18057;P;1;3;;669;675;;7;;;18051;1;1;1;1;1;1;;;+10976292;+3493490;0;0
512;22;18058;P;1;3;;669;32;;7;;;18051;1;1;1;1;1;1;;;+10992902;+3500292;0;0
512;22;18059;P;3;3;;669;676;;7;;;18051;1;1;1;1;1;1;;;+10997352;+3502996;0;0
512;22;18060;P;3;8;;669;686;;7;;;18051;1;1;1;1;1;1;;;+11014342;+3520143;0;0
512;22;18061;P;1;3;;669;678;;7;;;18051;1;1;1;1;1;1;;;+11016391;+3521060;0;0
512;22;18063;P;3;8;;669;680;;7;;;18051;1;1;1;1;1;1;;;+11034600;+3530524;0;0
512;22;18064;P;1;3;;669;681;;7;;;18051;1;1;1;1;1;1;;;+11038937;+3534164;0;0
512;22;18066;P;3;3;;669;683;;7;;;18051;1;1;1;1;1;1;;;+11044696;+3540851;0;0
512;22;18067;P;1;3;;669;684;;7;;;18051;1;1;1;1;1;1;;;+11047685;+3547704;0;0
512;22;18068;P;1;3;;669;685;;7;;;18051;1;1;1;1;1;1;;;+11052399;+3556764;0;0
