CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
513;23;104;513;23;1730
513;23;1730;513;23;104
513;23;1285;513;23;1699
513;23;1699;513;23;1285
513;23;224;513;23;671
513;23;671;513;23;4026
513;23;4026;513;23;4027
513;23;4027;513;23;224
513;23;934;513;23;3784
513;23;3784;513;23;934
513;23;938;513;23;3782
513;23;3782;513;23;938
513;23;205;513;23;939
513;23;939;513;23;205
513;23;1690;513;23;1698
513;23;1698;513;23;1690
513;23;761;513;23;763
513;23;763;513;23;1056
513;23;1056;513;23;761
513;23;765;513;23;767
513;23;767;513;23;1011
513;23;1011;513;23;765
513;23;928;513;23;930
513;23;930;513;23;963
513;23;963;513;23;965
513;23;965;513;23;928
513;23;543;513;23;624
513;23;624;513;23;626
513;23;626;513;23;543
513;23;484;513;23;621
513;23;621;513;23;623
513;23;623;513;23;484
513;23;3824;513;23;3826
513;23;3826;513;23;3824
513;23;3827;513;23;3829
513;23;3829;513;23;3827
513;23;1299;513;23;1688
513;23;1688;513;23;4086
513;23;4086;513;23;1299
513;23;1300;513;23;1336
513;23;1336;513;23;4089
513;23;4089;513;23;1300
513;23;812;513;23;1611
513;23;1611;513;23;4437
513;23;4437;513;23;812
513;23;818;513;23;1302
513;23;1302;513;23;818
513;23;819;513;23;4214
513;23;4214;513;23;819
513;23;1303;513;23;3730
513;23;3730;513;23;1303
513;23;3773;513;23;4205
513;23;4205;513;23;3773
513;23;1305;513;23;3776
513;23;3776;513;23;1305
513;23;1309;513;23;1722
513;23;1722;513;23;1309
513;23;1821;513;23;1827
513;23;1827;513;23;1821
513;23;1065;513;23;1828
513;23;1828;513;23;1065
513;23;1021;513;23;1829
513;23;1829;513;23;1021
513;23;809;513;23;980
513;23;980;513;23;1520
513;23;1520;513;23;4070
513;23;4070;513;23;809
513;23;220;513;23;667
513;23;667;513;23;814
513;23;814;513;23;220
513;23;815;513;23;1291
513;23;1291;513;23;3741
513;23;3741;513;23;815
513;23;1292;513;23;1574
513;23;1574;513;23;4401
513;23;4401;513;23;1292
