CID;TABCD;LCD;ALLOCATED
513;23;1;1
513;23;2;1
513;23;3;1
513;23;4;1
513;23;1725;1
513;23;1726;1
513;23;1727;1
513;23;1728;1
513;23;1729;1
513;23;1730;1
513;23;1284;1
513;23;1285;1
513;23;1286;1
513;23;1287;1
513;23;1288;1
513;23;1695;1
513;23;4026;1
513;23;934;1
513;23;935;1
513;23;4057;1
513;23;936;1
513;23;937;1
513;23;938;1
513;23;939;1
513;23;1696;1
513;23;1697;1
513;23;1698;1
513;23;1699;1
513;23;762;1
513;23;763;1
513;23;764;1
513;23;765;1
513;23;929;1
513;23;930;1
513;23;4027;1
513;23;622;1
513;23;624;1
513;23;623;1
513;23;3825;1
513;23;3826;1
513;23;3827;1
513;23;430;1
513;23;1295;1
513;23;1296;1
513;23;1297;1
513;23;1298;1
513;23;1299;1
513;23;1300;1
513;23;1301;1
513;23;811;1
513;23;812;1
513;23;431;1
513;23;1302;1
513;23;819;1
513;23;1303;1
513;23;432;1
513;23;1304;1
513;23;4205;1
513;23;1305;1
513;23;1306;1
513;23;1307;1
513;23;4108;1
513;23;1309;1
513;23;4059;1
513;23;4192;1
513;23;1723;1
513;23;1722;1
513;23;1721;1
513;23;1826;1
513;23;1827;1
513;23;1828;1
513;23;1829;1
513;23;1293;1
513;23;4070;1
513;23;814;1
513;23;815;1
513;23;1289;1
513;23;1291;1
513;23;816;1
513;23;1292;1
513;23;817;1
513;23;818;1
513;23;1318;1
513;23;1321;1
513;23;1320;1
513;23;1319;1
513;23;1709;1
513;23;1710;1
513;23;1711;1
513;23;608;1
513;23;4449;1
513;23;612;1
513;23;1315;1
513;23;1314;1
513;23;611;1
513;23;610;1
513;23;609;1
513;23;477;1
513;23;478;1
513;23;479;1
513;23;480;1
513;23;481;1
513;23;418;1
513;23;423;1
513;23;422;1
513;23;421;1
513;23;420;1
513;23;419;1
513;23;1316;1
513;23;1700;1
513;23;1701;1
513;23;1702;1
513;23;1703;1
513;23;1704;1
513;23;1705;1
513;23;3738;1
513;23;3739;1
513;23;3740;1
513;23;3741;1
513;23;1797;1
513;23;1798;1
513;23;1799;1
513;23;1800;1
513;23;1801;1
513;23;1706;1
513;23;1707;1
513;23;1708;1
513;23;201;1
513;23;202;1
513;23;203;1
513;23;204;1
513;23;2647;1
513;23;4471;1
513;23;205;1
513;23;206;1
513;23;207;1
513;23;2649;1
513;23;208;1
513;23;250;1
513;23;209;1
513;23;210;1
513;23;2650;1
513;23;249;1
513;23;211;1
513;23;212;1
513;23;213;1
513;23;214;1
513;23;215;1
513;23;2648;1
513;23;92;1
513;23;93;1
513;23;86;1
513;23;156;1
513;23;94;1
513;23;95;1
513;23;67;1
513;23;113;1
513;23;114;1
513;23;115;1
513;23;116;1
513;23;117;1
513;23;118;1
513;23;119;1
513;23;120;1
513;23;121;1
513;23;157;1
513;23;70;1
513;23;122;1
513;23;69;1
513;23;128;1
513;23;139;1
513;23;68;1
513;23;1050;1
513;23;1051;1
513;23;1055;1
513;23;1056;1
513;23;1057;1
513;23;1058;1
513;23;1059;1
513;23;1060;1
513;23;1061;1
513;23;1062;1
513;23;1063;1
513;23;1052;1
513;23;1064;1
513;23;1065;1
513;23;1066;1
513;23;1067;1
513;23;1068;1
513;23;1069;1
513;23;1070;1
513;23;1071;1
513;23;1054;1
513;23;1072;1
513;23;1073;1
513;23;1074;1
513;23;1259;1
513;23;1075;1
513;23;1076;1
513;23;1077;1
513;23;1053;1
513;23;1078;1
513;23;1079;1
513;23;1080;1
513;23;1081;1
513;23;1082;1
513;23;1083;1
513;23;1620;1
513;23;3845;1
513;23;3846;1
513;23;1622;1
513;23;1623;1
513;23;1624;1
513;23;1625;1
513;23;1626;1
513;23;4078;1
513;23;4079;1
513;23;1627;1
513;23;1628;1
513;23;4080;1
513;23;4023;1
513;23;4024;1
513;23;4025;1
513;23;981;1
513;23;982;1
513;23;983;1
513;23;4060;1
513;23;986;1
513;23;4061;1
513;23;4062;1
513;23;3835;1
513;23;3836;1
513;23;3837;1
513;23;4065;1
513;23;3839;1
513;23;3840;1
513;23;1631;1
513;23;1632;1
513;23;1637;1
513;23;1638;1
513;23;1643;1
513;23;840;1
513;23;841;1
513;23;844;1
513;23;845;1
513;23;4064;1
513;23;846;1
513;23;847;1
513;23;848;1
513;23;3832;1
513;23;3833;1
513;23;3834;1
513;23;1506;1
513;23;4067;1
513;23;1508;1
513;23;2000;1
513;23;2001;1
513;23;2002;1
513;23;913;1
513;23;914;1
513;23;915;1
513;23;1823;1
513;23;1824;1
513;23;1825;1
513;23;142;1
513;23;150;1
513;23;143;1
513;23;144;1
513;23;145;1
513;23;158;1
513;23;146;1
513;23;147;1
513;23;3456;1
513;23;3457;1
513;23;3458;1
513;23;2206;1
513;23;2207;1
513;23;2208;1
513;23;2209;1
513;23;1655;1
513;23;1656;1
513;23;1657;1
513;23;1658;1
513;23;1652;1
513;23;1653;1
513;23;1654;1
513;23;3781;1
513;23;3782;1
513;23;3819;1
513;23;3820;1
513;23;3821;1
513;23;1649;1
513;23;1650;1
513;23;1651;1
513;23;3780;1
513;23;2703;1
513;23;2704;1
513;23;785;1
513;23;788;1
513;23;787;1
513;23;786;1
513;23;1002;1
513;23;2012;1
513;23;2013;1
513;23;2014;1
513;23;1004;1
513;23;520;1
513;23;522;1
513;23;521;1
513;23;1719;1
513;23;1670;1
513;23;1718;1
513;23;1717;1
513;23;1671;1
513;23;2637;1
513;23;2638;1
513;23;2641;1
513;23;2642;1
513;23;1976;1
513;23;1977;1
513;23;1978;1
513;23;1412;1
513;23;1413;1
513;23;1414;1
513;23;1659;1
513;23;3902;1
513;23;1661;1
513;23;1662;1
513;23;1666;1
513;23;1667;1
513;23;1668;1
513;23;3903;1
513;23;1660;1
513;23;3904;1
513;23;3758;1
513;23;3759;1
513;23;3760;1
513;23;4207;1
513;23;4208;1
513;23;2683;1
513;23;2684;1
513;23;4193;1
513;23;3314;1
513;23;4195;1
513;23;3428;1
513;23;3429;1
513;23;3430;1
513;23;2667;1
513;23;2668;1
513;23;2607;1
513;23;2608;1
513;23;3978;1
513;23;3979;1
513;23;3980;1
513;23;2653;1
513;23;2654;1
513;23;1920;1
513;23;1921;1
513;23;1922;1
513;23;1203;1
513;23;1205;1
513;23;1204;1
513;23;4459;1
513;23;4460;1
513;23;4461;1
513;23;3891;1
513;23;3892;1
513;23;1850;1
513;23;335;1
513;23;336;1
513;23;345;1
513;23;346;1
513;23;2361;1
513;23;2362;1
513;23;2365;1
513;23;2366;1
