CID;LID;NID;NAME;NCOMMENT
513;1;1;亚洲;
513;1;2;中国;
513;1;3;四川省;
513;1;4;成都市;
513;1;2570;Ｇ１０８;
513;1;2479;黑竹镇;
513;1;10;成温邛高速公路;
513;1;1056;蒲塘路;
513;1;3889;寿高路;
513;1;3061;东星大道;
513;1;956;新东街;
513;1;957;向新路;
513;1;3879;茶店子村;
513;1;1028;华金大道一段;
513;1;415;蓉都大道;
513;1;2764;三环路;
513;1;1019;熊猫大道;
513;1;3779;蜀陵路;
513;1;3890;大湾村;
513;1;3584;川天路;
513;1;3583;兴川路;
513;1;3585;银杏园路;
513;1;2558;成都绕城高速公路;
513;1;1750;三河大道;
513;1;1751;新都工业大道东段;
513;1;414;金光路;
513;1;1341;沙湾路;
513;1;858;一环路;
513;1;3891;二环路;
513;1;1817;沙湾东二路;
513;1;668;昭觉寺南路;
513;1;705;驷马桥街;
513;1;65;滨江中路;
513;1;3892;人民南路;
513;1;3893;红星路;
513;1;2454;电子路;
513;1;2453;宝光大道南段;
513;1;1152;Ｇ２１３;
513;1;3411;北街;
513;1;3754;锦江大道;
513;1;4102;东街;
513;1;3780;正溪下街;
513;1;3894;东山大道;
513;1;3897;华阳大道（天府大道）;
513;1;3898;华府大道;
513;1;3414;龙应路;
513;1;1037;仁和路;
513;1;440;全兴路;
513;1;3785;白八路;
513;1;1041;天河路;
513;1;3781;恒山北街（国宁街）;
513;1;3850;泰山大道（国宁街）;
513;1;3783;双柏路（高店路西段）;
513;1;2427;南北大道;
513;1;3059;望丛东路（成灌东路）;
513;1;3900;彭温路;
513;1;3604;聚兴路;
513;1;3901;翔凤路（彩虹大道）;
513;1;3902;灌温路（彩虹大道）;
513;1;3602;玉府路;
513;1;300;灌温路;
513;1;3903;彩虹大道;
513;1;302;奎光路;
513;1;1351;建设路;
513;1;1513;猛追湾街;
513;1;429;金牛坝路;
513;1;1136;金府路;
513;1;1554;迎宾大道;
513;1;935;金泉路;
513;1;3179;金粮路（全兴路）;
513;1;3177;科兴北路;
513;1;423;金科北路;
513;1;1559;金周路;
513;1;8;Ｇ３１８;
513;1;944;滨河路;
513;1;945;久隆村;
513;1;1067;干堰塘;
513;1;534;鸥鹏大道;
513;1;535;驿都东路;
513;1;598;日月大道二段;
513;1;600;成飞大道;
513;1;3606;导航路;
513;1;2774;日月大道一段;
513;1;3607;武青北路;
513;1;849;新南路;
513;1;328;临江东路;
513;1;2034;林荫中街;
513;1;2035;龙江路;
513;1;3065;驿都大道;
513;1;3612;八一大路;
513;1;1061;东洪路;
513;1;1062;洪河大道中路;
513;1;3906;银玉路;
513;1;3907;天鹅西湖南路;
513;1;862;驿都大道西路;
513;1;864;长春路;
513;1;868;驿都中路;
513;1;564;成环路;
513;1;427;蜀西路;
513;1;2421;金科东路;
513;1;2054;双桥路;
513;1;1882;双华南路;
513;1;1883;经华北路;
513;1;970;成都绕城高速公路北段;
513;1;1048;成灌高速公路;
513;1;3919;成渝环线高速公路;
513;1;15;成彭高速公路;
513;1;1070;北新大道;
513;1;4118;赵家院子;
513;1;973;成都绕城高速公路东段;
513;1;3083;川西服务区;
513;1;3081;成金青快速通道;
513;1;3082;沪蓉高速公路;
513;1;976;成都绕城高速公路南段;
513;1;3997;接待寺立交桥;
513;1;2131;成龙大道;
513;1;1483;科华南路;
513;1;1282;黄荆路;
513;1;369;机场高速公路;
513;1;979;成都绕城高速公路西段;
513;1;3998;永宁服务区;
513;1;136;中山大道南三段;
513;1;1180;新都大道;
513;1;4002;龙虎村;
513;1;1181;红阳路;
513;1;3861;太平收费站;
