CID;LID;NID;NTRANSLATION
513;2;1;ya zhou
513;3;1;Asia
513;2;2;zhong guo
513;3;2;China
513;2;3;si chuan sheng
513;3;3;SICHUAN
513;2;4;cheng du shi
513;3;4;Chengdu
513;2;8;G318
513;3;8;G318
513;2;10;cheng wen qiong gao su gong lu
513;3;10;Chengwenqiong Hwy
513;2;11;XA19
513;3;11;XA19
513;2;12;XN14
513;3;12;XN14
513;2;15;cheng peng gao su gong lu
513;3;15;Chengpeng Hwy
513;2;17;ba bao jie
513;3;17;Babao St
513;2;18;chang shun xia jie
513;3;18;Changshunxia St
513;2;19;lao dong cheng gen jie
513;3;19;Laodongchenggen St
513;2;20;ba li qiao lu
513;3;20;Baliqiao Rd
513;2;23;ba li zhuang lu
513;3;23;Balizhuang Rd
513;2;25;er xian qiao xi yi xiang
513;3;25;Erxianqiaoxiyi Ln
513;2;34;guang du da dao
513;3;34;Guangdu Blvd
513;2;35;bai si jie
513;3;35;Baisi St
513;2;36;yu dai qiao jie
513;3;36;Yudaiqiao St
513;2;37;gu lou bei yi jie
513;3;37;Guloubeiyi St
513;2;38;bai yi xia jie
513;3;38;Baiyixia St
513;2;41;bei da jie
513;3;41;Beida St
513;2;42;bei dong jie
513;3;42;Beidong St
513;2;44;bei jiao chang xi lu
513;3;44;Beijiaochang West Rd
513;2;46;wu du lu
513;3;46;Wudu Rd
513;2;50;bei zhan dong er lu
513;3;50;Beizhandonger Rd
513;2;56;bei zhan xi er lu
513;3;56;Beizhanxier Rd
513;2;59;bin jiang dong lu
513;3;59;Binjiang East Rd
513;2;62;bin jiang xi lu
513;3;62;Binjiang West Rd
513;2;63;xia nan da jie
513;3;63;Xia'nan Ave
513;2;65;bin jiang zhong lu
513;3;65;Binjiang Middle Rd
513;2;75;hong min lu
513;3;75;Hongmin Rd
513;2;86;cao jin lu
513;3;86;Caojin Rd
513;2;87;qian tong lu
513;3;87;Qiantong Rd
513;2;89;cao shi jie
513;3;89;Caoshi St
513;2;92;cha dian zi dong jie
513;3;92;Chadianzi East St
513;2;93;jian kang xiang
513;3;93;Jiankang Ln
513;2;94;cha dian zi lu
513;3;94;Chadianzi Rd
513;2;96;jin fang yuan xi lu
513;3;96;Jinfangyuan West Rd
513;2;98;cha dian zi xi jie
513;3;98;Chadianzi West St
513;2;99;cha dian zi heng jie
513;3;99;Chadianzi St
513;2;101;cha dian zi zheng jie
513;3;101;Chadianzizheng St
513;2;106;shang ye jie
513;3;106;Shangye St
513;2;114;ying bin lu
513;3;114;Yingbin Rd
513;2;118;er xian qiao dong lu
513;3;118;Erxianqiao East Rd
513;2;136;zhong shan da dao nan san duan
513;3;136;Zhongshan Blvd Nansan Sect
513;2;142;S105
513;3;142;S105
513;2;151;wen chang lu
513;3;151;Wenchang Rd
513;2;167;cheng bei chu kou gao su gong lu
513;3;167;Chengbeichukou Hwy
513;2;171;zou ma jie
513;3;171;Zouma St
513;2;176;chuang ye lu
513;3;176;Chuangye Rd
513;2;177;tian ci ke ji yuan
513;3;177;Tianci Science&Technology Garden
513;2;179;ci tang jie
513;3;179;Citang St
513;2;181;xi yu jie
513;3;181;Xiyu St
513;2;182;da an dong lu
513;3;182;Daan East Rd
513;2;183;tai sheng bei lu
513;3;183;Taisheng North Rd
513;2;185;da an xi lu
513;3;185;Daan West Rd
513;2;188;da an zhong lu
513;3;188;Daan Middle Rd
513;2;193;dong an nan lu
513;3;193;Dongan South Rd
513;2;197;da shi dong lu
513;3;197;Dashi East Rd
513;2;199;jin li zhong lu
513;3;199;Jinli Middle Rd
513;2;200;da shi xi lu
513;3;200;Dashi West Rd
513;2;203;da ye lu
513;3;203;Daye Rd
513;2;204;jin xing lu
513;3;204;Jinxing Rd
513;2;209;dong an bei lu
513;3;209;Dongan North Rd
513;2;214;wu cheng da jie
513;3;214;Wucheng Ave
513;2;215;dong cheng gen nan jie
513;3;215;Dongchenggen South St
513;2;216;jin dun lu
513;3;216;Jindun Rd
513;2;222;yang shi jie
513;3;222;Yangshi St
513;2;227;dong da jie
513;3;227;Dongda St
513;2;229;san sheng jie
513;3;229;Sansheng St
513;2;230;dong da lu
513;3;230;Dongdalu
513;2;231;gu ya po lu
513;3;231;Guyapo Rd
513;2;236;dong hua men jie
513;3;236;Donghuamen St
513;2;238;xi yu long jie
513;3;238;Xiyulong St
513;2;241;ti du jie
513;3;241;Tidu St
513;2;242;dong men jie
513;3;242;Dongmen St
513;2;251;dong yu jie
513;3;251;Dongyu St
513;2;253;shun cheng da jie
513;3;253;Shuncheng Ave
513;2;254;dong zi kou lu
513;3;254;Dongzikou Rd
513;2;257;er huan
513;3;257;2nd Ring
513;2;261;er xian qiao xi lu
513;3;261;Erxianqiao West Rd
513;2;264;fang cao dong jie
513;3;264;Fangcao East St
513;2;266;yu lin nan lu
513;3;266;Yulin South Rd
513;2;268;yong feng lu
513;3;268;Yongfeng Rd
513;2;277;xin yuan da dao
513;3;277;Xinyuan Blvd
513;2;287;er huan lu dong yi duan
513;3;287;2nd Ring Dongyiduan
513;2;295;huo che nan zhan dong lu
513;3;295;Huoche'nanzhan East Rd
513;2;297;gao sheng qiao lu
513;3;297;Gaoshengqiao Rd
513;2;300;guan wen lu
513;3;300;Guanwen Rd
513;2;302;kui guang lu
513;3;302;Kuiguang Rd
513;2;303;guang hua cun jie
513;3;303;Guanghuacun St
513;2;304;qing yang da dao
513;3;304;Qingyang Blvd
513;2;311;rui lian lu
513;3;311;Ruilian Rd
513;2;317;ran deng si lu
513;3;317;Randengsi Rd
513;2;318;guang fu qiao jie
513;3;318;Guangfuqiao St
513;2;319;gao sheng qiao dong lu
513;3;319;Gaoshengqiao East Rd
513;2;322;zong fu lu
513;3;322;Zongfu Rd
513;2;328;lin jiang dong lu
513;3;328;Linjiang East Rd
513;2;333;hong zhao bi jie
513;3;333;Hongzhaobi St
513;2;334;shang nan da jie
513;3;334;Shangnan Ave
513;2;339;hua pai fang jie
513;3;339;Huapaifang St
513;2;342;hua xing lu
513;3;342;Huaxing Rd
513;2;350;zheng bei shang jie
513;3;350;Zhengbeishang St
513;2;360;huai shu jie
513;3;360;Huaishu St
513;2;361;san dong qiao lu
513;3;361;Sandongqiao Rd
513;2;362;chang shun zhong jie
513;3;362;Changshun Middle St
513;2;366;huo che nan zhan xi lu
513;3;366;Huoche'nanzhan West Rd
513;2;369;ji chang gao su gong lu
513;3;369;Jichang Hwy
513;2;391;an rong lu
513;3;391;Anrong Rd
513;2;394;deng long jie
513;3;394;Denglong St
513;2;396;jiang xi jie
513;3;396;Jiangxi St
513;2;397;li min xiang
513;3;397;Limin Ln
513;2;407;si ma qiao lu
513;3;407;Simaqiao Rd
513;2;409;wen weng lu
513;3;409;Wenweng Rd
513;2;414;jin guang lu
513;3;414;Jinguang Rd
513;2;415;rong du da dao
513;3;415;Rongdu Blvd
513;2;416;shu long da dao zhong duan
513;3;416;Shulongdadaozhongduan
513;2;418;xia tong ren lu
513;3;418;Xiatongren Rd
513;2;419;chang shun shang jie
513;3;419;Changshunshang St
513;2;423;jin ke bei lu
513;3;423;Jinke North Rd
513;2;427;shu xi lu
513;3;427;Shuxi Rd
513;2;429;jin niu ba lu
513;3;429;Jinniuba Rd
513;2;435;jin xian qiao lu
513;3;435;Jinxianqiao Rd
513;2;436;shi hui jie
513;3;436;Shihui St
513;2;437;xi ti lu
513;3;437;Xiti Rd
513;2;440;quan xing lu
513;3;440;Quanxing Rd
513;2;441;jin dong lu
513;3;441;Jindong Rd
513;2;446;cui jin dong lu
513;3;446;Cuijin East Rd
513;2;450;jin li dong lu
513;3;450;Jinli East Rd
513;2;453;jin li xi lu
513;3;453;Jinli West Rd
513;2;454;qin tai lu
513;3;454;Qintai Rd
513;2;455;xiao nan jie
513;3;455;Xiaonan St
513;2;459;jin xiu lu
513;3;459;Jinxiu Rd
513;2;460;cheng ke lu
513;3;460;Chengke Rd
513;2;461;ke hua bei lu
513;3;461;Kehua North Rd
513;2;462;jin yang lu
513;3;462;Jinyang Rd
513;2;468;jing an lu
513;3;468;Jing'an Rd
513;2;469;jing ning lu
513;3;469;Jingning Rd
513;2;475;long zhou lu
513;3;475;Longzhou Rd
513;2;489;lao chuan zang lu
513;3;489;Laochuanzang Rd
513;2;492;ling shi guan lu
513;3;492;Lingshiguan Rd
513;2;495;long qing lu
513;3;495;Longqing Rd
513;2;501;long teng dong lu
513;3;501;Longteng East Rd
513;2;502;long xin lu
513;3;502;Longxin Rd
513;2;504;long teng xi lu
513;3;504;Longteng West Rd
513;2;506;long hua bei lu
513;3;506;Longhua North Rd
513;2;507;long teng zhong lu
513;3;507;Longteng Middle Rd
513;2;510;luo guo xiang
513;3;510;Luoguo Ln
513;2;513;ma an bei lu
513;3;513;Maan North Rd
513;2;514;ma an dong lu
513;3;514;Maan East Rd
513;2;516;ma an nan lu
513;3;516;Maan South Rd
513;2;517;xing hui zhong bin he lu
513;3;517;Xinghuizhongbinhe Rd
513;2;519;ma jia hua yuan lu
513;3;519;Majiahuayuan Rd
513;2;525;ni jia qiao lu
513;3;525;Nijiaqiao Rd
513;2;528;ning xia jie
513;3;528;Ningxia St
513;2;532;niu wang miao xiang
513;3;532;Niuwangmiao Ln
513;2;534;ou peng da dao
513;3;534;Oupeng Blvd
513;2;535;yi du dong lu
513;3;535;Yidu East Rd
513;2;539;qing yang shang jie
513;3;539;Qingyangshang St
513;2;540;qing long jie
513;3;540;Qinglong St
513;2;545;tong ji jie
513;3;545;Tongji St
513;2;549;qing yang zheng jie
513;3;549;Qingyangzheng St
513;2;555;qing jiang xi lu
513;3;555;Qingjiang West Rd
513;2;564;cheng huan lu
513;3;564;Chenghuan Rd
513;2;576;xin guang hua jie
513;3;576;Xinguanghua St
513;2;598;ri yue da dao er duan
513;3;598;Riyue Blvd Er Sect
513;2;600;cheng fei da dao
513;3;600;Chengfei Blvd
513;2;631;san huan fu lu
513;3;631;3rd Ring Side Rd
513;2;638;lao hu lin
513;3;638;Laohulin
513;2;643;wen miao hou jie
513;3;643;Wenmiao Back St
513;2;661;xin chuan lu
513;3;661;Xinchuan Rd
513;2;665;ying hui lu
513;3;665;Yinghui Rd
513;2;666;shuang jing lu
513;3;666;Shuangjing Rd
513;2;668;zhao jue si nan lu
513;3;668;Zhaojuesi South Rd
513;2;680;ji jiu lu
513;3;680;Jijiu Rd
513;2;685;wu ke dong san lu
513;3;685;Wukedongsan Rd
513;2;686;wu qing dong san lu
513;3;686;Wuqingdongsan Rd
513;2;702;shun jiang lu
513;3;702;Shunjiang Rd
513;2;705;si ma qiao jie
513;3;705;Simaqiao St
513;2;717;tai sheng nan lu
513;3;717;Taisheng South Rd
513;2;722;shu wa bei er jie
513;3;722;Shuwabeier St
513;2;723;tian feng lu
513;3;723;Tianfeng Rd
513;2;729;tian xian qiao bei lu
513;3;729;Tianxianqiao North Rd
513;2;735;tong ci lu
513;3;735;Tongci Rd
