CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
513;23;1726;;1727
513;23;1727;1726;1728
513;23;1728;1727;1729
513;23;1729;1728;1730
513;23;1730;1729;
513;23;1285;;1286
513;23;1286;1285;1287
513;23;1287;1286;1288
513;23;1288;1287;
513;23;4026;;934
513;23;934;4026;935
513;23;935;934;4057
513;23;4057;935;936
513;23;936;4057;937
513;23;937;936;938
513;23;938;937;939
513;23;939;938;1696
513;23;1696;939;1697
513;23;1697;1696;1698
513;23;1698;1697;1699
513;23;1699;1698;
513;23;763;;764
513;23;764;763;765
513;23;765;764;
513;23;930;;4027
513;23;4027;930;
513;23;624;;623
513;23;623;624;
513;23;3826;;3827
513;23;3827;3826;
513;23;1295;;1296
513;23;1296;1295;1297
513;23;1297;1296;1298
513;23;1298;1297;1299
513;23;1299;1298;1300
513;23;1300;1299;1301
513;23;1301;1300;811
513;23;811;1301;812
513;23;812;811;
513;23;1302;;819
513;23;819;1302;1303
513;23;1303;819;432
513;23;432;1303;1304
513;23;1304;432;4205
513;23;4205;1304;1305
513;23;1305;4205;1306
513;23;1306;1305;1307
513;23;1307;1306;4108
513;23;4108;1307;1309
513;23;1309;4108;4059
513;23;4059;1309;4192
513;23;4192;4059;
513;23;1722;;1721
513;23;1721;1722;
513;23;1827;;1828
513;23;1828;1827;1829
513;23;1829;1828;
513;23;4070;;814
513;23;814;4070;815
513;23;815;814;
513;23;1291;;816
513;23;816;1291;1292
513;23;1292;816;817
513;23;817;1292;818
513;23;818;817;
513;23;1321;;1320
513;23;1320;1321;1319
513;23;1319;1320;
513;23;1710;;1711
513;23;1711;1710;
513;23;4449;;612
513;23;612;4449;1315
513;23;1315;612;
513;23;611;;610
513;23;610;611;609
513;23;609;610;
513;23;478;;479
513;23;479;478;480
513;23;480;479;481
513;23;481;480;
513;23;423;;422
513;23;422;423;421
513;23;421;422;420
513;23;420;421;419
513;23;419;420;1316
513;23;1316;419;
513;23;1701;;1702
513;23;1702;1701;
513;23;1704;;1705
513;23;1705;1704;
513;23;3739;;3740
513;23;3740;3739;3741
513;23;3741;3740;
513;23;1798;;1799
513;23;1799;1798;1800
513;23;1800;1799;1801
513;23;1801;1800;
513;23;1707;;1708
513;23;1708;1707;
513;23;203;2648;204
513;23;204;203;2647
513;23;2647;204;4471
513;23;4471;2647;205
513;23;205;4471;207
513;23;207;205;2649
513;23;2649;207;208
513;23;208;2649;250
513;23;250;208;210
513;23;210;250;2650
513;23;2650;210;249
513;23;249;2650;211
513;23;211;249;212
513;23;212;211;214
513;23;214;212;215
513;23;215;214;2648
513;23;2648;215;203
513;23;93;;86
513;23;86;93;156
513;23;156;86;94
513;23;94;156;95
513;23;95;94;
513;23;113;;114
513;23;114;113;115
513;23;115;114;116
513;23;116;115;117
513;23;117;116;118
513;23;118;117;119
513;23;119;118;120
513;23;120;119;121
513;23;121;120;157
513;23;157;121;70
513;23;70;157;122
513;23;122;70;69
513;23;69;122;128
513;23;128;69;139
513;23;139;128;68
513;23;68;139;
513;23;1055;1083;1056
513;23;1056;1055;1057
513;23;1057;1056;1058
513;23;1058;1057;1059
513;23;1059;1058;1060
513;23;1060;1059;1061
513;23;1061;1060;1062
513;23;1062;1061;1063
513;23;1063;1062;1064
513;23;1064;1063;1065
513;23;1065;1064;1066
513;23;1066;1065;1067
513;23;1067;1066;1068
513;23;1068;1067;1069
513;23;1069;1068;1070
513;23;1070;1069;1071
513;23;1071;1070;1072
513;23;1072;1071;1073
513;23;1073;1072;1074
513;23;1074;1073;1259
513;23;1259;1074;1075
513;23;1075;1259;1076
513;23;1076;1075;1077
513;23;1077;1076;1078
513;23;1078;1077;1079
513;23;1079;1078;1080
513;23;1080;1079;1081
513;23;1081;1080;1082
513;23;1082;1081;1083
513;23;1083;1082;1055
513;23;3845;;3846
513;23;3846;3845;1622
513;23;1622;3846;1623
513;23;1623;1622;1624
513;23;1624;1623;1625
513;23;1625;1624;1626
513;23;1626;1625;
513;23;4079;;1627
513;23;1627;4079;1628
513;23;1628;1627;4080
513;23;4080;1628;
513;23;4024;;4025
513;23;4025;4024;
513;23;982;;983
513;23;983;982;4060
513;23;4060;983;986
513;23;986;4060;4061
513;23;4061;986;4062
513;23;4062;4061;
513;23;3836;;3837
513;23;3837;3836;
513;23;3839;;3840
513;23;3840;3839;1631
513;23;1631;3840;1632
513;23;1632;1631;1637
513;23;1637;1632;1638
513;23;1638;1637;1643
513;23;1643;1638;840
513;23;840;1643;841
513;23;841;840;844
513;23;844;841;845
513;23;845;844;4064
513;23;4064;845;846
513;23;846;4064;847
513;23;847;846;848
513;23;848;847;
513;23;3833;;3834
513;23;3834;3833;
513;23;4067;;1508
513;23;1508;4067;
513;23;2001;;2002
513;23;2002;2001;
513;23;914;;915
513;23;915;914;
513;23;1824;;1825
513;23;1825;1824;
513;23;150;;143
513;23;143;150;144
513;23;144;143;145
513;23;145;144;158
513;23;158;145;146
513;23;146;158;147
513;23;147;146;
513;23;3457;;3458
513;23;3458;3457;
513;23;2207;;2208
513;23;2208;2207;2209
513;23;2209;2208;
513;23;1656;;1657
513;23;1657;1656;1658
513;23;1658;1657;
513;23;1653;;1654
513;23;1654;1653;3781
513;23;3781;1654;3782
513;23;3782;3781;
513;23;3820;;3821
513;23;3821;3820;
513;23;1650;;1651
513;23;1651;1650;3780
513;23;3780;1651;
513;23;2704;;
513;23;788;;787
513;23;787;788;786
513;23;786;787;
513;23;2012;;2013
513;23;2013;2012;2014
513;23;2014;2013;1004
513;23;1004;2014;
513;23;522;;521
513;23;521;522;
513;23;1670;;1718
513;23;1718;1670;1717
513;23;1717;1718;1671
513;23;1671;1717;
513;23;2638;;
513;23;2642;;
513;23;1977;;1978
513;23;1978;1977;
513;23;1413;;1414
513;23;1414;1413;
513;23;3902;;1661
513;23;1661;3902;1662
513;23;1662;1661;
513;23;1667;;1668
513;23;1668;1667;
513;23;1660;;3904
513;23;3904;1660;
513;23;3759;;3760
513;23;3760;3759;4207
513;23;4207;3760;4208
513;23;4208;4207;
513;23;2684;;
513;23;3314;;4195
513;23;4195;3314;
513;23;3429;;3430
513;23;3430;3429;
513;23;2668;;
513;23;2608;;
513;23;3979;;3980
513;23;3980;3979;
513;23;2654;;
513;23;1921;;1922
513;23;1922;1921;
513;23;1205;;1204
513;23;1204;1205;
513;23;4460;;4461
