CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
513;23;1726;P;1;12;;2570;2479;;4;;;1725;1;1;1;1;1;1;;;+10330620;+3021585;0;0
513;23;1727;P;1;10;;2570;1056;;4;;;1725;1;1;1;1;1;1;;;+10337483;+3028753;0;0
513;23;1728;P;1;10;;2570;3889;;4;;;1725;1;1;1;1;1;1;;;+10342338;+3033750;0;0
513;23;1729;P;1;10;;2570;3061;;4;;;1725;1;1;1;1;1;1;;;+10347868;+3040362;0;0
513;23;1730;P;1;3;;2570;10;;4;;;1725;1;1;1;1;1;1;;;+10346507;+3044862;0;0
513;23;1285;P;1;10;;2570;956;;4;;;1284;1;1;1;1;1;1;;;+10417441;+3083115;0;0
513;23;1286;P;1;11;;2570;3879;;4;;;1284;1;1;1;1;1;1;;;+10418905;+3085216;0;0
513;23;1287;P;1;10;;2570;1028;;4;;;1284;1;1;1;1;1;1;;;+10420860;+3088478;0;0
513;23;1288;P;1;10;;2570;957;;4;;;1284;1;1;1;1;1;1;;;+10422767;+3091079;0;0
513;23;4026;P;1;7;;415;2764;;4;;;1695;1;1;1;1;1;1;;;+10410542;+3071885;0;0
513;23;934;P;1;10;;415;1019;;4;;;1695;1;1;1;1;1;1;;;+10410793;+3072554;0;0
513;23;935;P;1;10;;415;3779;;4;;;1695;1;1;1;1;1;1;;;+10410928;+3072892;0;0
513;23;4057;P;1;10;;415;3890;;4;;;1695;1;1;1;1;1;1;;;+10411260;+3073850;0;0
513;23;936;P;1;10;;415;3584;;4;;;1695;1;1;1;1;1;1;;;+10411457;+3074804;0;0
513;23;937;P;1;10;;415;3583;;4;;;1695;1;1;1;1;1;1;;;+10411618;+3075526;0;0
