CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
513;23;1725;L;1;2;G108;2570;2479;10;4;
513;23;1284;L;1;2;G108;2570;956;957;4;
513;23;1695;L;1;2;G108;415;2764;956;4;
513;23;762;L;1;4;;1341;858;3891;4;
513;23;929;L;1;4;G108;668;705;2764;4;
513;23;622;L;1;4;;65;3892;3893;4;
513;23;3825;L;1;4;;2454;2453;415;4;
513;23;430;L;1;2;G213;1152;3411;3754;4;
513;23;431;L;1;2;G213;1152;440;3785;4;
513;23;1723;L;1;2;G213;300;3903;302;4;
513;23;1826;L;1;4;;1351;1513;3891;4;
513;23;1293;L;1;2;G213;429;1136;1554;4;
513;23;1289;L;1;2;G213;935;1554;3179;4;
513;23;1318;L;1;2;G318;8;944;945;4;
513;23;1709;L;1;2;G318;534;535;944;4;
513;23;608;L;1;2;G318;598;10;600;4;
513;23;1314;L;1;2;G318;2774;600;2764;4;
513;23;477;L;1;4;;849;858;328;4;
513;23;418;L;1;2;G318;3065;2764;3612;4;
513;23;1700;L;1;2;G318;862;3612;864;4;
513;23;1703;L;1;2;G318;868;864;564;4;
513;23;3738;L;1;4;;1554;427;429;4;
513;23;1797;L;1;4;;2054;858;3891;4;
513;23;1706;L;1;2;G321;535;564;534;4;
513;23;201;L;2;1;G4201;2558;;;4;
513;23;92;L;1;1;G93;3919;2558;136;4;
513;23;67;L;1;1;G93;3919;3861;176;4;
513;23;1050;L;2;2;;858;;;4;
513;23;1620;L;1;3;S103;3916;2460;3171;4;
513;23;4078;L;1;3;S103;3427;3171;176;4;
513;23;4023;L;1;3;S105;142;3920;3471;4;
513;23;981;L;1;3;S105;3613;254;2558;4;
513;23;3835;L;1;3;S107;2456;489;3615;4;
513;23;4065;L;1;3;S107;3615;2456;2764;4;
513;23;3832;L;1;3;S107;489;3926;2456;4;
513;23;1506;L;1;4;;459;2232;461;4;
513;23;2000;L;1;4;;2212;2863;2211;4;
513;23;913;L;1;4;;41;42;188;4;
513;23;1823;L;1;4;;1406;3912;3911;4;
513;23;142;L;1;1;S8;3525;3919;10;4;
513;23;3456;L;1;4;X057;799;798;3914;4;
513;23;2206;L;1;4;X072;2229;3892;1409;4;
513;23;1655;L;1;4;XA01;564;2490;3868;4;
513;23;1652;L;1;4;XA19;11;12;3930;4;
513;23;3819;L;1;4;XA37;1823;2451;3931;4;
513;23;1649;L;1;4;XN14;12;15;2430;4;
513;23;2703;L;7;0;;;3570;2759;4;
513;23;785;L;1;4;;17;18;19;4;
513;23;1002;L;1;4;;20;3891;2764;4;
513;23;520;L;1;4;;23;3911;25;4;
513;23;1719;L;1;4;;3616;3932;34;4;
513;23;2637;L;7;0;;;3232;2759;4;
513;23;2641;L;7;0;;;3463;2759;4;
513;23;1976;L;1;4;;2202;756;2203;4;
513;23;1412;L;1;4;;35;36;37;4;
513;23;1659;L;1;4;;2490;3415;564;4;
513;23;1666;L;1;4;;38;3935;3922;4;
513;23;3903;L;1;4;;2536;3922;3415;4;
513;23;3758;L;1;4;;2416;2425;3810;4;
513;23;2683;L;7;0;;;3370;2761;4;
513;23;4193;L;1;4;;2294;858;3788;4;
513;23;3428;L;1;4;;2322;858;2323;4;
513;23;2667;L;7;0;;;3360;2761;4;
513;23;2607;L;7;0;;;3733;2761;4;
513;23;3978;L;1;4;;2326;2325;858;4;
513;23;2653;L;7;0;;;3248;2759;4;
513;23;1920;L;1;4;;42;89;2185;4;
513;23;1203;L;1;4;;44;3914;46;4;
513;23;4459;L;1;4;;4107;4108;4109;4;
513;23;3891;L;1;4;;2528;3069;3908;4;
513;23;335;L;7;0;;;1070;2564;4;
513;23;345;L;7;0;;;1070;2553;4;
513;23;2361;L;7;0;;;1070;2764;4;
513;23;2365;L;7;0;;;1070;2759;4;
513;23;2363;L;7;0;;;1070;2761;4;
513;23;956;L;1;4;;1070;2764;3645;4;
513;23;347;L;7;0;;;2634;2558;4;
513;23;353;L;7;0;;;2634;2591;4;
513;23;349;L;7;0;;;2634;2587;4;
513;23;351;L;7;0;;;2634;2589;4;
513;23;367;L;7;0;;;2648;2604;4;
513;23;373;L;7;0;;;2648;2608;4;
513;23;343;L;7;0;;;2621;2553;4;
513;23;357;L;7;0;;;2642;2558;4;
513;23;359;L;7;0;;;2642;2591;4;
513;23;363;L;7;0;;;2642;2587;4;
513;23;361;L;7;0;;;2642;2589;4;
513;23;381;L;7;0;;;2653;2604;4;
513;23;375;L;7;0;;;2653;2608;4;
513;23;2469;L;7;0;;;2848;2759;4;
513;23;998;L;1;4;;2848;858;2764;4;
513;23;1973;L;1;4;;2201;858;3891;4;
513;23;941;L;1;3;;56;858;3891;4;
513;23;1983;L;1;4;;2204;858;2205;4;
513;23;3914;L;1;4;;1665;2764;304;4;
513;23;618;L;1;4;;59;3893;858;4;
513;23;625;L;1;4;;62;63;3892;4;
513;23;1250;L;1;4;;86;87;3073;4;
513;23;3631;L;1;4;;86;1698;3075;4;
513;23;4438;L;1;4;;3937;3615;1698;4;
513;23;4097;L;1;4;;3706;3705;87;4;
513;23;909;L;1;4;;89;3914;42;4;
513;23;3438;L;1;4;;1656;1373;3908;4;
513;23;3313;L;1;4;;2502;3788;2295;4;
513;23;1524;L;1;4;;92;93;94;4;
513;23;3521;L;1;4;;99;1843;98;4;
513;23;806;L;1;4;;94;92;1136;4;
513;23;1518;L;1;4;;98;99;1136;4;
513;23;1521;L;1;4;;101;99;92;4;
513;23;4378;L;1;4;;3939;3161;3899;4;
513;23;2210;L;1;4;;1409;1362;1360;4;
513;23;2043;L;1;4;;1482;295;2229;4;
513;23;1216;L;1;4;;419;3908;106;4;
513;23;1209;L;1;4;;18;242;17;4;
513;23;1213;L;1;4;;362;106;242;4;
513;23;2187;L;1;4;;2261;1501;2262;4;
513;23;3812;L;1;4;;3645;3940;3941;4;
513;23;3816;L;1;4;;3851;3645;1823;4;
513;23;355;L;7;0;;;2558;2634;4;
513;23;365;L;7;0;;;2558;2642;4;
513;23;2347;L;7;0;;;2558;2274;4;
513;23;299;L;7;0;;;2558;3586;4;
513;23;309;L;7;0;;;2558;2596;4;
513;23;327;L;7;0;;;2564;1070;4;
513;23;333;L;7;0;;;2564;2625;4;
513;23;329;L;7;0;;;2564;2621;4;
513;23;331;L;7;0;;;2564;2623;4;
513;23;2761;L;7;0;;;2564;3483;4;
513;23;2763;L;7;0;;;2564;3491;4;
513;23;2741;L;7;0;;;2564;2131;4;
513;23;2743;L;7;0;;;2564;3478;4;
513;23;2781;L;7;0;;;2564;3472;4;
513;23;261;L;7;0;;;2564;3082;4;
513;23;263;L;7;0;;;2564;3087;4;
513;23;267;L;7;0;;;2564;3089;4;
513;23;265;L;7;0;;;2564;3091;4;
513;23;2319;L;7;0;;;2564;3039;4;
513;23;2321;L;7;0;;;2564;2725;4;
513;23;2353;L;7;0;;;2564;2274;4;
513;23;2335;L;7;0;;;2564;3080;4;
513;23;2337;L;7;0;;;2564;3094;4;
513;23;2339;L;7;0;;;2564;3098;4;
513;23;385;L;7;0;;;2564;3676;4;
513;23;387;L;7;0;;;2564;3678;4;
513;23;271;L;7;0;;;2564;415;4;
513;23;277;L;7;0;;;2564;3650;4;
513;23;273;L;7;0;;;2564;3595;4;
513;23;275;L;7;0;;;2564;3652;4;
513;23;2265;L;7;0;;;2564;1698;4;
513;23;2277;L;7;0;;;2564;3023;4;
513;23;2279;L;7;0;;;2564;3027;4;
513;23;2281;L;7;0;;;2564;3022;4;
513;23;2757;L;7;0;;;3488;3081;4;
513;23;369;L;7;0;;;2604;2648;4;
513;23;379;L;7;0;;;2604;2653;4;
513;23;311;L;7;0;;;2604;2609;4;
513;23;323;L;7;0;;;2604;3600;4;
513;23;2309;L;7;0;;;2604;2716;4;
513;23;2299;L;7;0;;;2604;2713;4;
513;23;285;L;7;0;;;2553;2574;4;
513;23;337;L;7;0;;;2553;1070;4;
513;23;339;L;7;0;;;2553;2625;4;
513;23;341;L;7;0;;;2553;2623;4;
513;23;391;L;7;0;;;2553;1048;4;
513;23;393;L;7;0;;;2553;2670;4;
513;23;395;L;7;0;;;2553;2671;4;
513;23;2759;L;7;0;;;2553;3081;4;
513;23;2745;L;7;0;;;2553;2131;4;
513;23;251;L;7;0;;;2553;3082;4;
513;23;253;L;7;0;;;2553;3089;4;
513;23;255;L;7;0;;;2553;3091;4;
513;23;2313;L;7;0;;;2553;369;4;
513;23;2315;L;7;0;;;2553;2725;4;
513;23;2345;L;7;0;;;2553;2274;4;
513;23;2325;L;7;0;;;2553;3080;4;
513;23;2327;L;7;0;;;2553;3096;4;
513;23;2329;L;7;0;;;2553;3098;4;
513;23;281;L;7;0;;;2553;415;4;
513;23;283;L;7;0;;;2553;3650;4;
513;23;2289;L;7;0;;;2553;2694;4;
513;23;2275;L;7;0;;;2553;2704;4;
513;23;2293;L;7;0;;;2553;2690;4;
513;23;2287;L;7;0;;;2553;3015;4;
513;23;2291;L;7;0;;;2553;2692;4;
513;23;2765;L;7;0;;;3486;3081;4;
513;23;2773;L;7;0;;;3538;2131;4;
513;23;371;L;7;0;;;2608;2648;4;
513;23;377;L;7;0;;;2608;2653;4;
513;23;2767;L;7;0;;;2608;2131;4;
513;23;2769;L;7;0;;;2608;3534;4;
513;23;315;L;7;0;;;2608;2609;4;
513;23;321;L;7;0;;;2608;3600;4;
513;23;2303;L;7;0;;;2608;2716;4;
513;23;2305;L;7;0;;;2608;2713;4;
513;23;2771;L;7;0;;;3536;2131;4;
513;23;399;L;7;0;;;1048;2553;4;
513;23;51;L;1;1;S9;1048;114;2558;4;
513;23;397;L;7;0;;;2673;2553;4;
513;23;2693;L;7;0;;;2266;2759;4;
513;23;4261;L;1;4;;2266;3380;2267;4;
513;23;4254;L;1;4;;3823;3717;3942;4;
513;23;2695;L;7;0;;;3380;2761;4;
513;23;4258;L;1;4;;3380;3942;2266;4;
513;23;4358;L;1;4;;3848;2764;3847;4;
513;23;2783;L;7;0;;;3913;2759;4;
513;23;2807;L;7;0;;;3913;2761;4;
