CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
513;23;202;L;3;0;;970;1048;3919;201;;4
513;23;206;L;3;0;;973;3919;3083;201;;4
513;23;209;L;3;0;;976;3083;3997;201;;4
513;23;213;L;3;0;;979;3997;1048;201;;4
513;23;1051;L;3;0;;1006;339;3912;1050;;4
513;23;1052;L;3;0;;1009;3912;1011;1050;;4
513;23;1054;L;3;0;;1012;1011;1014;1050;;4
513;23;1053;L;3;0;;1015;1014;339;1050;;4
513;23;4335;L;3;0;;1766;3842;3914;4341;;4
513;23;4338;L;3;0;;1766;3843;342;4341;;4
513;23;1006;L;3;0;;967;3156;969;1005;;4
513;23;1009;L;3;0;;958;969;960;1005;;4
513;23;1008;L;3;0;;961;960;963;1005;;4
513;23;1007;L;3;0;;964;963;3156;1005;;4
513;23;3295;L;3;0;;2290;2289;4115;4469;;4
513;23;3301;L;3;0;;2290;2291;2292;4469;;4
513;23;666;L;3;0;;982;429;3913;665;;4
513;23;673;L;3;0;;985;3913;469;665;;4
513;23;674;L;3;0;;988;469;3929;665;;4
513;23;675;L;3;0;;991;3929;429;665;;4
513;23;218;L;3;0;;994;427;3913;217;;4
513;23;226;L;3;0;;997;3913;2131;217;;4
513;23;232;L;3;0;;1000;2131;1369;217;;4
513;23;239;L;3;0;;1003;1369;427;217;;4
513;23;1675;L;3;0;;3161;3916;2384;3649;;4
513;23;3650;L;3;0;;3161;2385;3957;3649;;4
513;23;1590;L;3;0;;3607;3073;3702;4206;;4
513;23;4102;L;3;0;;3607;2774;2903;4206;;4
513;23;1512;L;3;0;;859;1844;391;4470;;4
513;23;4229;L;3;0;;859;94;2863;4470;;4
513;23;1782;L;3;0;;2145;2144;3809;1781;;4
513;23;1785;L;3;0;;2145;441;2148;1781;;4
