CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
513;23;202;213;206
513;23;206;202;209
513;23;209;206;213
513;23;213;209;202
513;23;1051;1053;1052
513;23;1052;1051;1054
513;23;1054;1052;1053
513;23;1053;1054;1051
513;23;4335;;4338
513;23;4338;4335;
513;23;1006;1007;1009
513;23;1009;1006;1008
513;23;1008;1009;1007
513;23;1007;1008;1006
513;23;3295;;3301
513;23;3301;3295;
513;23;666;675;673
513;23;673;666;674
513;23;674;673;675
513;23;675;674;666
513;23;218;239;226
513;23;226;218;232
513;23;232;226;239
513;23;239;232;218
513;23;1675;;3650
513;23;3650;1675;
513;23;1590;;4102
513;23;4102;1590;
513;23;1512;;4229
513;23;4229;1512;
513;23;1782;;1785
513;23;1785;1782;
