CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
514;24;1;A;1;0;77448;
514;24;2;A;3;0;77449;1
514;24;1414;A;7;0;78838;2
514;24;2675;A;8;0;63203;1414
514;24;2676;A;8;0;63213;1414
514;24;2668;A;8;0;63108;1414
514;24;5;A;8;0;76255;1414
514;24;2669;A;8;0;63126;1414
514;24;2673;A;8;0;63175;1414
514;24;2672;A;8;0;63163;1414
514;24;3;A;8;0;40272;1414
514;24;2677;A;8;0;63223;1414
514;24;2671;A;8;0;63149;1414
514;24;2678;A;8;0;18868;1414
514;24;2667;A;8;0;5919;1414
514;24;2670;A;8;0;63139;1414
514;24;2674;A;8;0;63183;1414
