CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
514;24;6408;514;24;6415
514;24;6415;514;24;6498
514;24;6498;514;24;6408
514;24;6416;514;24;7404
514;24;7404;514;24;6416
514;24;7430;514;24;7432
514;24;7432;514;24;7430
514;24;6417;514;24;6623
514;24;6623;514;24;6417
514;24;6418;514;24;6445
514;24;6445;514;24;6710
514;24;6710;514;24;6418
514;24;7271;514;24;7389
514;24;7389;514;24;7271
514;24;6101;514;24;6908
514;24;6908;514;24;7378
514;24;7378;514;24;6101
514;24;6064;514;24;6410
514;24;6410;514;24;6064
514;24;6476;514;24;7390
514;24;7390;514;24;6476
514;24;2058;514;24;2082
514;24;2082;514;24;2058
514;24;2083;514;24;2093
514;24;2093;514;24;2083
514;24;2084;514;24;2121
514;24;2121;514;24;2084
514;24;2085;514;24;2116
514;24;2116;514;24;2085
514;24;6108;514;24;6116
514;24;6116;514;24;6121
514;24;6121;514;24;6108
514;24;6067;514;24;6076
514;24;6076;514;24;6067
514;24;6073;514;24;6088
514;24;6088;514;24;6073
514;24;6056;514;24;6071
514;24;6071;514;24;6086
514;24;6086;514;24;6056
514;24;41;514;24;1373
514;24;1373;514;24;2681
514;24;2681;514;24;41
514;24;2454;514;24;2462
514;24;2462;514;24;2454
514;24;2466;514;24;2482
514;24;2482;514;24;2466
514;24;2470;514;24;2484
514;24;2484;514;24;2470
514;24;2472;514;24;2474
514;24;2474;514;24;2483
514;24;2483;514;24;2472
514;24;2522;514;24;2526
514;24;2526;514;24;2522
514;24;1392;514;24;1505
514;24;1505;514;24;1392
514;24;1393;514;24;2184
514;24;2184;514;24;1393
514;24;1396;514;24;1407
514;24;1407;514;24;1396
514;24;260;514;24;1397
514;24;1397;514;24;260
514;24;288;514;24;1398
514;24;1398;514;24;288
514;24;12;514;24;45
514;24;45;514;24;2932
514;24;2932;514;24;12
514;24;13;514;24;254
514;24;254;514;24;13
514;24;30;514;24;286
514;24;286;514;24;2788
514;24;2788;514;24;30
514;24;32;514;24;319
514;24;319;514;24;32
514;24;33;514;24;225
514;24;225;514;24;33
514;24;1402;514;24;1488
514;24;1488;514;24;1402
514;24;12421;514;24;12551
514;24;12551;514;24;12957
514;24;12957;514;24;12421
514;24;127;514;24;814
514;24;814;514;24;891
514;24;891;514;24;127
514;24;122;514;24;1922
514;24;1922;514;24;122
514;24;121;514;24;1003
514;24;1003;514;24;121
514;24;63;514;24;112
514;24;112;514;24;120
514;24;120;514;24;2945
514;24;2945;514;24;2950
514;24;2950;514;24;2960
514;24;2960;514;24;63
514;24;12552;514;24;12667
514;24;12667;514;24;12552
514;24;12493;514;24;12554
514;24;12554;514;24;12493
514;24;12555;514;24;13117
514;24;13117;514;24;12555
514;24;12546;514;24;12556
514;24;12556;514;24;12546
514;24;1287;514;24;1291
514;24;1291;514;24;1287
514;24;1529;514;24;1809
514;24;1809;514;24;1529
514;24;55;514;24;57
514;24;57;514;24;1012
514;24;1012;514;24;1298
514;24;1298;514;24;55
514;24;21886;514;24;21922
514;24;21922;514;24;21886
514;24;21610;514;24;21887
514;24;21887;514;24;21610
514;24;21639;514;24;21888
514;24;21888;514;24;21891
514;24;21891;514;24;21639
514;24;21889;514;24;21932
514;24;21932;514;24;21889
514;24;2780;514;24;2814
514;24;2814;514;24;2780
514;24;245;514;24;436
514;24;436;514;24;2816
514;24;2816;514;24;245
514;24;6426;514;24;7109
514;24;7109;514;24;7388
514;24;7388;514;24;6426
514;24;7040;514;24;7110
514;24;7110;514;24;7040
514;24;6812;514;24;7111
514;24;7111;514;24;6812
514;24;6653;514;24;7112
514;24;7112;514;24;6653
514;24;12110;514;24;12410
514;24;12410;514;24;12110
514;24;12084;514;24;12403
514;24;12403;514;24;12412
514;24;12412;514;24;12084
514;24;12415;514;24;12417
514;24;12417;514;24;12622
514;24;12622;514;24;12415
514;24;12406;514;24;12839
514;24;12839;514;24;12406
514;24;12418;514;24;12846
514;24;12846;514;24;13281
514;24;13281;514;24;12418
514;24;12413;514;24;12442
514;24;12442;514;24;12413
514;24;12414;514;24;13068
514;24;13068;514;24;12414
514;24;6581;514;24;6637
514;24;6637;514;24;6850
514;24;6850;514;24;6581
514;24;6851;514;24;7264
514;24;7264;514;24;6851
514;24;6959;514;24;7070
514;24;7070;514;24;6959
514;24;6844;514;24;6852
514;24;6852;514;24;6844
514;24;6853;514;24;7304
514;24;7304;514;24;6853
514;24;6507;514;24;6854
514;24;6854;514;24;6507
514;24;21457;514;24;21766
514;24;21766;514;24;21457
514;24;21767;514;24;21771
514;24;21771;514;24;21767
514;24;21768;514;24;21847
514;24;21847;514;24;21768
514;24;21625;514;24;21769
514;24;21769;514;24;21625
514;24;21450;514;24;21729
514;24;21729;514;24;21450
514;24;21705;514;24;21730
514;24;21730;514;24;21705
514;24;21711;514;24;21731
514;24;21731;514;24;21711
514;24;21717;514;24;21732
514;24;21732;514;24;21717
514;24;21733;514;24;21739
514;24;21739;514;24;21733
514;24;21734;514;24;21744
514;24;21744;514;24;21734
514;24;21525;514;24;21735
514;24;21735;514;24;21525
514;24;21584;514;24;21736
514;24;21736;514;24;21584
514;24;683;514;24;723
514;24;723;514;24;683
514;24;719;514;24;724
514;24;724;514;24;719
514;24;168;514;24;387
514;24;387;514;24;658
514;24;658;514;24;726
514;24;726;514;24;168
514;24;1422;514;24;1448
514;24;1448;514;24;2686
514;24;2686;514;24;1422
514;24;1423;514;24;1506
