CID;LID;NID;NTRANSLATION
514;2;77448;ya zhou
514;3;77448;Asia
514;2;77449;zhong guo
514;3;77449;China
514;2;78838;shan dong sheng
514;3;78838;SHANDONG
514;2;63203;bin zhou shi
514;3;63203;Binzhou
514;2;63213;de zhou shi
514;3;63213;Dezhou
514;2;63108;he ze shi
514;3;63108;Heze
514;2;76255;ji nan shi
514;3;76255;Ji'nan
514;2;63126;ji ning shi
514;3;63126;Jining
514;2;63175;lai wu shi
514;3;63175;Laiwu
514;2;63163;lin yi shi
514;3;63163;Linyi
514;2;40272;qing dao shi
514;3;40272;Qingdao
514;2;63223;ri zhao shi
514;3;63223;Rizhao
514;2;63149;tai an shi
514;3;63149;Taian
514;2;18868;wei hai shi
514;3;18868;Weihai
514;2;5919;yan tai shi
514;3;5919;Yantai
514;2;63139;zao zhuang shi
514;3;63139;Zaozhuang
514;2;63183;zi bo shi
514;3;63183;Zibo
514;2;76378;ji wei lu
514;3;76378;Jiwei Rd
514;2;76306;er huan nan lu
514;3;76306;2nd Ring South Rd
514;2;77382;nan xin zhuang xi lu
514;3;77382;Nanxinzhuang West Rd
514;2;76532;ji yi xi chang lu
514;3;76532;Jiyixichang Rd
514;2;76332;jing shi lu
514;3;76332;Jingshi Rd
514;2;76533;ji chuang er chang lu
514;3;76533;Jichuangerchang Rd
514;2;76298;G104 ji nan duan
514;3;76298;G104 Ji'nan Sect
514;2;76261;da xue lu
514;3;76261;Daxue Rd
514;2;76282;G220
514;3;76282;G220
514;2;77383;jing tai gao su gong lu
514;3;77383;Jingtai Hwy
514;2;80080;zhong qi lu
514;3;80080;Zhongqi Rd
514;2;80053;er huan dong gao jia lu
514;3;80053;2nd Ring East Viad
514;2;79548;ji guang gao su gong lu
514;3;79548;Jiguang Hwy
514;2;62553;qing lan gao su gong lu
514;3;62553;Qinglan Hwy
514;2;41871;qing dao qian wan gang 1 hao shu gang gao su gong lu
514;3;41871;Qingdaoqianwan'gangyihaoshugang Hwy
