CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
514;24;6415;;6416
514;24;6416;6415;7430
514;24;7430;6416;
514;24;7432;;6417
514;24;6417;7432;6418
514;24;6418;6417;
514;24;7389;;6406
514;24;6406;7389;6407
514;24;6407;6406;6408
514;24;6408;6407;
514;24;7378;;6410
514;24;6410;7378;7390
514;24;7390;6410;
514;24;2686;;1423
514;24;1423;2686;1424
514;24;1424;1423;1425
514;24;1425;1424;46
514;24;46;1425;47
514;24;47;46;
514;24;6116;;6080
514;24;6080;6116;
514;24;6126;;6113
514;24;6113;6126;6114
514;24;6114;6113;6115
514;24;6115;6114;6104
514;24;6104;6115;6105
514;24;6105;6104;6106
514;24;6106;6105;6107
514;24;6107;6106;6121
514;24;6121;6107;6076
514;24;6076;6121;6075
514;24;6075;6076;6074
514;24;6074;6075;6073
514;24;6073;6074;6098
514;24;6098;6073;6071
514;24;6071;6098;
514;24;2681;;40
514;24;40;2681;39
514;24;39;40;2529
514;24;2529;39;2462
514;24;2462;2529;2463
514;24;2463;2462;2464
514;24;2464;2463;2465
514;24;2465;2464;2466
514;24;2466;2465;2467
514;24;2467;2466;2468
514;24;2468;2467;2469
514;24;2469;2468;2470
514;24;2470;2469;2471
514;24;2471;2470;2472
514;24;2472;2471;
514;24;1388;;1389
514;24;1389;1388;1390
514;24;1390;1389;2522
514;24;2522;1390;2523
514;24;2523;2522;2524
514;24;2524;2523;1391
514;24;1391;2524;1392
514;24;1392;1391;1393
514;24;1393;1392;1394
514;24;1394;1393;1395
514;24;1395;1394;1396
514;24;1396;1395;1397
514;24;1397;1396;1398
514;24;1398;1397;1399
514;24;1399;1398;12
514;24;12;1399;13
514;24;13;12;29
514;24;29;13;30
514;24;30;29;2039
514;24;2039;30;2040
514;24;2040;2039;32
514;24;32;2040;33
514;24;33;32;2655
514;24;2655;33;1400
514;24;1400;2655;1401
514;24;1401;1400;1402
514;24;1402;1401;
514;24;12420;;12421
514;24;12421;12420;
514;24;12551;;12552
514;24;12552;12551;12553
514;24;12553;12552;12554
514;24;12554;12553;12555
514;24;12555;12554;12404
514;24;12404;12555;12556
514;24;12556;12404;
514;24;2813;;2814
514;24;2814;2813;2815
514;24;2815;2814;2816
514;24;2816;2815;
514;24;13270;;12409
514;24;12409;13270;12410
514;24;12410;12409;
514;24;12402;;12403
514;24;12403;12402;
514;24;12417;;12406
514;24;12406;12417;12418
514;24;12418;12406;
514;24;12412;;13146
514;24;13146;12412;13147
514;24;13147;13146;13148
514;24;13148;13147;12413
514;24;12413;13148;12414
514;24;12414;12413;12415
514;24;12415;12414;
514;24;6903;;6904
514;24;6904;6903;6444
514;24;6444;6904;6419
514;24;6419;6444;6445
514;24;6445;6419;6446
514;24;6446;6445;6447
514;24;6447;6446;7383
514;24;7383;6447;6448
514;24;6448;7383;6449
514;24;6449;6448;6450
514;24;6450;6449;6451
514;24;6451;6450;6906
514;24;6906;6451;6452
514;24;6452;6906;7384
514;24;7384;6452;6453
514;24;6453;7384;6454
514;24;6454;6453;6455
514;24;6455;6454;6456
514;24;6456;6455;6411
514;24;6411;6456;6457
514;24;6457;6411;7385
514;24;7385;6457;7386
514;24;7386;7385;7387
514;24;7387;7386;6458
514;24;6458;7387;7388
514;24;7388;6458;6459
514;24;6459;7388;6460
514;24;6460;6459;6461
514;24;6461;6460;
514;24;6902;;7434
514;24;7434;6902;
514;24;1338;;1337
514;24;1337;1338;1336
514;24;1336;1337;1334
514;24;1334;1336;1333
514;24;1333;1334;2709
514;24;2709;1333;2710
514;24;2710;2709;
514;24;2041;;27
514;24;27;2041;2845
514;24;2845;27;
514;24;2844;;2712
