CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
514;24;6415;P;1;10;;76378;76306;;5;;;6414;1;1;1;1;1;1;;;+11695641;+3661239;0;1
514;24;6416;P;1;10;;76378;76532;;5;;;6414;1;1;1;1;1;1;;;+11696027;+3663236;0;1
514;24;7430;P;1;12;;76378;77382;;5;;;6414;1;1;1;1;1;1;;;+11696078;+3664103;0;1
514;24;7432;P;1;12;;77382;76378;;5;;;7431;1;1;1;1;1;1;;;+11696078;+3664103;0;1
514;24;6417;P;1;10;;77382;76533;;5;;;7431;1;1;1;1;1;1;;;+11696025;+3664398;0;1
514;24;6418;P;1;10;;77382;76332;;5;;;7431;1;1;1;1;1;1;;;+11696050;+3664899;0;1
514;24;7389;P;1;10;;76298;76261;;5;;6402;;1;1;1;1;1;1;;;+11685166;+3654986;0;0
514;24;6406;P;1;3;;76298;77383;;5;;6402;;1;1;1;1;1;1;;;+11685620;+3655812;0;0
514;24;6407;P;1;10;;76298;80080;;5;;6402;;1;1;1;1;1;1;;;+11691859;+3658686;0;0
514;24;6408;P;1;10;;76298;76306;;5;;6402;;1;1;1;1;1;1;;;+11695641;+3661239;7378;1
514;24;7378;P;1;3;;76298;80053;;5;;6409;;1;1;1;1;1;1;;;+11704341;+3672428;6408;1
514;24;6410;P;1;3;;76298;79548;;5;;6409;;1;1;1;1;1;1;;;+11704207;+3672787;0;0
514;24;7390;P;1;10;;76298;76282;;5;;6409;;1;1;1;1;1;1;;;+11703044;+3678123;0;0
514;24;2686;P;1;1;;62553;41871;;3;;;35;1;1;1;1;1;1;;;+12011492;+3607359;0;0
514;24;1423;P;1;3;;62553;40054;;3;;;35;1;1;1;1;1;1;;;+12007159;+3608962;0;0
514;24;1424;P;1;3;;62553;40086;;3;;;35;1;1;1;1;1;1;;;+12007688;+3622476;0;0
514;24;1425;P;1;3;;62553;41908;;3;;;35;1;1;1;1;1;1;;;+12016339;+3624104;0;0
514;24;46;P;1;3;;62553;41876;;3;;;35;1;1;1;1;1;1;;;+12025836;+3623304;0;0
514;24;47;P;1;1;;62553;41862;;3;;;35;1;1;1;1;1;1;;;+12035581;+3623555;0;1
514;24;6116;P;1;1;;76270;77471;;5;;;6077;1;1;1;1;1;1;;;+11720491;+3680674;0;0
514;24;6080;P;1;3;;76270;80046;;5;;;6077;1;1;1;1;1;1;;;+11720545;+3684267;0;0
514;24;6126;P;1;3;;79533;80112;;5;;;6111;1;1;1;1;1;1;;;+11677580;+3675232;0;0
514;24;6113;P;1;1;;79533;77383;;5;;;6111;1;1;1;1;1;1;;;+11681339;+3677273;0;0
514;24;6114;P;1;3;;79533;76307;;5;;;6111;1;1;1;1;1;1;;;+11685537;+3679413;0;0
514;24;6115;P;1;1;;79533;77471;;5;;;6111;1;1;1;1;1;1;;;+11695174;+3684226;0;0
514;24;6104;P;1;3;;79533;79530;;5;;;6111;1;1;1;1;1;1;;;+11700903;+3684174;0;0
514;24;6105;P;3;3;;79533;76520;;5;;;6111;1;1;1;1;1;1;;;+11705808;+3684406;0;0
514;24;6106;P;1;3;;79533;76282;;5;;;6111;1;1;1;1;1;1;;;+11711576;+3684266;0;0
514;24;6107;P;1;3;;79533;76444;;5;;;6111;1;1;1;1;1;1;;;+11718243;+3681573;0;0
514;24;6121;P;1;1;;79533;76270;;5;;;6111;1;1;1;1;1;1;;;+11720491;+3680674;0;0
514;24;6076;P;1;1;;79533;79548;;5;;;6111;1;1;1;1;1;1;;;+11720000;+3676776;0;0
514;24;6075;P;1;3;;79533;76400;;5;;;6111;1;1;1;1;1;1;;;+11721098;+3672759;0;0
514;24;6074;P;1;3;;79533;77385;;5;;;6111;1;1;1;1;1;1;;;+11721273;+3667831;0;0
514;24;6073;P;1;1;;79533;79483;;5;;;6111;1;1;1;1;1;1;;;+11717981;+3662730;0;0
514;24;6098;P;1;3;;79533;76273;;5;;;6111;1;1;1;1;1;1;;;+11698869;+3655292;0;0
514;24;6071;P;1;1;;79533;80042;;5;;;6111;1;1;1;1;1;1;;;+11686538;+3657973;0;0
514;24;2681;P;1;1;;40394;77471;;3;;;2461;1;1;1;1;1;1;;;+12043422;+3624773;0;1
514;24;40;P;1;3;;40394;63898;;3;;;2461;1;1;1;1;1;1;;;+12043137;+3628666;0;1
