CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
514;24;6414;L;1;2;G104;76378;76306;77382;5;
514;24;7431;L;1;2;G104;77382;76378;76332;5;
514;24;6401;L;1;2;;76298;76261;76282;5;
514;24;35;L;1;1;G2;62553;41871;41862;3;
514;24;6077;L;1;1;G2001;76270;77471;80046;5;
514;24;6111;L;1;1;G2001;79533;80112;80042;5;
514;24;2461;L;1;1;G2011;40394;77471;62901;3;
514;24;6;L;1;2;G204;63898;40048;48006;3;
514;24;12419;L;1;2;G204;63898;5984;5985;2667;
514;24;12550;L;1;2;G204;76896;5985;6039;2667;
514;24;2812;L;1;4;;41941;63898;38664;3;
514;24;12407;L;1;2;G206;63894;6122;41861;2667;
514;24;12401;L;1;2;G206;5955;5975;5976;2667;
514;24;12416;L;1;2;G206;5980;5982;6122;2667;
514;24;12411;L;1;2;G206;5976;5955;5982;2667;
514;24;6441;L;1;2;G220;76332;80082;80083;5;
514;24;6901;L;1;2;G220;76522;77433;80082;5;
514;24;1331;L;1;2;G308;39977;39962;39278;3;
514;24;21;L;1;2;G308;40565;39278;41878;3;
514;24;2711;L;1;2;G308;40554;41878;63898;3;
514;24;6474;L;1;2;;77102;80098;79530;5;
514;24;6909;L;1;2;G309;76217;76364;76734;5;
514;24;7435;L;1;2;G309;77385;80083;77386;5;
514;24;6563;L;1;3;S102;76276;76400;77434;5;
514;24;6557;L;1;3;S102;76400;76297;76276;5;
514;24;6540;L;1;3;S103;76273;80086;76306;5;
514;24;21545;L;1;3;S201;18962;22124;18964;2678;
514;24;235;L;1;3;S202;38883;38664;38884;3;
514;24;241;L;1;3;S202;38664;63898;38883;3;
514;24;347;L;1;3;S202;40030;40032;48007;3;
514;24;373;L;1;3;S202;39965;39371;39563;3;
514;24;352;L;1;3;S202;40032;39965;40030;3;
514;24;21594;L;1;3;S203;19093;40392;18897;2678;
514;24;21562;L;1;3;S204;18880;18893;22124;2678;
514;24;21565;L;1;3;S204;22124;18962;62901;2678;
514;24;12447;L;1;3;S206;21883;15842;6001;2667;
514;24;12443;L;1;3;S207;5996;15866;15867;2667;
514;24;12648;L;1;3;S207;6063;15867;6008;2667;
514;24;1433;L;1;3;S207;40006;40032;39493;3;
514;24;12437;L;1;3;S208;5994;5984;5961;2667;
514;24;12500;L;1;3;S208;5961;5994;6028;2667;
514;24;287;L;1;3;S209;38885;63898;40520;3;
514;24;12051;L;1;1;S21;6446;38681;22125;2667;
514;24;12474;L;1;3;S210;6018;6017;5972;2667;
514;24;12496;L;1;3;S210;6016;15871;6017;2667;
514;24;2004;L;1;3;S214;39492;39474;39486;3;
514;24;97;L;1;3;S214;39474;38761;39492;3;
514;24;12566;L;1;3;S215;5940;6001;6067;2667;
514;24;2001;L;1;3;S218;40088;38847;63898;3;
514;24;259;L;1;3;S218;38905;62553;41902;3;
514;24;2192;L;1;3;S219;40285;62553;63898;3;
514;24;1597;L;1;3;S219;48005;40291;40165;3;
514;24;2446;L;1;3;S249;41461;40390;40030;3;
514;24;12516;L;1;3;S259;6036;6035;76980;2667;
514;24;21615;L;1;3;S259;18978;18958;18981;2678;
514;24;21602;L;1;3;S259;18897;18962;18958;2678;
514;24;2716;L;1;3;S293;41760;40312;39660;3;
514;24;21930;L;1;3;S293;41760;18953;19122;2678;
514;24;840;L;1;3;S293;39486;39474;40151;3;
514;24;2108;L;1;3;S293;40447;41760;40312;3;
514;24;2408;L;1;3;S296;40376;40554;39492;3;
514;24;1557;L;1;3;S299;40171;40190;40170;3;
514;24;1552;L;1;3;S299;40187;40169;40190;3;
514;24;1547;L;1;3;S299;40184;40183;40169;3;
514;24;1533;L;1;3;S299;41496;40502;40178;3;
