CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
514;24;6402;L;3;0;;76298;76261;76306;6401;;5
514;24;6409;L;3;0;;76298;80053;76282;6401;;5
514;24;1358;L;3;0;S207;40006;40032;39427;1433;;3
514;24;1434;L;3;0;S207;40006;40554;39493;1433;;3
514;24;2005;L;3;0;S214;39492;39474;39486;2004;;3
514;24;1635;L;3;0;S214;39492;40554;39486;2004;;3
514;24;21401;L;3;0;S302;21854;18887;77181;21404;;2678
514;24;21405;L;3;0;S302;21854;77181;41666;21404;;2678
514;24;21542;L;3;0;S302;21854;18952;18961;21404;;2678
514;24;1495;L;3;0;S395;40062;40145;41955;2835;;3
514;24;2836;L;3;0;S395;40062;40479;38905;2835;;3
514;24;21575;L;3;0;S704;18932;41681;41680;21581;;2678
514;24;21578;L;3;0;S704;18932;41680;18950;21581;;2678
514;24;12740;L;3;0;;6109;6055;6045;12743;;2667
514;24;12744;L;3;0;;6109;6025;6100;12743;;2667
514;24;2133;L;3;0;;40573;40306;40202;2925;;3
514;24;2137;L;3;0;;40573;48024;40165;2925;;3
514;24;1142;L;3;0;;39789;39738;39791;2745;;3
514;24;2746;L;3;0;;39789;41915;39792;2745;;3
514;24;2865;L;3;0;;39789;39775;39746;2745;;3
514;24;2024;L;3;0;;39278;39025;39977;2965;;3
514;24;2966;L;3;0;;39278;80111;41920;2965;;3
514;24;12764;L;3;0;;6020;6017;6117;12763;;2667
514;24;12765;L;3;0;;6020;41861;6118;12763;;2667
514;24;18052;L;3;0;;63109;77445;64363;18051;;2668
514;24;18061;L;3;0;;63109;63117;63124;18051;;2668
514;24;6079;L;3;0;;76280;79796;79533;6060;;5
514;24;6118;L;3;0;;76280;77383;77471;6060;;5
514;24;2886;L;3;0;;40246;39929;39660;1783;;3
514;24;2885;L;3;0;;40246;48037;39893;1783;;3
514;24;6948;L;3;0;;76412;76973;76605;6947;;5
514;24;6953;L;3;0;;76412;76508;76342;6947;;5
514;24;13131;L;3;0;;15842;21883;15840;13254;;2667
514;24;13255;L;3;0;;15842;15843;6066;13254;;2667
514;24;1677;L;3;0;;40404;39108;39734;2218;;3
514;24;2215;L;3;0;;40405;39734;39719;2218;;3
514;24;7279;L;3;0;;76346;76332;76565;7278;;5
514;24;7282;L;3;0;;76346;76567;76535;7278;;5
514;24;1194;L;3;0;;40599;39853;39700;2530;;3
514;24;2650;L;3;0;;40598;39700;39843;2530;;3
514;24;2578;L;3;0;;39410;38760;39506;2962;;3
514;24;2963;L;3;0;;39410;80110;40365;2962;;3
514;24;1930;L;3;0;;39646;39658;48032;2783;;3
514;24;2784;L;3;0;;39646;38761;39440;2783;;3
