CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
514;24;6402;;6409
514;24;6409;6402;
514;24;1358;;1434
514;24;1434;1358;
514;24;2005;;1635
514;24;1635;2005;
514;24;21401;;21405
514;24;21405;21401;21542
514;24;21542;21405;
514;24;1495;;2836
514;24;2836;1495;
514;24;21575;;21578
514;24;21578;21575;
514;24;12740;;12744
514;24;12744;12740;
514;24;2133;;2137
514;24;2137;2133;
514;24;1142;;2746
514;24;2746;1142;2865
514;24;2865;2746;
514;24;2024;;2966
514;24;2966;2024;
514;24;12764;;12765
514;24;12765;12764;
514;24;18052;;18061
514;24;18061;18052;
514;24;6079;;6118
514;24;6118;6079;
514;24;2886;;2885
514;24;2885;2886;
514;24;6948;;6953
514;24;6953;6948;
514;24;13131;;13255
514;24;13255;13131;
514;24;1677;;2215
514;24;2215;1677;
514;24;7279;;7282
514;24;7282;7279;
514;24;1194;;2650
514;24;2650;1194;
514;24;2578;;2963
514;24;2963;2578;
514;24;1930;;2784
514;24;2784;1930;
