CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
515;25;2662;515;25;2679
515;25;2679;515;25;2662
515;25;964;515;25;2663
515;25;2663;515;25;964
515;25;2650;515;25;2664
515;25;2664;515;25;2650
515;25;546;515;25;2665
515;25;2665;515;25;546
515;25;2666;515;25;2668
515;25;2668;515;25;2672
515;25;2672;515;25;2674
515;25;2674;515;25;2666
515;25;2649;515;25;3245
515;25;3245;515;25;2649
515;25;2651;515;25;2655
515;25;2655;515;25;2651
515;25;961;515;25;963
515;25;963;515;25;2678
515;25;2678;515;25;961
515;25;542;515;25;544
515;25;544;515;25;960
515;25;960;515;25;542
515;25;957;515;25;959
515;25;959;515;25;2671
515;25;2671;515;25;2874
515;25;2874;515;25;957
515;25;2686;515;25;2688
515;25;2688;515;25;2686
515;25;966;515;25;2654
515;25;2654;515;25;966
515;25;2142;515;25;2680
515;25;2680;515;25;2142
515;25;2657;515;25;2659
515;25;2659;515;25;2675
515;25;2675;515;25;2657
515;25;548;515;25;2681
515;25;2681;515;25;548
515;25;360;515;25;370
515;25;370;515;25;360
515;25;364;515;25;368
515;25;368;515;25;364
515;25;362;515;25;366
515;25;366;515;25;362
515;25;703;515;25;2632
515;25;2632;515;25;703
515;25;3212;515;25;3214
515;25;3214;515;25;3212
515;25;411;515;25;459
515;25;459;515;25;461
515;25;461;515;25;411
515;25;412;515;25;417
515;25;417;515;25;412
515;25;410;515;25;2638
515;25;2638;515;25;2835
515;25;2835;515;25;410
515;25;3034;515;25;3215
515;25;3215;515;25;3034
515;25;2516;515;25;3005
515;25;3005;515;25;3216
515;25;3216;515;25;3237
515;25;3237;515;25;2516
515;25;523;515;25;525
515;25;525;515;25;715
515;25;715;515;25;717
515;25;717;515;25;523
515;25;714;515;25;765
515;25;765;515;25;767
515;25;767;515;25;714
515;25;713;515;25;2846
515;25;2846;515;25;713
515;25;628;515;25;630
515;25;630;515;25;712
515;25;712;515;25;628
515;25;591;515;25;2839
515;25;2839;515;25;591
515;25;711;515;25;2510
515;25;2510;515;25;2823
515;25;2823;515;25;711
515;25;573;515;25;710
515;25;710;515;25;3223
515;25;3223;515;25;573
515;25;358;515;25;372
515;25;372;515;25;358
515;25;356;515;25;374
515;25;374;515;25;356
515;25;76;515;25;202
515;25;202;515;25;227
515;25;227;515;25;76
515;25;77;515;25;2631
515;25;2631;515;25;77
515;25;106;515;25;120
515;25;120;515;25;106
515;25;105;515;25;147
515;25;147;515;25;105
515;25;56;515;25;236
515;25;236;515;25;56
515;25;129;515;25;140
515;25;140;515;25;129
515;25;86;515;25;225
515;25;225;515;25;86
515;25;64;515;25;224
515;25;224;515;25;64
515;25;222;515;25;1450
515;25;1450;515;25;222
515;25;60;515;25;218
515;25;218;515;25;60
515;25;73;515;25;155
515;25;155;515;25;73
515;25;68;515;25;239
515;25;239;515;25;68
515;25;52;515;25;232
515;25;232;515;25;514
515;25;514;515;25;52
515;25;392;515;25;1142
515;25;1142;515;25;392
515;25;468;515;25;2147
515;25;2147;515;25;2882
515;25;2882;515;25;468
515;25;3200;515;25;3201
515;25;3201;515;25;3200
515;25;2626;515;25;2893
515;25;2893;515;25;2894
515;25;2894;515;25;2626
515;25;2802;515;25;2886
515;25;2886;515;25;2802
515;25;2888;515;25;2890
515;25;2890;515;25;2888
515;25;648;515;25;1080
515;25;1080;515;25;648
515;25;657;515;25;1081
515;25;1081;515;25;657
515;25;597;515;25;633
515;25;633;515;25;635
515;25;635;515;25;597
515;25;636;515;25;2580
515;25;2580;515;25;3144
515;25;3144;515;25;636
515;25;249;515;25;577
515;25;577;515;25;637
515;25;637;515;25;249
515;25;794;515;25;2619
515;25;2619;515;25;2885
515;25;2885;515;25;794
515;25;3060;515;25;3063
515;25;3063;515;25;3060
515;25;396;515;25;400
515;25;400;515;25;396
515;25;388;515;25;390
515;25;390;515;25;388
515;25;1144;515;25;1148
515;25;1148;515;25;1144
515;25;394;515;25;398
515;25;398;515;25;394
515;25;2873;515;25;2877
515;25;2877;515;25;2873
515;25;253;515;25;2912
515;25;2912;515;25;253
515;25;650;515;25;810
515;25;810;515;25;650
515;25;662;515;25;812
515;25;812;515;25;662
515;25;813;515;25;821
515;25;821;515;25;813
515;25;814;515;25;1056
515;25;1056;515;25;814
515;25;207;515;25;904
515;25;904;515;25;2782
515;25;2782;515;25;2784
515;25;2784;515;25;207
515;25;619;515;25;905
515;25;905;515;25;619
515;25;687;515;25;906
515;25;906;515;25;2906
515;25;2906;515;25;687
515;25;67;515;25;2159
515;25;2159;515;25;67
515;25;1087;515;25;1103
515;25;1103;515;25;3234
515;25;3234;515;25;1087
515;25;488;515;25;918
515;25;918;515;25;2350
515;25;2350;515;25;3007
515;25;3007;515;25;488
515;25;1089;515;25;2604
515;25;2604;515;25;1089
515;25;538;515;25;540
515;25;540;515;25;919
515;25;919;515;25;538
515;25;777;515;25;1137
515;25;1137;515;25;777
515;25;665;515;25;920
515;25;920;515;25;665
515;25;3009;515;25;3010
515;25;3010;515;25;3009
515;25;659;515;25;667
515;25;667;515;25;659
515;25;651;515;25;653
515;25;653;515;25;1070
515;25;1070;515;25;651
515;25;3198;515;25;3199
515;25;3199;515;25;3198
515;25;2634;515;25;2896
515;25;2896;515;25;2634
515;25;510;515;25;515
515;25;515;515;25;517
515;25;517;515;25;2453
515;25;2453;515;25;510
515;25;432;515;25;434
515;25;434;515;25;2972
515;25;2972;515;25;2973
515;25;2973;515;25;432
515;25;435;515;25;3095
515;25;3095;515;25;435
515;25;2440;515;25;2444
515;25;2444;515;25;2446
515;25;2446;515;25;2440
515;25;3067;515;25;3069
515;25;3069;515;25;3067
515;25;649;515;25;804
515;25;804;515;25;2914
515;25;2914;515;25;649
515;25;2628;515;25;2630
515;25;2630;515;25;2628
515;25;438;515;25;2154
515;25;2154;515;25;438
515;25;2157;515;25;2160
515;25;2160;515;25;2157
515;25;443;515;25;2164
515;25;2164;515;25;443
515;25;444;515;25;1030
515;25;1030;515;25;444
515;25;445;515;25;447
515;25;447;515;25;2900
515;25;2900;515;25;2901
515;25;2901;515;25;445
515;25;719;515;25;721
515;25;721;515;25;719
515;25;847;515;25;2838
515;25;2838;515;25;847
515;25;402;515;25;2155
515;25;2155;515;25;402
515;25;1096;515;25;2158
515;25;2158;515;25;1096
515;25;407;515;25;2899
515;25;2899;515;25;407
515;25;408;515;25;1091
515;25;1091;515;25;408
515;25;409;515;25;424
515;25;424;515;25;1135
515;25;1135;515;25;409
515;25;205;515;25;526
515;25;526;515;25;205
515;25;527;515;25;886
515;25;886;515;25;527
515;25;528;515;25;530
515;25;530;515;25;607
515;25;607;515;25;609
515;25;609;515;25;528
515;25;498;515;25;1006
515;25;1006;515;25;498
515;25;1009;515;25;1123
515;25;1123;515;25;1009
515;25;1050;515;25;2837
515;25;2837;515;25;1050
515;25;490;515;25;1051
515;25;1051;515;25;490
515;25;2172;515;25;2203
515;25;2203;515;25;2172
515;25;2173;515;25;2209
515;25;2209;515;25;2173
515;25;2174;515;25;2716
515;25;2716;515;25;2174
515;25;1001;515;25;2175
515;25;2175;515;25;1001
515;25;2911;515;25;2969
515;25;2969;515;25;2911
515;25;1031;515;25;1053
515;25;1053;515;25;1031
515;25;448;515;25;1090
515;25;1090;515;25;448
515;25;2742;515;25;3229
515;25;3229;515;25;2742
515;25;2294;515;25;2363
515;25;2363;515;25;2294
515;25;2295;515;25;2368
515;25;2368;515;25;2295
515;25;2296;515;25;2373
515;25;2373;515;25;2296
515;25;2297;515;25;2774
515;25;2774;515;25;2297
515;25;2298;515;25;2378
515;25;2378;515;25;2298
515;25;2299;515;25;3178
515;25;3178;515;25;2299
515;25;2355;515;25;2709
515;25;2709;515;25;2355
515;25;420;515;25;466
515;25;466;515;25;1023
515;25;1023;515;25;2186
515;25;2186;515;25;420
515;25;419;515;25;1035
515;25;1035;515;25;419
515;25;418;515;25;452
515;25;452;515;25;418
515;25;839;515;25;841
515;25;841;515;25;861
515;25;861;515;25;2522
515;25;2522;515;25;839
515;25;738;515;25;862
515;25;862;515;25;738
515;25;737;515;25;844
515;25;844;515;25;846
515;25;846;515;25;737
515;25;679;515;25;848
515;25;848;515;25;679
515;25;849;515;25;2794
515;25;2794;515;25;849
515;25;851;515;25;885
515;25;885;515;25;851
515;25;852;515;25;854
515;25;854;515;25;929
515;25;929;515;25;1028
515;25;1028;515;25;852
515;25;725;515;25;727
515;25;727;515;25;927
515;25;927;515;25;725
515;25;928;515;25;935
515;25;935;515;25;939
515;25;939;515;25;928
515;25;616;515;25;618
515;25;618;515;25;669
515;25;669;515;25;616
515;25;921;515;25;3203
515;25;3203;515;25;921
515;25;2944;515;25;2946
515;25;2946;515;25;2944
515;25;2937;515;25;2947
515;25;2947;515;25;2937
515;25;2948;515;25;2950
515;25;2950;515;25;2948
515;25;3145;515;25;3153
515;25;3153;515;25;3145
515;25;734;515;25;736
515;25;736;515;25;734
515;25;732;515;25;2545
515;25;2545;515;25;732
515;25;2992;515;25;2994
515;25;2994;515;25;2992
515;25;3054;515;25;3064
515;25;3064;515;25;3054
515;25;1018;515;25;1020
