CID;TABCD;LCD;ALLOCATED
515;25;1;1
515;25;2;1
515;25;3;1
515;25;4;1
515;25;2661;1
515;25;2662;1
515;25;2663;1
515;25;2664;1
515;25;2665;1
515;25;2666;1
515;25;2648;1
515;25;2649;1
515;25;2650;1
515;25;2651;1
515;25;2652;1
515;25;958;1
515;25;961;1
515;25;960;1
515;25;959;1
515;25;2687;1
515;25;2688;1
515;25;2689;1
515;25;962;1
515;25;963;1
515;25;964;1
515;25;965;1
515;25;966;1
515;25;2142;1
515;25;2653;1
515;25;2654;1
515;25;2655;1
515;25;2656;1
515;25;2657;1
515;25;2670;1
515;25;2671;1
515;25;2672;1
515;25;543;1
515;25;544;1
515;25;545;1
515;25;546;1
515;25;547;1
515;25;548;1
515;25;359;1
515;25;360;1
515;25;363;1
515;25;364;1
515;25;361;1
515;25;362;1
515;25;701;1
515;25;702;1
515;25;2635;1
515;25;703;1
515;25;704;1
515;25;3212;1
515;25;707;1
515;25;708;1
515;25;411;1
515;25;412;1
515;25;2835;1
515;25;413;1
515;25;414;1
515;25;415;1
515;25;3213;1
515;25;3214;1
515;25;3215;1
515;25;3216;1
515;25;709;1
515;25;715;1
515;25;714;1
515;25;713;1
515;25;712;1
515;25;2839;1
515;25;711;1
515;25;710;1
515;25;3237;1
515;25;357;1
515;25;358;1
515;25;355;1
515;25;356;1
515;25;75;1
515;25;76;1
515;25;77;1
515;25;119;1
515;25;136;1
515;25;120;1
515;25;121;1
515;25;122;1
515;25;54;1
515;25;105;1
515;25;138;1
515;25;106;1
515;25;107;1
515;25;108;1
515;25;109;1
515;25;110;1
515;25;111;1
515;25;112;1
515;25;113;1
515;25;118;1
515;25;114;1
515;25;115;1
515;25;116;1
515;25;148;1
515;25;117;1
515;25;55;1
515;25;123;1
515;25;56;1
515;25;143;1
515;25;3261;1
515;25;216;1
515;25;151;1
515;25;227;1
515;25;140;1
515;25;226;1
515;25;225;1
515;25;224;1
515;25;223;1
515;25;152;1
515;25;222;1
515;25;219;1
515;25;218;1
515;25;155;1
515;25;156;1
515;25;157;1
515;25;153;1
515;25;239;1
515;25;238;1
515;25;237;1
515;25;255;1
515;25;256;1
515;25;236;1
515;25;154;1
515;25;233;1
515;25;245;1
515;25;232;1
515;25;246;1
515;25;231;1
515;25;3263;1
515;25;230;1
515;25;1449;1
515;25;1450;1
515;25;1451;1
515;25;1141;1
515;25;1142;1
515;25;474;1
515;25;475;1
515;25;2144;1
515;25;476;1
515;25;468;1
515;25;473;1
515;25;3201;1
515;25;1079;1
515;25;2893;1
515;25;2608;1
515;25;2884;1
515;25;2886;1
515;25;2888;1
515;25;2889;1
515;25;2890;1
515;25;3200;1
515;25;2892;1
515;25;2894;1
515;25;1080;1
515;25;1081;1
515;25;634;1
515;25;635;1
515;25;636;1
515;25;637;1
515;25;2885;1
515;25;2802;1
515;25;3057;1
515;25;3058;1
515;25;3059;1
515;25;3060;1
515;25;2880;1
515;25;2882;1
515;25;469;1
515;25;2881;1
515;25;3262;1
515;25;2883;1
515;25;472;1
515;25;399;1
515;25;400;1
515;25;389;1
515;25;390;1
515;25;1143;1
515;25;1144;1
515;25;397;1
515;25;398;1
515;25;2872;1
515;25;2873;1
515;25;2874;1
515;25;809;1
515;25;2912;1
515;25;810;1
515;25;811;1
515;25;812;1
515;25;813;1
515;25;814;1
515;25;903;1
515;25;904;1
515;25;905;1
515;25;906;1
515;25;51;1
515;25;92;1
515;25;93;1
515;25;94;1
515;25;95;1
515;25;96;1
515;25;97;1
515;25;98;1
515;25;99;1
515;25;126;1
515;25;100;1
515;25;101;1
515;25;102;1
515;25;53;1
515;25;78;1
515;25;52;1
515;25;66;1
515;25;88;1
515;25;67;1
515;25;68;1
515;25;3244;1
515;25;3233;1
515;25;3234;1
515;25;3235;1
515;25;916;1
515;25;918;1
515;25;1089;1
515;25;1140;1
515;25;919;1
515;25;1137;1
515;25;1138;1
515;25;920;1
515;25;3010;1
515;25;664;1
515;25;665;1
515;25;666;1
515;25;667;1
515;25;658;1
515;25;659;1
515;25;660;1
515;25;661;1
515;25;1070;1
515;25;662;1
515;25;663;1
515;25;511;1
515;25;2806;1
515;25;2805;1
515;25;3198;1
515;25;2895;1
515;25;3199;1
515;25;2896;1
515;25;2803;1
515;25;512;1
515;25;513;1
515;25;514;1
515;25;515;1
515;25;433;1
515;25;434;1
515;25;435;1
515;25;436;1
515;25;2439;1
515;25;2440;1
515;25;3067;1
515;25;2913;1
515;25;2914;1
515;25;650;1
515;25;651;1
515;25;647;1
515;25;2628;1
515;25;648;1
515;25;649;1
515;25;421;1
515;25;2152;1
515;25;438;1
515;25;439;1
515;25;440;1
515;25;441;1
515;25;2160;1
515;25;442;1
515;25;443;1
515;25;444;1
515;25;445;1
515;25;716;1
515;25;719;1
515;25;718;1
515;25;2838;1
515;25;717;1
515;25;1126;1
515;25;402;1
515;25;403;1
515;25;404;1
515;25;1096;1
515;25;1127;1
515;25;406;1
515;25;407;1
515;25;408;1
515;25;1128;1
515;25;409;1
515;25;410;1
515;25;128;1
515;25;129;1
515;25;130;1
515;25;131;1
515;25;132;1
515;25;133;1
515;25;524;1
