CID;LID;NID;NAME;NCOMMENT
515;1;2;亚洲;
515;1;3;中国;
515;1;463;浙江省;
515;1;464;杭州市;
515;1;707;１１号大街;
515;1;1626;之江东路;
515;1;650;学府街;
515;1;1289;２０号大街;
515;1;1354;１２号大街;
515;1;1311;６号大街;
515;1;1355;１号大街;
515;1;706;２３号大街;
515;1;1288;２号大街;
515;1;654;１号路;
515;1;653;６号路;
515;1;655;杭州萧山国际机场;
515;1;1234;１５号大街;
515;1;303;文渊路;
515;1;1425;５号大街;
515;1;1426;２１号大街;
515;1;840;Ｇ１０４;
515;1;745;杭州绕城公路;
515;1;841;杭州绕城公路Ｇ１０４入口匝道;
515;1;747;杭州绕城公路内圈;
515;1;842;杭州绕城公路内圈Ｇ１０４入口匝道;
515;1;752;杭州绕城公路外圈;
515;1;843;杭州绕城公路外圈Ｇ１０４入口匝道;
515;1;644;观山路;
515;1;1798;萧项线;
515;1;1796;祥邱线;
515;1;33;东西大道;
515;1;1795;勾庄互通;
515;1;1840;弘慧路;
515;1;89;通惠北路;
515;1;64;金城路;
515;1;534;塘新线;
515;1;1797;萧山东互通;
515;1;63;八柯线;
515;1;608;勾庄路;
515;1;237;好运路;
515;1;1685;棕榈路;
515;1;138;莫干山路;
515;1;18;环城北路;
515;1;185;文晖路;
515;1;159;文一路;
515;1;137;教工路;
515;1;180;登云路;
515;1;239;申花路;
515;1;20;石祥路;
515;1;844;Ｇ１０４北侧;
515;1;845;杭州绕城公路Ｇ１０４北侧入口匝道;
515;1;846;Ｇ１０４南侧;
515;1;847;杭州绕城公路Ｇ１０４南侧入口匝道;
515;1;1541;长深高速公路;
515;1;28;杭新景高速公路;
515;1;786;Ｇ３２０;
515;1;1553;进贤大道;
515;1;1550;考坑;
515;1;660;Ｓ０６;
515;1;486;Ｓ２３;
515;1;11;滨文路;
515;1;1741;新衢路;
515;1;1821;西朱线;
515;1;488;建德服务区;
515;1;1823;杨梅线;
515;1;489;乾潭收费站;
515;1;490;安仁收费站;
515;1;1824;徐七线;
515;1;492;迎春南路;
515;1;1825;柴雅线;
515;1;682;桐庐服务区;
515;1;494;横屏线;
515;1;1523;汤横线;
515;1;496;Ｓ１９;
515;1;1826;新中线;
515;1;497;富阳线;
515;1;1552;东桥路;
515;1;736;袁富路;
515;1;1474;之浦路;
515;1;1829;杭州绕城公路北段;
515;1;9;文汇路;
515;1;1542;练杭高速公路;
515;1;446;杭浦高速公路;
515;1;21;杭甬高速公路;
515;1;219;乔莫西路;
515;1;1830;杭州绕城公路东段;
515;1;1467;沪昆高速公路;
515;1;465;下沙服务区;
515;1;1828;红垦枢纽;
515;1;35;机场高速公路;
515;1;1638;杨渔线;
515;1;1831;杭州绕城公路南段;
515;1;1511;云河路;
515;1;746;蜀山路;
515;1;117;时代大道;
515;1;466;狮闻线;
515;1;467;西湖服务区;
