CID;LID;NID;NTRANSLATION
515;2;2;ya zhou
515;3;2;Asia
515;2;3;zhong guo
515;3;3;China
515;2;9;wen hui lu
515;3;9;Wenhui Rd
515;2;11;bin wen lu
515;3;11;Binwen Rd
515;2;14;jiang nan da dao
515;3;14;Jiangnan Blvd
515;2;15;qiu tao lu
515;3;15;Qiutao Rd
515;2;16;wang jiang lu
515;3;16;Wangjiang Rd
515;2;17;xi hu da dao
515;3;17;Xihu Blvd
515;2;18;huan cheng bei lu
515;3;18;Huancheng North Rd
515;2;19;de sheng lu
515;3;19;Desheng Rd
515;2;20;shi xiang lu
515;3;20;Shixiang Rd
515;2;21;hang yong gao su gong lu
515;3;21;Hangyong Hwy
515;2;28;hang xin jing gao su gong lu
515;3;28;Hangxinjing Hwy
515;2;33;dong xi da dao
515;3;33;Dongxi Blvd
515;2;35;ji chang gao su gong lu
515;3;35;Jichang Hwy
515;2;37;jiang hui lu
515;3;37;Jianghui Rd
515;2;52;tang mei xian
515;3;52;Tangmei Line
515;2;53;da ni xian
515;3;53;Dani Line
515;2;55;lai niang xian
515;3;55;Lainiang Line
515;2;57;bai cao xian
515;3;57;Baicao Line
515;2;58;nan huan lu
515;3;58;S Ring Rd
515;2;59;xiao shao lu
515;3;59;Xiaoshao Rd
515;2;63;ba ke xian
515;3;63;Bake Line
515;2;64;jin cheng lu
515;3;64;Jincheng Rd
515;2;65;xing yuan lu
515;3;65;Xingyuan Rd
515;2;66;gao xin san lu
515;3;66;Gaoxinsan Rd
515;2;67;yin xin lu
515;3;67;Yinxin Rd
515;2;69;chang qing lu
515;3;69;Changqing Rd
515;2;71;shi xin zhong lu
515;3;71;Shixin Middle Rd
515;2;72;tong hui zhong lu
515;3;72;Tonghui Middle Rd
515;2;73;shang cheng zhong lu
515;3;73;Shangcheng Middle Rd
515;2;74;yu cai lu
515;3;74;Yucai Rd
515;2;76;xiao hang lu
515;3;76;Xiaohang Rd
515;2;77;jin ji lu
515;3;77;Jinji Rd
515;2;82;chun yong xian
515;3;82;Chunyong Line
515;2;83;zhi shan xi lu
515;3;83;Zhishan West Rd
515;2;84;you hu xian
515;3;84;Youhu Line
515;2;86;shi xin nan lu
515;3;86;Shixin South Rd
515;2;87;tong hui nan lu
515;3;87;Tonghui South Rd
515;2;89;tong hui bei lu
515;3;89;Tonghui North Rd
515;2;90;jian she er lu
515;3;90;Jiansheer Rd
515;2;92;hong da lu
515;3;92;Hongda Rd
515;2;93;feng qing da dao
515;3;93;Fengqing Blvd
515;2;95;xiang hu lu
515;3;95;Xianghu Rd
515;2;98;da zhong xian
515;3;98;Dazhong Line
515;2;105;zhi jiang lu
515;3;105;Zhijiang Rd
515;2;106;mei ling nan lu
515;3;106;Meiling South Rd
515;2;107;jiu xi lu
515;3;107;Jiuxi Rd
515;2;108;lao fu xing jie
515;3;108;Laofuxing St
515;2;109;qian tang jiang da qiao
515;3;109;Qiantangjiang Brg
515;2;110;yu huang shan lu
515;3;110;Yuhuangshan Rd
515;2;111;yang pan lu
515;3;111;Yangpan Rd
515;2;114;xi xing da qiao
515;3;114;Xixing Brg
515;2;115;xin ye lu
515;3;115;Xinye Rd
515;2;116;hang hai lu
515;3;116;Hanghai Rd
515;2;117;shi dai da dao
515;3;117;Shidai Blvd
515;2;118;bin an lu
515;3;118;Bin'an Rd
515;2;119;wen tao lu
515;3;119;Wentao Rd
515;2;120;hu pao lu
515;3;120;Hupao Rd
515;2;121;wei ye lu
515;3;121;Weiye Rd
515;2;122;xin cheng lu
515;3;122;Xincheng Rd
515;2;123;jiang hong lu
515;3;123;Jianghong Rd
515;2;124;jiang ling lu
515;3;124;Jiangling Rd
515;2;125;ji chang gong lu
515;3;125;Jichang Hwy
515;2;126;liu he lu
515;3;126;Liuhe Rd
515;2;127;shi ma cun
515;3;127;Shima Village
515;2;128;xi xi lu
515;3;128;Xixi Rd
515;2;130;lian sheng lu
515;3;130;Liansheng Rd
515;2;132;tian mu shan lu
515;3;132;Tianmushan Rd
515;2;136;feng tan lu
515;3;136;Fengtan Rd
515;2;137;jiao gong lu
515;3;137;Jiaogong Rd
515;2;138;mo gan shan lu
515;3;138;Moganshan Rd
515;2;140;jian guo bei lu
515;3;140;Jianguo North Rd
515;2;141;zhao hui lu
515;3;141;Zhaohui Rd
515;2;142;gen shan xi lu
515;3;142;Genshan West Rd
515;2;143;qiu tao bei lu
515;3;143;Qiutao North Rd
515;2;144;gen shan dong lu
515;3;144;Genshan East Rd
515;2;145;qian chao lu
515;3;145;Qianchao Rd
515;2;147;hong pu lu
515;3;147;Hongpu Rd
515;2;148;xia sha lu
515;3;148;Xiasha Rd
515;2;149;qiao xia xian
515;3;149;Qiaoxia Line
515;2;156;wen yi xi lu
515;3;156;Wenyi West Rd
515;2;157;gu dun lu
515;3;157;Gudun Rd
515;2;158;gu cui lu
515;3;158;Gucui Rd
515;2;159;wen yi lu
515;3;159;Wenyi Rd
515;2;161;hu shu nan lu
515;3;161;Hushu South Rd
515;2;162;shang tang lu
515;3;162;Shangtang Rd
515;2;163;shao xing lu
515;3;163;Shaoxing Rd
515;2;165;de sheng zhong lu
515;3;165;Desheng Middle Rd
515;2;166;shi qiao lu
515;3;166;Shiqiao Rd
515;2;167;ji chang lu
515;3;167;Jichang Rd
515;2;172;chu xin lu
515;3;172;Chuxin Rd
515;2;173;hua zhong lu
515;3;173;Huazhong Rd
515;2;175;jian ding lu
515;3;175;Jianding Rd
515;2;177;wen er lu
515;3;177;Wener Rd
515;2;179;yu hang tang lu
515;3;179;Yuhangtang Rd
515;2;180;deng yun lu
515;3;180;Dengyun Rd
515;2;181;li shui lu
515;3;181;Lishui Rd
515;2;182;da guan lu
515;3;182;Daguan Rd
515;2;183;xiang ji si lu
515;3;183;Xiangjisi Rd
515;2;184;chao wang lu
515;3;184;Chaowang Rd
515;2;185;wen hui lu
515;3;185;Wenhui Rd
515;2;186;zhong shan bei lu
515;3;186;Zhongshan North Rd
515;2;187;ti yu chang lu
515;3;187;Tiyuchang Rd
515;2;189;feng qi lu
515;3;189;Fengqi Rd
515;2;190;qing chun lu
515;3;190;Qingchun Rd
515;2;191;qing tai jie
515;3;191;Qingtai St
515;2;194;jiang cheng lu
515;3;194;Jiangcheng Rd
515;2;195;shang cang qiao lu
515;3;195;Shangcangqiao Rd
515;2;196;fu xing lu
515;3;196;Fuxing Rd
515;2;197;huang long lu
515;3;197;Huanglong Rd
515;2;198;shu guang lu
515;3;198;Shuguang Rd
515;2;199;wen san lu
515;3;199;Wensan Rd
515;2;200;shen ban lu
515;3;200;Shenban Rd
515;2;201;hu zhou jie
515;3;201;Huzhou St
515;2;203;lin ding lu
515;3;203;Linding Rd
515;2;205;S09
515;3;205;S09
515;2;207;dong hu bei lu
515;3;207;Donghu North Rd
515;2;208;lin dong lu
515;3;208;Lindong Rd
515;2;209;xing guang jie
515;3;209;Xingguang St
515;2;210;shi ji da dao
515;3;210;Shiji Blvd
515;2;211;ying bin lu
515;3;211;Yingbin Rd
515;2;212;dong hu nan lu
515;3;212;Donghu South Rd
515;2;213;ren min da dao
515;3;213;Renmin Blvd
515;2;218;ou hua zhou da jie
515;3;218;Ouhuazhou Ave
515;2;219;qiao mo xi lu
515;3;219;Qiaomo West Rd
515;2;220;bo ka lu
515;3;220;Boka Rd
515;2;222;zhong he bei lu
