CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
515;25;2662;P;1;10;;707;1626;;4;;;2661;1;1;1;1;1;1;;;+12033924;+3027103;0;0
515;25;2663;P;1;10;;707;1289;;4;;;2661;1;1;1;1;1;1;;;+12034366;+3027671;0;0
515;25;2664;P;1;10;;707;1354;;4;;;2661;1;1;1;1;1;1;;;+12035569;+3029279;0;0
515;25;2665;P;1;10;;707;1311;;4;;;2661;1;1;1;1;1;1;;;+12036062;+3030242;0;0
515;25;2666;P;1;10;;707;650;;4;;;2661;1;1;1;1;1;1;;;+12036489;+3031100;0;0
515;25;2649;P;1;10;;1354;1355;;4;;;2648;1;1;1;1;1;1;;;+12033381;+3029491;0;0
515;25;2650;P;1;10;;1354;707;;4;;;2648;1;1;1;1;1;1;;;+12035569;+3029279;0;0
515;25;2651;P;1;10;;1354;706;;4;;;2648;1;1;1;1;1;1;;;+12037630;+3029285;0;0
515;25;2652;P;1;12;;1354;1626;;4;;;2648;1;1;1;1;1;1;;;+12038908;+3029280;0;0
515;25;961;P;1;10;;1355;1289;;4;;;958;1;1;1;1;1;1;;;+12032681;+3028314;0;0
515;25;960;P;1;8;;1355;1311;;4;;;958;1;1;1;1;1;1;;;+12033723;+3030068;0;0
515;25;959;P;1;10;;1355;1288;;4;;;958;1;1;1;1;1;1;;;+12033874;+3030939;0;0
515;25;2688;P;1;10;;654;653;;4;;;2687;1;1;1;1;1;1;;;+12041882;+3022750;0;0
515;25;2689;P;3;27;;654;655;;4;;;2687;1;1;1;1;1;1;;;+12043475;+3023443;0;0
515;25;963;P;1;10;;1289;1355;;4;;;962;1;1;1;1;1;1;;;+12032681;+3028314;0;0
515;25;964;P;1;10;;1289;707;;4;;;962;1;1;1;1;1;1;;;+12034366;+3027671;0;0
515;25;965;P;1;11;;1289;1234;;4;;;962;1;1;1;1;1;1;;;+12035625;+3027671;0;0
515;25;966;P;1;10;;1289;706;;4;;;962;1;1;1;1;1;1;;;+12037629;+3027668;0;0
515;25;2142;P;1;10;;1289;1626;;4;;;962;1;1;1;1;1;1;;;+12038192;+3027665;0;0
515;25;2654;P;1;10;;706;1289;;4;;;2653;1;1;1;1;1;1;;;+12037629;+3027668;0;0
515;25;2655;P;1;10;;706;1354;;4;;;2653;1;1;1;1;1;1;;;+12037630;+3029285;0;0
515;25;2656;P;1;10;;706;1311;;4;;;2653;1;1;1;1;1;1;;;+12037636;+3030242;0;0
515;25;2657;P;1;10;;706;650;;4;;;2653;1;1;1;1;1;1;;;+12037643;+3031098;0;0
515;25;2671;P;1;10;;1288;303;;4;;;2670;1;1;1;1;1;1;;;+12033874;+3030939;0;0
515;25;2672;P;1;10;;1288;650;;4;;;2670;1;1;1;1;1;1;;;+12036489;+3031100;0;0
515;25;544;P;1;8;;1311;1355;;4;;;543;1;1;1;1;1;1;;;+12033723;+3030068;0;0
515;25;545;P;1;8;;1311;1425;;4;;;543;1;1;1;1;1;1;;;+12034907;+3030140;0;0
515;25;546;P;1;10;;1311;707;;4;;;543;1;1;1;1;1;1;;;+12036062;+3030242;0;0
515;25;547;P;1;10;;1311;1426;;4;;;543;1;1;1;1;1;1;;;+12037095;+3030241;0;0
515;25;548;P;1;10;;1311;1626;;4;;;543;1;1;1;1;1;1;;;+12039444;+3030242;0;0
515;25;360;P;4;0;;;841;;4;;;359;;;;;;;;;+12006870;+3036266;0;0
515;25;364;P;4;0;;;842;;4;;;363;;;;;;;;;+12007231;+3036121;0;0
515;25;362;P;4;0;;;843;;4;;;361;;;;;;;;;+12006922;+3036064;0;0
515;25;2635;P;1;10;;840;644;;4;;702;;1;1;1;1;1;1;;;+12000401;+3037982;0;0
515;25;703;P;1;7;;840;33;;4;;702;;1;1;1;1;1;1;;;+12004814;+3036489;0;0
515;25;704;P;1;3;;840;1795;;4;;702;;1;1;1;1;1;1;;;+12006830;+3036480;0;0
515;25;3212;P;1;12;;840;1796;;4;;702;;1;1;1;1;1;1;;;+12007431;+3036252;708;0
515;25;708;P;1;3;;840;1840;;4;;707;;1;1;1;1;1;1;;;+12029086;+3024138;3212;0
515;25;411;P;1;8;;840;89;;4;;707;;1;1;1;1;1;1;;;+12029492;+3022602;0;1
515;25;412;P;1;10;;840;64;;4;;707;;1;1;1;1;1;1;;;+12032623;+3017779;0;1
515;25;2835;P;1;10;;840;534;;4;;707;;1;1;1;1;1;1;;;+12033321;+3017548;0;0
515;25;413;P;1;3;;840;1797;;4;;707;;1;1;1;1;1;1;;;+12034021;+3017399;0;0
515;25;414;P;1;10;;840;63;;4;;707;;1;1;1;1;1;1;;;+12038764;+3017182;0;0
515;25;415;P;1;10;;840;1798;;4;;707;;1;1;1;1;1;1;;;+12040456;+3015200;0;0
515;25;3214;P;1;12;;608;1796;;4;;;3213;1;1;1;1;1;1;;;+12007431;+3036252;0;0
515;25;3215;P;1;10;;608;1685;;4;;;3213;1;1;1;1;1;1;;;+12008114;+3035798;0;0
515;25;3216;P;1;10;;608;237;;4;;;3213;1;1;1;1;1;1;;;+12009207;+3034715;0;0
515;25;715;P;1;10;;138;18;;4;;;709;1;1;1;1;1;1;;;+12015457;+3027259;0;1
515;25;714;P;1;10;;138;185;;4;;;709;1;1;1;1;1;1;;;+12015132;+3027801;0;1
515;25;713;P;1;10;;138;159;;4;;;709;1;1;1;1;1;1;;;+12014503;+3028900;0;1
515;25;712;P;1;10;;138;137;;4;;;709;1;1;1;1;1;1;;;+12013553;+3029943;0;1
515;25;2839;P;1;10;;138;180;;4;;;709;1;1;1;1;1;1;;;+12012509;+3030661;0;1
515;25;711;P;1;10;;138;239;;4;;;709;1;1;1;1;1;1;;;+12011527;+3031337;0;1
515;25;710;P;1;10;;138;20;;4;;;709;1;1;1;1;1;1;;;+12010787;+3032229;0;0
515;25;3237;P;1;10;;138;237;;4;;;709;1;1;1;1;1;1;;;+12009207;+3034715;0;0
515;25;358;P;4;0;;;845;;4;;;357;;;;;;;;;+12006767;+3036547;0;0
515;25;356;P;4;0;;;847;;4;;;355;;;;;;;;;+12006804;+3036445;0;0
515;25;76;P;1;1;;1541;745;;4;;;75;1;1;1;1;1;1;;;+12012002;+3038574;0;0
515;25;77;P;1;3;;1541;33;;4;;;75;1;1;1;1;1;1;;;+12009975;+3044282;0;0
