CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
515;25;2661;L;1;4;;707;1626;650;4;
515;25;2648;L;1;4;;1354;1355;1626;4;
515;25;958;L;1;4;;1355;1289;1288;4;
515;25;2687;L;1;3;;654;653;655;4;
515;25;962;L;1;4;;1289;1355;1626;4;
515;25;2653;L;1;4;;706;1289;650;4;
515;25;2670;L;1;4;;1288;303;650;4;
515;25;543;L;1;4;;1311;1355;1626;4;
515;25;359;L;7;0;;;840;745;4;
515;25;363;L;7;0;;;840;747;4;
515;25;361;L;7;0;;;840;752;4;
515;25;701;L;1;2;G104;840;644;1798;4;
515;25;3213;L;1;2;G104;608;1796;237;4;
515;25;709;L;1;4;G104;138;18;237;4;
515;25;357;L;7;0;;;844;745;4;
515;25;355;L;7;0;;;846;745;4;
515;25;75;L;1;1;G25;1541;745;33;4;
515;25;119;L;1;1;G25;28;786;1553;4;
515;25;54;L;1;1;G25;28;486;11;4;
515;25;216;L;2;1;G2501;745;;;4;
515;25;1449;L;1;1;G2501;745;9;446;4;
515;25;1141;L;7;0;;;786;745;4;
515;25;474;L;1;2;G320;786;506;1632;4;
515;25;2608;L;1;2;G320;233;1793;1631;4;
515;25;2889;L;1;2;G320;1631;233;1782;4;
515;25;2892;L;1;2;G320;1452;1632;209;4;
515;25;634;L;1;2;G320;200;163;233;4;
515;25;3057;L;1;4;;1696;373;1693;4;
515;25;2880;L;1;2;G320;1511;870;1474;4;
515;25;2881;L;1;2;G320;1474;28;105;4;
515;25;399;L;7;0;;;866;745;4;
515;25;389;L;7;0;;;866;747;4;
515;25;1143;L;7;0;;;866;752;4;
515;25;397;L;7;0;;;872;745;4;
515;25;2872;L;1;4;;1627;1628;1288;4;
515;25;809;L;1;4;;210;1492;208;4;
515;25;903;L;1;4;;16;295;15;4;
515;25;51;L;1;1;G56;1545;1886;745;4;
515;25;66;L;1;1;G60;1467;53;745;4;
515;25;3244;L;1;4;;116;228;1674;4;
515;25;664;L;1;3;S01;219;116;1800;4;
515;25;658;L;1;3;S01;211;1800;218;4;
515;25;511;L;1;3;S02;1886;462;1781;4;
515;25;2895;L;1;3;S02;1444;1781;126;4;
515;25;433;L;1;3;S03;76;59;64;4;
515;25;2439;L;1;4;;1462;1700;1671;4;
515;25;2913;L;1;3;S09;1502;209;211;4;
515;25;647;L;1;3;S09;1633;33;209;4;
515;25;421;L;1;3;S103;1636;508;55;4;
515;25;716;L;1;4;;240;190;18;4;
515;25;1126;L;1;4;;52;53;840;4;
515;25;128;L;1;1;S13;1542;745;1544;4;
515;25;524;L;1;3;S44;18;138;141;4;
515;25;1003;L;1;4;;58;14;52;4;
515;25;2293;L;1;4;;245;227;105;4;
515;25;416;L;1;3;S23;64;93;840;4;
515;25;860;L;1;4;;248;284;240;4;
515;25;845;L;1;4;;187;247;142;4;
515;25;925;L;1;4;;243;191;142;4;
515;25;608;L;1;4;;1699;17;18;4;
515;25;3202;L;1;4;;1783;1679;1677;4;
515;25;2945;L;1;4;;1655;321;1659;4;
515;25;3151;L;1;4;;1721;183;1723;4;
515;25;731;L;1;4;;246;132;159;4;
515;25;735;L;1;4;;247;248;132;4;
515;25;2993;L;1;4;;1667;72;59;4;
515;25;3061;L;1;4;;1693;1698;1692;4;
515;25;1019;L;1;4;;118;323;93;4;
515;25;2219;L;1;4;;518;512;124;4;
515;25;2176;L;1;4;;395;121;93;4;
515;25;2224;L;1;4;;397;1454;228;4;
515;25;2165;L;1;4;;11;119;37;4;
515;25;1145;L;7;0;;;891;890;4;
515;25;2213;L;1;4;;515;513;1453;4;
515;25;3258;L;1;4;;1556;1396;1687;4;
515;25;1311;L;7;0;;;1020;1264;4;
515;25;3241;L;7;0;;;1873;1266;4;
515;25;3135;L;1;4;;1718;165;290;4;
515;25;2202;L;1;4;;512;58;119;4;
515;25;2935;L;1;4;;1654;1653;1656;4;
515;25;2939;L;1;4;;1657;1656;11;4;
515;25;2309;L;1;4;;69;426;840;4;
515;25;1519;L;7;0;;;1854;1332;4;
515;25;603;L;1;4;;141;186;18;4;
515;25;1535;L;7;0;;;1868;1332;4;
515;25;749;L;1;4;;184;138;163;4;
515;25;2962;L;1;4;;1639;87;1643;4;
515;25;3044;L;1;4;;1396;1556;1687;4;
515;25;629;L;1;4;;182;138;163;4;
515;25;1267;L;7;0;;;983;858;4;
515;25;2286;L;1;4;;1814;87;1818;4;
515;25;2153;L;1;4;;53;1636;52;4;
515;25;1355;L;7;0;;;1053;1269;4;
515;25;1115;L;1;3;;1053;167;9;4;
515;25;3248;L;1;4;;1875;1877;1878;4;
515;25;1361;L;7;0;;;1259;1059;4;
515;25;1359;L;7;0;;;1259;1057;4;
515;25;1357;L;7;0;;;1259;1049;4;
515;25;1339;L;7;0;;;1259;1038;4;
515;25;1345;L;7;0;;;1259;1040;4;
515;25;1337;L;7;0;;;1259;1044;4;
515;25;2864;L;7;0;;;1259;1065;4;
515;25;1443;L;1;1;;1259;722;1834;4;
515;25;1347;L;7;0;;;1272;1038;4;
515;25;1351;L;7;0;;;1272;1040;4;
515;25;1349;L;7;0;;;1272;1044;4;
515;25;1341;L;7;0;;;1269;1038;4;
