CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
515;25;702;L;3;0;G104;840;644;1796;701;;4
515;25;707;L;3;0;G104;840;1840;1798;701;;4
515;25;151;L;3;0;;1829;1541;9;216;;4
515;25;152;L;3;0;;1830;9;1467;216;;4
515;25;153;L;3;0;;1831;1467;1511;216;;4
515;25;154;L;3;0;;1832;1511;1541;216;;4
515;25;475;L;3;0;G320;786;506;870;474;;4
515;25;473;L;3;0;G320;786;1782;1632;474;;4
515;25;3233;L;3;0;;116;228;293;3244;;4
515;25;916;L;3;0;;116;105;1674;3244;;4
515;25;1004;L;3;0;;58;14;124;1003;;4
515;25;1052;L;3;0;;58;746;52;1003;;4
515;25;3039;L;3;0;;1556;1396;1457;3258;;4
515;25;3259;L;3;0;;1556;1278;1687;3258;;4
515;25;2547;L;3;0;;616;138;182;2697;;4
515;25;2596;L;3;0;;616;583;201;2697;;4
515;25;2380;L;3;0;;569;224;570;2414;;4
515;25;2390;L;3;0;;569;241;194;2414;;4
515;25;3051;L;3;0;;92;324;1692;3246;;4
515;25;2315;L;3;0;;92;840;552;3246;;4
515;25;3086;L;3;0;;325;93;1373;3085;;4
515;25;3091;L;3;0;;325;840;646;3085;;4
515;25;1105;L;3;0;;317;311;119;1054;;4
515;25;1106;L;3;0;;317;745;1739;1054;;4
515;25;967;L;3;0;;307;1636;745;3247;;4
515;25;978;L;3;0;;307;117;314;3247;;4
515;25;3122;L;3;0;;562;116;561;2349;;4
515;25;3123;L;3;0;;562;559;1709;2349;;4
515;25;970;L;3;0;;117;745;890;489;;4
515;25;2934;L;3;0;;117;58;119;489;;4
515;25;2452;L;3;0;;128;132;197;3206;;4
515;25;3207;L;3;0;;128;1839;247;3206;;4
515;25;2495;L;3;0;;590;128;1731;3172;;4
515;25;3173;L;3;0;;590;605;1364;3172;;4
