CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
515;25;702;;707
515;25;707;702;
515;25;151;154;152
515;25;152;151;153
515;25;153;152;154
515;25;154;153;151
515;25;475;;473
515;25;473;475;
515;25;3233;;916
515;25;916;3233;
515;25;1004;;1052
515;25;1052;1004;
515;25;3039;;3259
515;25;3259;3039;
515;25;2547;;2596
515;25;2596;2547;
515;25;2380;;2390
515;25;2390;2380;
515;25;3051;;2315
515;25;2315;3051;
515;25;3086;;3091
515;25;3091;3086;
515;25;1105;;1106
515;25;1106;1105;
515;25;967;;978
515;25;978;967;
515;25;3122;;3123
515;25;3123;3122;
515;25;970;;2934
515;25;2934;970;
515;25;2452;;3207
515;25;3207;2452;
515;25;2495;;3173
515;25;3173;2495;
