CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
517;27;6052;517;27;12057
517;27;12057;517;27;6052
517;27;490;517;27;621
517;27;621;517;27;623
517;27;623;517;27;1008
517;27;1008;517;27;490
517;27;69;517;27;624
517;27;624;517;27;69
517;27;466;517;27;618
517;27;618;517;27;620
517;27;620;517;27;931
517;27;931;517;27;466
517;27;403;517;27;405
517;27;405;517;27;403
517;27;1274;517;27;1275
517;27;1275;517;27;1274
517;27;471;517;27;473
517;27;473;517;27;493
517;27;493;517;27;533
517;27;533;517;27;1011
517;27;1011;517;27;1041
517;27;1041;517;27;471
517;27;1210;517;27;1211
517;27;1211;517;27;1210
517;27;467;517;27;750
517;27;750;517;27;752
517;27;752;517;27;467
517;27;428;517;27;430
517;27;430;517;27;468
517;27;468;517;27;470
517;27;470;517;27;428
517;27;407;517;27;409
517;27;409;517;27;506
517;27;506;517;27;1018
517;27;1018;517;27;407
517;27;410;517;27;868
517;27;868;517;27;410
517;27;411;517;27;413
517;27;413;517;27;674
517;27;674;517;27;411
517;27;417;517;27;419
517;27;419;517;27;772
517;27;772;517;27;810
517;27;810;517;27;417
517;27;610;517;27;612
517;27;612;517;27;806
517;27;806;517;27;610
517;27;613;517;27;801
517;27;801;517;27;613
517;27;614;517;27;824
517;27;824;517;27;614
517;27;615;517;27;742
517;27;742;517;27;615
517;27;758;517;27;1106
517;27;1106;517;27;758
517;27;422;517;27;616
517;27;616;517;27;422
517;27;617;517;27;764
517;27;764;517;27;766
517;27;766;517;27;617
517;27;1252;517;27;1412
517;27;1412;517;27;1252
517;27;406;517;27;865
517;27;865;517;27;406
517;27;628;517;27;1114
517;27;1114;517;27;628
517;27;421;517;27;456
517;27;456;517;27;421
517;27;423;517;27;746
517;27;746;517;27;748
517;27;748;517;27;423
517;27;424;517;27;426
517;27;426;517;27;852
517;27;852;517;27;424
517;27;571;517;27;574
517;27;574;517;27;571
517;27;420;517;27;893
517;27;893;517;27;420
517;27;577;517;27;579
517;27;579;517;27;687
517;27;687;517;27;577
517;27;580;517;27;690
517;27;690;517;27;580
517;27;483;517;27;485
517;27;485;517;27;581
517;27;581;517;27;483
517;27;582;517;27;699
517;27;699;517;27;582
517;27;583;517;27;725
517;27;725;517;27;583
517;27;464;517;27;1025
517;27;1025;517;27;464
517;27;584;517;27;812
517;27;812;517;27;584
517;27;575;517;27;692
517;27;692;517;27;575
517;27;535;517;27;682
517;27;682;517;27;1076
517;27;1076;517;27;535
517;27;536;517;27;627
517;27;627;517;27;536
517;27;538;517;27;1083
517;27;1083;517;27;538
517;27;1400;517;27;1409
517;27;1409;517;27;1400
517;27;448;517;27;539
517;27;539;517;27;448
517;27;1402;517;27;1410
517;27;1410;517;27;1402
517;27;1089;517;27;1411
517;27;1411;517;27;1089
517;27;541;517;27;870
517;27;870;517;27;874
517;27;874;517;27;541
517;27;543;517;27;872
517;27;872;517;27;543
517;27;544;517;27;859
517;27;859;517;27;544
517;27;545;517;27;547
517;27;547;517;27;545
517;27;460;517;27;462
517;27;462;517;27;671
517;27;671;517;27;460
517;27;463;517;27;729
517;27;729;517;27;463
517;27;465;517;27;818
517;27;818;517;27;465
517;27;559;517;27;664
517;27;664;517;27;559
517;27;609;517;27;838
517;27;838;517;27;609
517;27;455;517;27;738
517;27;738;517;27;740
517;27;740;517;27;455
517;27;741;517;27;822
517;27;822;517;27;741
517;27;743;517;27;745
517;27;745;517;27;783
517;27;783;517;27;743
517;27;435;517;27;437
517;27;437;517;27;435
517;27;512;517;27;1015
517;27;1015;517;27;1032
517;27;1032;517;27;512
517;27;513;517;27;592
517;27;592;517;27;594
517;27;594;517;27;1204
517;27;1204;517;27;513
517;27;514;517;27;516
