CID;LID;NID;NAME;NCOMMENT
517;1;481;亚洲;
517;1;482;中国;
517;1;483;广西壮族自治区;
517;1;882;北海市;
517;1;892;河池市;
517;1;4;南宁市;
517;1;883;钦州市;
517;1;19;安吉大道;
517;1;77;秀厢大道;
517;1;263;兰海高速公路;
517;1;104;友爱北路;
517;1;69;友爱南路;
517;1;36;Ｇ３２２;
517;1;265;Ｘ００３;
517;1;41;Ｘ０２９;
517;1;54;Ｘ００２;
517;1;315;昆仑大道;
517;1;94;厢竹大道;
517;1;267;南宁绕城高速公路;
517;1;274;邕宾路;
517;1;361;松柏路;
517;1;157;明秀东路;
517;1;72;南梧路;
517;1;93;北湖南路;
517;1;58;南建路;
517;1;56;白沙大道;
517;1;452;五一路;
517;1;60;亭洪路;
517;1;71;望州路;
517;1;63;永和路;
517;1;64;北大南路;
517;1;61;永和大桥;
517;1;156;民生路;
517;1;89;明秀西路;
517;1;158;民乐路;
517;1;117;民主路;
517;1;87;人民东路;
517;1;322;华东路;
517;1;65;中华路;
517;1;159;衡阳东路;
517;1;55;友谊路;
517;1;373;那洪大道;
517;1;57;金凯路;
517;1;66;园湖北路;
517;1;321;华强路;
517;1;68;朝阳路;
517;1;70;公园路;
517;1;476;Ｇ３２４（旧）;
517;1;143;大学西路;
517;1;477;板田;
517;1;91;大学东路;
517;1;362;新村大道;
517;1;144;沈阳路;
517;1;363;相思湖西路;
517;1;100;清川大道;
517;1;102;科园大道;
517;1;103;鲁班路;
517;1;29;Ｇ３２４;
517;1;278;鹏飞路;
517;1;279;罗文大道;
517;1;85;江南大道;
517;1;99;定津路;
517;1;381;三叠石路;
517;1;126;五一路北四里;
517;1;127;五一路北二里;
517;1;473;云举路;
517;1;82;星光大道;
517;1;366;桃源大桥;
517;1;84;福居路;
517;1;128;白沙南二里;
517;1;110;亭江路;
517;1;107;金象大道;
517;1;90;新阳路;
517;1;92;秀灵路;
517;1;135;南环路;
517;1;62;江北大道;
517;1;146;七星路;
517;1;163;新民路;
517;1;494;Ｇ３２５;
517;1;272;白沙大桥;
517;1;111;教育路;
517;1;113;双拥路;
517;1;38;民族大道;
517;1;196;新华路;
517;1;86;民权路;
517;1;80;迎凯路;
517;1;83;福建路;
517;1;79;银海大道;
517;1;260;建业路;
517;1;81;建设路;
517;1;340;德政路;
517;1;17;五象大道;
517;1;288;泉南高速公路;
517;1;39;Ｘ０６４;
517;1;40;三岸服务区;
517;1;451;五合互通;
517;1;42;Ｘ０２４;
517;1;43;伶俐服务区;
517;1;895;六钦高速公路南宁段;
517;1;379;景州大道;
517;1;289;广昆高速公路;
517;1;46;Ｘ４８７;
517;1;47;王灵服务区;
517;1;311;南宁绕城高速公路北段;
517;1;393;Ｇ２１０;
517;1;312;南宁绕城高速公路东段;
517;1;313;南宁绕城高速公路南段;
517;1;97;南站大道;
517;1;37;高岭服务区;
517;1;7;南友高速公路;
517;1;314;南宁绕城高速公路西段;
517;1;5;扶绥服务区;
517;1;10;壮锦大道;
517;1;450;保安村;
517;1;286;河州;
517;1;11;Ｘ００１;
517;1;20;都安停车区;
517;1;256;大塘服务区;
517;1;16;东平;
517;1;21;伊岭岩停车区;
517;1;22;Ｙ０５６;
517;1;281;武华大道;
517;1;24;武鸣服务区;
517;1;25;Ｘ０３４;
517;1;26;Ｓ３１４;
517;1;27;马山服务区;
517;1;106;蒲津路;
517;1;453;八鲤路（汉林街）;
517;1;356;新兴街;
517;1;207;东风南路;
517;1;108;银沙大道;
517;1;365;平乐大道;
517;1;134;当阳街;
517;1;116;古城路;
517;1;164;园湖南路;
517;1;165;茶花园路;
517;1;150;滨湖路;
517;1;166;金洲路;
517;1;167;金湖北路;
517;1;168;金浦路;
517;1;119;竹溪大道;
517;1;275;凤翔路;
517;1;225;青秀路;
517;1;169;凤凰岭路;
517;1;136;中山路;
517;1;202;长堽路;
517;1;173;Ｘ０１３;
517;1;309;Ｘ００４;
517;1;417;金鸡路;
517;1;96;沙井大道;
517;1;457;翠湖路;
517;1;98;五一西路;
517;1;385;五一西路北二里;
517;1;75;邕武路;
517;1;294;Ｘ０３７;
517;1;190;人民中路;
517;1;189;解放路;
517;1;415;安吉大道西一里;
517;1;414;秀灵北路;
517;1;345;葫芦鼎大桥;
517;1;112;白沙大道辅路;
517;1;245;白沙小学;
517;1;478;广西社会福利院;
517;1;344;盘岭路;
517;1;433;白云路;
517;1;434;航景巷;
517;1;435;枫林路;
517;1;334;景秀路;
517;1;276;月湾路;
517;1;145;北大北路;
517;1;187;龙腾路;
517;1;320;华西路;
517;1;105;北湖北路;
517;1;191;园艺路;
517;1;182;滨河路;
517;1;177;高新大道;
517;1;179;创新路;
517;1;183;科园东十路;
517;1;428;滨湖北路;
517;1;123;长湖路;
517;1;118;东葛路;
517;1;152;嘉宾路;
517;1;153;祥宾路;
517;1;326;新竹路;
517;1;215;望园路;
517;1;171;长堽路六里;
517;1;205;长堽路三里;
517;1;330;建政东路;
517;1;172;悦宾路;
517;1;277;丰达路;
517;1;310;淡村路;
517;1;308;堤园路;
517;1;124;佛子岭路;
517;1;327;思贤路;
517;1;328;葛村路;
517;1;181;科园东十三路;
517;1;427;凤江路;
517;1;380;燕敦路;
517;1;339;凤岭南路;
517;1;140;英华路;
517;1;162;青环路;
517;1;226;会展路;
517;1;338;桂花路;
517;1;292;铜鼓岭路;
517;1;230;云景路;
517;1;419;南宁市童星幼儿园;
517;1;387;复康路;
517;1;306;心圩路;
517;1;461;高新东三路;
517;1;185;高新七路;
517;1;180;科园西十路;
517;1;305;可利大道;
517;1;184;高新三路;
517;1;101;高新五路;
517;1;200;共和路;
517;1;114;星湖路;
517;1;329;建政路;
517;1;358;广昆高速公路南宁段;
517;1;355;贵港出入口;
517;1;290;隆安服务区;
517;1;31;蝶城路;
517;1;346;Ｘ５１０;
517;1;33;小林停车区;
517;1;34;Ｘ０３６;
517;1;291;坛洛服务区;
517;1;449;坛洛互通;
