CID;LID;NID;NTRANSLATION
517;2;4;nan ning shi
517;3;4;Nanning
517;2;5;fu sui fu wu qu
517;3;5;Fusui Service Area
517;2;7;nan you gao su gong lu
517;3;7;Nanyou Hwy
517;2;10;zhuang jin da dao
517;3;10;Zhuangjin Blvd
517;2;11;X001
517;3;11;X001
517;2;16;dong ping
517;3;16;Dongping
517;2;17;wu xiang da dao
517;3;17;Wuxiang Blvd
517;2;19;an ji da dao
517;3;19;Anji Blvd
517;2;20;du an ting che qu
517;3;20;Du'an Parking Area
517;2;21;yi ling yan ting che qu
517;3;21;Yilingyan Parking Area
517;2;22;Y056
517;3;22;Y056
517;2;24;wu ming fu wu qu
517;3;24;Wuming Service Area
517;2;25;X034
517;3;25;X034
517;2;26;S314
517;3;26;S314
517;2;27;ma shan fu wu qu
517;3;27;Mashan Service Area
517;2;29;G324
517;3;29;G324
517;2;31;die cheng lu
517;3;31;Diecheng Rd
517;2;33;xiao lin ting che qu
517;3;33;Xiaolin Parking Area
517;2;34;X036
517;3;34;X036
517;2;36;G322
517;3;36;G322
517;2;37;gao ling fu wu qu
517;3;37;Gaoling Service Area
517;2;38;min zu da dao
517;3;38;Minzu Blvd
517;2;39;X064
517;3;39;X064
517;2;40;san an fu wu qu
517;3;40;San'an Service Area
517;2;41;X029
517;3;41;X029
517;2;42;X024
517;3;42;X024
517;2;43;ling li fu wu qu
517;3;43;Lingli Service Area
517;2;46;X487
517;3;46;X487
517;2;47;wang ling fu wu qu
517;3;47;Wangling Service Area
517;2;49;heng xian fu wu qu
517;3;49;Hengxian County Service Area
517;2;50;X470
517;3;50;X470
517;2;51;yun biao ting che qu
517;3;51;Yunbiao Parking Area
517;2;52;G209
517;3;52;G209
517;2;54;X002
517;3;54;X002
517;2;55;you yi lu
517;3;55;Youyi Rd
517;2;56;bai sha da dao
517;3;56;Baisha Blvd
517;2;57;jin kai lu
517;3;57;Jinkai Rd
517;2;58;nan jian lu
517;3;58;Nanjian Rd
517;2;60;ting hong lu
517;3;60;Tinghong Rd
517;2;61;yong he da qiao
517;3;61;Yonghe Brg
517;2;62;jiang bei da dao
517;3;62;Jiangbei Blvd
517;2;63;yong he lu
517;3;63;Yonghe Rd
517;2;64;bei da nan lu
517;3;64;Beida South Rd
517;2;65;zhong hua lu
517;3;65;Zhonghua Rd
517;2;66;yuan hu bei lu
517;3;66;Yuanhu North Rd
