CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
517;27;623;;624
517;27;624;623;
517;27;620;;621
517;27;621;620;
517;27;1043;;403
517;27;403;1043;
517;27;1275;;476
517;27;476;1275;
517;27;473;;474
517;27;474;473;1211
517;27;1211;474;475
517;27;475;1211;1274
517;27;1274;475;
517;27;931;;467
517;27;467;931;468
517;27;468;467;
517;27;409;;410
517;27;410;409;411
517;27;411;410;
517;27;470;;471
517;27;471;470;
517;27;413;;416
517;27;416;413;417
517;27;417;416;
517;27;612;;613
517;27;613;612;614
517;27;614;613;615
517;27;615;614;758
517;27;758;615;616
517;27;616;758;617
517;27;617;616;618
517;27;618;617;
517;27;405;;1412
517;27;1412;405;406
517;27;406;1412;407
517;27;407;406;
517;27;419;;628
517;27;628;419;421
517;27;421;628;422
517;27;422;421;423
517;27;423;422;424
517;27;424;423;
517;27;571;;893
517;27;893;571;572
517;27;572;893;
517;27;579;;580
517;27;580;579;581
517;27;581;580;582
517;27;582;581;583
517;27;583;582;1025
517;27;1025;583;584
517;27;584;1025;
517;27;574;;1036
517;27;1036;574;575
517;27;575;1036;576
517;27;576;575;577
517;27;577;576;
517;27;535;;536
517;27;536;535;537
517;27;537;536;538
517;27;538;537;1409
517;27;1409;538;539
517;27;539;1409;1410
517;27;1410;539;1411
517;27;1411;1410;541
517;27;541;1411;542
517;27;542;541;543
517;27;543;542;544
517;27;544;543;545
517;27;545;544;
517;27;462;;463
517;27;463;462;464
517;27;464;463;465
517;27;465;464;466
517;27;466;465;
517;27;664;;609
517;27;609;664;610
517;27;610;609;
517;27;740;;741
517;27;741;740;742
517;27;742;741;743
517;27;743;742;
517;27;1044;;435
517;27;435;1044;
517;27;512;;513
517;27;513;512;514
517;27;514;513;
517;27;454;;1033
517;27;1033;454;1034
517;27;1034;1033;455
517;27;455;1034;1216
517;27;1216;455;456
517;27;456;1216;
517;27;451;;452
517;27;452;451;
517;27;442;;443
517;27;443;442;444
517;27;444;443;445
517;27;445;444;446
517;27;446;445;447
517;27;447;446;813
517;27;813;447;448
517;27;448;813;449
517;27;449;448;
517;27;437;;1035
517;27;1035;437;438
517;27;438;1035;759
517;27;759;438;439
517;27;439;759;440
517;27;440;439;
517;27;100;;101
517;27;101;100;102
517;27;102;101;103
517;27;103;102;104
517;27;104;103;105
517;27;105;104;128
517;27;128;105;106
517;27;106;128;107
517;27;107;106;108
517;27;108;107;109
517;27;109;108;110
517;27;110;109;111
517;27;111;110;
517;27;92;93;91
517;27;91;92;90
517;27;90;91;66
517;27;66;90;98
517;27;98;66;97
517;27;97;98;96
517;27;96;97;95
517;27;95;96;121
517;27;121;95;94
517;27;94;121;93
517;27;93;94;92
517;27;52;;53
517;27;53;52;57
517;27;57;53;58
517;27;58;57;59
517;27;59;58;60
517;27;60;59;
517;27;62;;63
517;27;63;62;64
517;27;64;63;65
517;27;65;64;
517;27;69;;70
517;27;70;69;71
517;27;71;70;72
517;27;72;71;73
517;27;73;72;74
517;27;74;73;75
517;27;75;74;76
517;27;76;75;77
517;27;77;76;78
517;27;78;77;
517;27;1232;;1233
517;27;1233;1232;1234
517;27;1234;1233;
517;27;495;;496
517;27;496;495;833
517;27;833;496;497
517;27;497;833;820
517;27;820;497;498
517;27;498;820;499
517;27;499;498;
517;27;861;;862
517;27;862;861;1051
517;27;1051;862;
517;27;637;;638
517;27;638;637;639
517;27;639;638;640
517;27;640;639;641
517;27;641;640;642
517;27;642;641;643
517;27;643;642;644
517;27;644;643;645
517;27;645;644;646
517;27;646;645;647
517;27;647;646;1042
517;27;1042;647;648
517;27;648;1042;649
517;27;649;648;650
517;27;650;649;
517;27;586;;587
517;27;587;586;
517;27;1209;;1210
517;27;1210;1209;
517;27;1078;;1079
517;27;1079;1078;
517;27;670;;510
517;27;510;670;671
517;27;671;510;674
517;27;674;671;815
517;27;815;674;677
517;27;677;815;
517;27;1392;;666
517;27;666;1392;667
517;27;667;666;1394
517;27;1394;667;
517;27;430;;431
517;27;431;430;432
517;27;432;431;
517;27;745;;746
517;27;746;745;
517;27;737;;738
517;27;738;737;
517;27;1290;;1291
517;27;1291;1290;
517;27;502;;506
517;27;506;502;507
517;27;507;506;508
517;27;508;507;1032
517;27;1032;508;509
517;27;509;1032;
517;27;1017;;1018
517;27;1018;1017;1019
517;27;1019;1018;
517;27;1021;;1206
517;27;1206;1021;1022
517;27;1022;1206;1015
517;27;1015;1022;
517;27;1346;;1347
517;27;1347;1346;1348
517;27;1348;1347;1349
517;27;1349;1348;1350
517;27;1350;1349;
517;27;810;;811
517;27;811;810;812
517;27;812;811;
517;27;770;;771
517;27;771;770;1212
517;27;1212;771;772
517;27;772;1212;
517;27;752;;753
517;27;753;752;754
517;27;754;753;
517;27;748;;749
517;27;749;748;750
517;27;750;749;
517;27;704;;705
517;27;705;704;706
517;27;706;705;707
517;27;707;706;
517;27;1418;;1235
517;27;1235;1418;
517;27;600;;601
517;27;601;600;602
517;27;602;601;603
517;27;603;602;
517;27;895;;1214
517;27;1214;895;896
517;27;896;1214;897
517;27;897;896;
517;27;831;;1215
517;27;1215;831;832
517;27;832;1215;1045
517;27;1045;832;
517;27;1143;;1144
517;27;1144;1143;1145
517;27;1145;1144;
517;27;657;;658
517;27;658;657;659
517;27;659;658;660
517;27;660;659;661
517;27;661;660;662
517;27;662;661;663
517;27;663;662;1046
517;27;1046;663;1047
517;27;1047;1046;
517;27;713;;714
517;27;714;713;
517;27;1395;;668
517;27;668;1395;
517;27;1085;;1086
517;27;1086;1085;
517;27;785;;1217
517;27;1217;785;786
517;27;786;1217;
517;27;1189;;1190
517;27;1190;1189;1191
517;27;1191;1190;
517;27;1075;;1076
517;27;1076;1075;
517;27;682;;683
517;27;683;682;
517;27;1193;;1194
517;27;1194;1193;1195
517;27;1195;1194;
517;27;808;;652
517;27;652;808;1218
517;27;1218;652;653
517;27;653;1218;1219
517;27;1219;653;654
517;27;654;1219;655
517;27;655;654;1280
517;27;1280;655;1281
517;27;1281;1280;
517;27;1071;;1072
517;27;1072;1071;1073
517;27;1073;1072;
517;27;891;;892
517;27;892;891;
517;27;1321;;1322
517;27;1322;1321;
517;27;1337;;1338
517;27;1338;1337;1184
517;27;1184;1338;1185
517;27;1185;1184;1186
517;27;1186;1185;1187
517;27;1187;1186;
517;27;984;;985
517;27;985;984;1048
517;27;1048;985;1049
517;27;1049;1048;
517;27;991;;1220
517;27;1220;991;1284
517;27;1284;1220;992
517;27;992;1284;
517;27;679;;1408
517;27;1408;679;
517;27;1088;;1089
517;27;1089;1088;
517;27;1203;;1204
517;27;1204;1203;
517;27;1062;;1063
517;27;1063;1062;1064
517;27;1064;1063;1065
517;27;1065;1064;1066
517;27;1066;1065;1396
517;27;1396;1066;1397
517;27;1397;1396;
517;27;526;;488
517;27;488;526;
517;27;1058;;1060
517;27;1060;1058;
517;27;694;;696
517;27;696;694;697
517;27;697;696;
517;27;1131;;1132
517;27;1132;1131;1133
517;27;1133;1132;
517;27;796;;797
517;27;797;796;1221
517;27;1221;797;798
517;27;798;1221;
517;27;519;;520
517;27;520;519;1223
