CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
517;27;623;P;1;6;;19;77;;4;;;622;1;1;1;1;1;1;;;+10830352;+2285359;0;1
517;27;624;P;1;10;;19;263;;4;;;622;1;1;1;1;1;1;;;+10829834;+2288921;0;0
517;27;620;P;1;10;;104;69;;4;;;619;1;1;1;1;1;1;;;+10831224;+2283998;0;1
517;27;621;P;1;6;;104;77;;4;;;619;1;1;1;1;1;1;;;+10830352;+2285359;0;1
517;27;1043;P;1;11;;36;265;;4;;401;;1;1;1;1;1;1;;;+10821756;+2264496;0;0
517;27;403;P;1;12;;36;54;;4;;401;;1;1;1;1;1;1;;;+10828805;+2271748;1275;0
517;27;1275;P;1;13;;36;315;;4;;472;;1;1;1;1;1;1;;;+10846129;+2290484;403;0
517;27;476;P;1;12;;36;41;;4;;472;;1;1;1;1;1;1;;;+10849080;+2291561;0;0
517;27;473;P;1;6;;315;94;;4;;;1273;1;1;1;1;1;1;;;+10836715;+2285834;0;1
517;27;474;P;1;10;;315;267;;4;;;1273;1;1;1;1;1;1;;;+10837845;+2286394;0;0
517;27;1211;P;1;10;;315;274;;4;;;1273;1;1;1;1;1;1;;;+10841218;+2287378;0;0
517;27;475;P;1;10;;315;361;;4;;;1273;1;1;1;1;1;1;;;+10842125;+2287818;0;0
517;27;1274;P;1;13;;315;36;;4;;;1273;1;1;1;1;1;1;;;+10846129;+2290484;0;0
517;27;931;P;1;10;;157;69;;4;;;999;1;1;1;1;1;1;;;+10831224;+2283998;0;1
517;27;467;P;1;10;;157;93;;4;;;999;1;1;1;1;1;1;;;+10832180;+2284414;0;1
517;27;468;P;1;10;;157;72;;4;;;999;1;1;1;1;1;1;;;+10834074;+2285326;0;1
517;27;409;P;1;10;;58;56;;4;;;408;1;1;1;1;1;1;;;+10829314;+2277702;0;1
517;27;410;P;1;10;;58;60;;4;;;408;1;1;1;1;1;1;;;+10829327;+2278809;0;1
517;27;411;P;1;6;;58;452;;4;;;408;1;1;1;1;1;1;;;+10829532;+2279579;0;1
517;27;470;P;1;10;;72;71;;4;;;469;1;1;1;1;1;1;;;+10834074;+2285326;0;1
517;27;471;P;1;6;;72;94;;4;;;469;1;1;1;1;1;1;;;+10836715;+2285834;0;1
517;27;413;P;1;6;;63;452;;4;;;415;1;1;1;1;1;1;;;+10829532;+2279579;0;1
517;27;416;P;1;6;;63;61;;4;;;415;1;1;1;1;1;1;;;+10829619;+2280582;0;1
517;27;417;P;1;10;;63;64;;4;;;415;1;1;1;1;1;1;;;+10830387;+2281946;0;1
517;27;612;P;1;10;;69;156;;4;;;611;1;1;1;1;1;1;;;+10832590;+2281511;0;1
517;27;613;P;1;10;;69;158;;4;;;611;1;1;1;1;1;1;;;+10832622;+2281755;0;1
517;27;614;P;1;10;;69;117;;4;;;611;1;1;1;1;1;1;;;+10832498;+2282012;0;1
517;27;615;P;1;10;;69;87;;4;;;611;1;1;1;1;1;1;;;+10832397;+2282310;0;1
517;27;758;P;1;10;;69;322;;4;;;611;1;1;1;1;1;1;;;+10832138;+2282543;0;1
517;27;616;P;1;10;;69;65;;4;;;611;1;1;1;1;1;1;;;+10832003;+2282795;0;1
517;27;617;P;1;10;;69;159;;4;;;611;1;1;1;1;1;1;;;+10831527;+2283537;0;1
517;27;618;P;1;10;;69;89;;4;;;611;1;1;1;1;1;1;;;+10831224;+2283998;0;1
517;27;405;P;1;12;;55;54;;4;;;404;1;1;1;1;1;1;;;+10828805;+2271748;0;0
517;27;1412;P;1;10;;55;373;;4;;;404;1;1;1;1;1;1;;;+10828962;+2276020;0;1
517;27;406;P;1;10;;55;57;;4;;;404;1;1;1;1;1;1;;;+10829319;+2276823;0;1
517;27;407;P;1;10;;55;56;;4;;;404;1;1;1;1;1;1;;;+10829314;+2277702;0;1
517;27;419;P;1;10;;65;64;;4;;;418;1;1;1;1;1;1;;;+10830387;+2281946;0;1
517;27;628;P;1;10;;65;321;;4;;;418;1;1;1;1;1;1;;;+10831243;+2282386;0;1
517;27;421;P;1;10;;65;68;;4;;;418;1;1;1;1;1;1;;;+10831586;+2282564;0;1
517;27;422;P;1;10;;65;69;;4;;;418;1;1;1;1;1;1;;;+10832003;+2282795;0;1
517;27;423;P;1;10;;65;70;;4;;;418;1;1;1;1;1;1;;;+10832820;+2283221;0;1
517;27;424;P;1;10;;65;66;;4;;;418;1;1;1;1;1;1;;;+10833074;+2283380;0;1
517;27;571;P;1;10;;476;267;;4;;;569;1;1;1;1;1;1;;;+10817626;+2282507;0;0
517;27;893;P;1;12;;476;477;;4;;;569;1;1;1;1;1;1;;;+10819075;+2282370;0;0
517;27;572;P;1;12;;476;143;;4;;;569;1;1;1;1;1;1;;;+10822465;+2283329;0;1
517;27;579;P;1;10;;91;362;;4;;;578;1;1;1;1;1;1;;;+10823304;+2283730;0;1
517;27;580;P;1;10;;91;363;;4;;;578;1;1;1;1;1;1;;;+10823978;+2283974;0;1
517;27;581;P;1;10;;91;100;;4;;;578;1;1;1;1;1;1;;;+10825297;+2284023;0;1
517;27;582;P;1;10;;91;102;;4;;;578;1;1;1;1;1;1;;;+10827307;+2283653;0;1
517;27;583;P;1;10;;91;103;;4;;;578;1;1;1;1;1;1;;;+10828321;+2283395;0;1
517;27;1025;P;1;10;;91;89;;4;;;578;1;1;1;1;1;1;;;+10829226;+2283121;0;1
517;27;584;P;1;10;;91;144;;4;;;578;1;1;1;1;1;1;;;+10829793;+2282923;0;1
517;27;574;P;1;10;;143;29;;4;;;573;1;1;1;1;1;1;;;+10817626;+2282507;0;0
517;27;1036;P;1;10;;143;278;;4;;;573;1;1;1;1;1;1;;;+10820212;+2283306;0;0
517;27;575;P;1;10;;143;279;;4;;;573;1;1;1;1;1;1;;;+10821425;+2283297;0;1
517;27;576;P;1;12;;143;476;;4;;;573;1;1;1;1;1;1;;;+10822464;+2283334;0;1
517;27;577;P;1;10;;143;362;;4;;;573;1;1;1;1;1;1;;;+10823304;+2283730;0;1
517;27;535;P;1;11;;85;99;;4;;;534;1;1;1;1;1;1;;;+10820636;+2280659;0;0
517;27;536;P;1;6;;85;100;;4;;;534;1;1;1;1;1;1;;;+10825295;+2282462;0;1
517;27;537;P;1;10;;85;126;;4;;;534;1;1;1;1;1;1;;;+10828859;+2280058;0;1
517;27;538;P;1;10;;85;127;;4;;;534;1;1;1;1;1;1;;;+10830156;+2279933;0;1
517;27;1409;P;1;12;;85;473;;4;;;534;1;1;1;1;1;1;;;+10831169;+2280762;0;1
517;27;539;P;1;6;;85;82;;4;;;534;1;1;1;1;1;1;;;+10831679;+2280786;0;1
517;27;1410;P;1;12;;85;366;;4;;;534;1;1;1;1;1;1;;;+10831918;+2280430;0;1
517;27;1411;P;1;12;;85;84;;4;;;534;1;1;1;1;1;1;;;+10831965;+2280088;0;1
517;27;541;P;1;10;;85;60;;4;;;534;1;1;1;1;1;1;;;+10832099;+2278981;0;1
517;27;542;P;1;12;;85;128;;4;;;534;1;1;1;1;1;1;;;+10834013;+2278394;0;1
517;27;543;P;1;10;;85;110;;4;;;534;1;1;1;1;1;1;;;+10832752;+2277684;0;1
