CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
517;27;622;L;1;2;G210;19;77;263;4;
517;27;619;L;1;2;G210;104;69;77;4;
517;27;1031;L;1;2;G322;36;265;41;4;
517;27;1273;L;1;2;G322;315;94;36;4;
517;27;999;L;1;2;G322;157;69;72;4;
517;27;408;L;1;2;G322;58;56;452;4;
517;27;469;L;1;2;G322;72;71;94;4;
517;27;415;L;1;2;G322;63;452;64;4;
517;27;611;L;1;4;;69;156;89;4;
517;27;404;L;1;2;G322;55;54;56;4;
517;27;418;L;1;2;G322;65;64;66;4;
517;27;569;L;1;2;G324;476;267;143;4;
517;27;578;L;1;2;G324;91;362;144;4;
517;27;573;L;1;2;G324;143;29;362;4;
517;27;534;L;1;4;;85;99;381;4;
517;27;461;L;1;2;G324;89;452;69;4;
517;27;608;L;1;4;;135;62;156;4;
517;27;739;L;1;4;;87;68;163;4;
517;27;433;L;1;2;G325;494;263;267;4;
517;27;511;L;1;4;;272;56;111;4;
517;27;453;L;1;2;G325;68;38;65;4;
517;27;450;L;1;2;G325;86;62;38;4;
517;27;441;L;1;2;G325;82;80;62;4;
517;27;436;L;1;2;G325;79;267;80;4;
517;27;99;L;1;1;G72;288;38;39;4;
517;27;89;L;2;1;G7201;267;;;4;
517;27;55;L;1;1;G7211;7;5;10;4;
517;27;115;L;1;1;G75;263;494;20;4;
517;27;1231;L;1;3;S101;106;17;453;4;
517;27;494;L;1;3;S101;17;79;106;4;
517;27;860;L;1;4;;81;79;207;4;
517;27;636;L;1;3;S309;38;134;288;4;
517;27;585;L;1;4;;136;62;135;4;
517;27;1208;L;1;4;X007;274;202;315;4;
517;27;1077;L;1;4;X013;173;309;417;4;
517;27;402;L;1;4;X013;452;96;82;4;
517;27;1053;L;1;4;X013;98;417;457;4;
517;27;429;L;1;4;X037;75;72;294;4;
517;27;744;L;1;4;X406;70;163;65;4;
517;27;736;L;1;4;X406;190;189;87;4;
517;27;1289;L;1;4;;415;414;19;4;
517;27;500;L;1;3;;56;10;345;4;
517;27;1205;L;1;4;;112;10;245;4;
517;27;1345;L;1;4;;433;434;435;4;
517;27;809;L;1;4;;145;64;144;4;
517;27;769;L;1;4;;64;62;65;4;
517;27;751;L;1;4;;105;93;191;4;
517;27;747;L;1;4;;93;70;157;4;
517;27;703;L;1;4;;182;77;177;4;
517;27;1417;L;1;4;;428;123;118;4;
517;27;599;L;1;4;;150;38;123;4;
517;27;894;L;1;4;;165;38;123;4;
517;27;830;L;1;4;;202;117;274;4;
517;27;1142;L;1;4;;171;202;123;4;
517;27;656;L;1;4;;123;171;276;4;
517;27;708;L;1;4;;179;182;277;4;
517;27;1393;L;1;4;;457;98;452;4;
517;27;1084;L;1;4;;310;127;82;4;
517;27;784;L;1;4;;134;38;196;4;
517;27;1188;L;1;4;;340;79;207;4;
517;27;1074;L;1;4;;308;173;99;4;
517;27;681;L;1;4;;99;85;96;4;
517;27;1192;L;1;4;;207;81;17;4;
517;27;651;L;1;4;;118;163;124;4;
517;27;1070;L;1;4;;277;179;181;4;
517;27;889;L;1;4;;169;38;124;4;
517;27;1320;L;1;4;;427;380;344;4;
517;27;1183;L;1;4;;339;140;162;4;
517;27;983;L;1;4;;275;38;124;4;
517;27;990;L;1;4;;124;94;169;4;
517;27;678;L;1;4;;83;82;419;4;
517;27;1087;L;1;4;;84;82;85;4;
517;27;1202;L;1;4;;387;62;113;4;
517;27;1061;L;1;4;;177;306;19;4;
517;27;532;L;1;4;;185;180;305;4;
517;27;1057;L;1;4;;184;77;180;4;
517;27;693;L;1;4;;101;77;177;4;
517;27;1130;L;1;4;;328;326;330;4;
517;27;795;L;1;4;;200;68;196;4;
517;27;518;L;1;4;;116;114;117;4;
517;27;120;L;1;1;;358;29;355;4;
517;27;1326;L;1;4;;426;380;56;4;
517;27;938;L;1;4;;149;168;113;4;
517;27;1171;L;1;4;;338;339;292;4;
517;27;1149;L;1;4;;332;166;167;4;
517;27;1167;L;1;4;;337;225;38;4;
517;27;1175;L;1;4;;336;338;376;4;
517;27;765;L;1;4;;159;69;195;4;
517;27;761;L;1;4;;194;145;69;4;
517;27;1103;L;1;4;;322;321;69;4;
517;27;1111;L;1;4;;321;323;65;4;
517;27;1100;L;1;4;;320;64;321;4;
517;27;943;L;1;4;;217;149;119;4;
517;27;1339;L;1;4;;431;226;432;4;
517;27;979;L;1;4;;226;339;38;4;
517;27;958;L;1;4;;152;150;219;4;
517;27;1146;L;1;4;;331;152;166;4;
517;27;961;L;1;4;;219;166;167;4;
517;27;1139;L;1;4;;330;328;171;4;
517;27;1134;L;1;4;;329;116;330;4;
517;27;549;L;1;3;;62;462;345;4;
517;27;486;L;1;3;;479;62;476;4;
517;27;515;L;1;4;;111;272;114;4;
517;27;1107;L;1;4;;189;156;323;4;
